gene	category	report_path	syntax	source_image	is_external	resolved_path	exists	reason	suggested_markdown_path
ASXL3	chromatin	detail/chromatin/ASXL3/ASXL3-evaluation.md	obsidian	ASXL3-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ASXL3/ASXL3-PAE.png	True	resolved	detail/chromatin/ASXL3/ASXL3-PAE.png
ASXL3	chromatin	detail/chromatin/ASXL3/ASXL3-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ASXL3/ASXL3-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ASXL3/ASXL3-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ASXL3/ASXL3-PAE.png
AURKC	chromatin	detail/chromatin/AURKC/AURKC-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/AURKC/AURKC-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/AURKC/AURKC-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/AURKC/AURKC-PAE.png
BAHD1	chromatin	detail/chromatin/BAHD1/BAHD1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/BAHD1/IF_images/A431_1.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/BAHD1/IF_images/A431_1.jpg	True	resolved	detail/chromatin/BAHD1/IF_images/A431_1.jpg
BAHD1	chromatin	detail/chromatin/BAHD1/BAHD1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/BAHD1/IF_images/A431_2.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/BAHD1/IF_images/A431_2.jpg	True	resolved	detail/chromatin/BAHD1/IF_images/A431_2.jpg
BAHD1	chromatin	detail/chromatin/BAHD1/BAHD1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/BAHD1/BAHD1-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/BAHD1/BAHD1-PAE.png	True	resolved	detail/chromatin/BAHD1/BAHD1-PAE.png
BAHD1	chromatin	detail/chromatin/BAHD1/BAHD1-evaluation.md	obsidian	BAHD1-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/BAHD1/BAHD1-PAE.png	True	resolved	detail/chromatin/BAHD1/BAHD1-PAE.png
BAHD1	chromatin	detail/chromatin/BAHD1/BAHD1-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/BAHD1/BAHD1-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/BAHD1/BAHD1-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/BAHD1/BAHD1-PAE.png
BOD1L2	chromatin	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/BOD1L2/BOD1L2-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/BOD1L2/BOD1L2-PAE.png	True	resolved	detail/chromatin/BOD1L2/BOD1L2-PAE.png
BOD1L2	chromatin	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/BOD1L2/BOD1L2-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/BOD1L2/BOD1L2-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/BOD1L2/BOD1L2-PAE.png
CENPK	chromatin	detail/chromatin/CENPK/CENPK-evaluation.md	obsidian	CENPK-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPK/CENPK-PAE.png	True	resolved	detail/chromatin/CENPK/CENPK-PAE.png
CENPK	chromatin	detail/chromatin/CENPK/CENPK-evaluation.md	obsidian	CENPK-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPK/CENPK-PAE.png	True	resolved	detail/chromatin/CENPK/CENPK-PAE.png
CENPK	chromatin	detail/chromatin/CENPK/CENPK-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CENPK/CENPK-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPK/CENPK-PAE.png	True	resolved	detail/chromatin/CENPK/CENPK-PAE.png
CENPK	chromatin	detail/chromatin/CENPK/CENPK-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPK/CENPK-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPK/CENPK-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPK/CENPK-PAE.png
CENPL	chromatin	detail/chromatin/CENPL/CENPL-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPL/CENPL-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPL/CENPL-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPL/CENPL-PAE.png
CENPL	chromatin	detail/chromatin/CENPL/CENPL-evaluation.md	obsidian	CENPL-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPL/CENPL-PAE.png	True	resolved	detail/chromatin/CENPL/CENPL-PAE.png
CENPL	chromatin	detail/chromatin/CENPL/CENPL-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CENPL/CENPL-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPL/CENPL-PAE.png	True	resolved	detail/chromatin/CENPL/CENPL-PAE.png
CENPL	chromatin	detail/chromatin/CENPL/CENPL-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPL/CENPL-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPL/CENPL-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPL/CENPL-PAE.png
CENPV	chromatin	detail/chromatin/CENPV/CENPV-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPV/CENPV-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPV/CENPV-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPV/CENPV-PAE.png
CENPV	chromatin	detail/chromatin/CENPV/CENPV-evaluation.md	obsidian	CENPV-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPV/CENPV-PAE.png	True	resolved	detail/chromatin/CENPV/CENPV-PAE.png
CENPV	chromatin	detail/chromatin/CENPV/CENPV-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CENPV/CENPV-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPV/CENPV-PAE.png	True	resolved	detail/chromatin/CENPV/CENPV-PAE.png
CENPV	chromatin	detail/chromatin/CENPV/CENPV-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPV/CENPV-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPV/CENPV-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPV/CENPV-PAE.png
CENPX	chromatin	detail/chromatin/CENPX/CENPX-evaluation.md	obsidian	CENPX-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPX/CENPX-PAE.png	True	resolved	detail/chromatin/CENPX/CENPX-PAE.png
CENPX	chromatin	detail/chromatin/CENPX/CENPX-evaluation.md	obsidian	CENPX-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPX/CENPX-PAE.png	True	resolved	detail/chromatin/CENPX/CENPX-PAE.png
CENPX	chromatin	detail/chromatin/CENPX/CENPX-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CENPX/CENPX-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPX/CENPX-PAE.png	True	resolved	detail/chromatin/CENPX/CENPX-PAE.png
CENPX	chromatin	detail/chromatin/CENPX/CENPX-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPX/CENPX-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPX/CENPX-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPX/CENPX-PAE.png
CFDP1	chromatin	detail/chromatin/CFDP1/CFDP1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CFDP1/IF_images/A-431_1.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CFDP1/IF_images/A-431_1.jpg	True	resolved	detail/chromatin/CFDP1/IF_images/A-431_1.jpg
CFDP1	chromatin	detail/chromatin/CFDP1/CFDP1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CFDP1/IF_images/A-431_2.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CFDP1/IF_images/A-431_2.jpg	True	resolved	detail/chromatin/CFDP1/IF_images/A-431_2.jpg
CFDP1	chromatin	detail/chromatin/CFDP1/CFDP1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CFDP1/CFDP1-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CFDP1/CFDP1-PAE.png	True	resolved	detail/chromatin/CFDP1/CFDP1-PAE.png
CFDP1	chromatin	detail/chromatin/CFDP1/CFDP1-evaluation.md	obsidian	CFDP1-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CFDP1/CFDP1-PAE.png	True	resolved	detail/chromatin/CFDP1/CFDP1-PAE.png
CFDP1	chromatin	detail/chromatin/CFDP1/CFDP1-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CFDP1/CFDP1-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CFDP1/CFDP1-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CFDP1/CFDP1-PAE.png
CRAMP1	chromatin	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CRAMP1/IF_images/A-431_1.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CRAMP1/IF_images/A-431_1.jpg	True	resolved	detail/chromatin/CRAMP1/IF_images/A-431_1.jpg
CRAMP1	chromatin	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CRAMP1/IF_images/A-431_2.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CRAMP1/IF_images/A-431_2.jpg	True	resolved	detail/chromatin/CRAMP1/IF_images/A-431_2.jpg
CRAMP1	chromatin	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CRAMP1/CRAMP1-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CRAMP1/CRAMP1-PAE.png	True	resolved	detail/chromatin/CRAMP1/CRAMP1-PAE.png
CRAMP1	chromatin	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	obsidian	CRAMP1-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CRAMP1/CRAMP1-PAE.png	True	resolved	detail/chromatin/CRAMP1/CRAMP1-PAE.png
CRAMP1	chromatin	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CRAMP1/CRAMP1-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CRAMP1/CRAMP1-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CRAMP1/CRAMP1-PAE.png
CREB3L4	chromatin	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CREB3L4/IF_images/A-431_1.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CREB3L4/IF_images/A-431_1.jpg	True	resolved	detail/chromatin/CREB3L4/IF_images/A-431_1.jpg
CREB3L4	chromatin	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CREB3L4/IF_images/A-431_2.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CREB3L4/IF_images/A-431_2.jpg	True	resolved	detail/chromatin/CREB3L4/IF_images/A-431_2.jpg
CREB3L4	chromatin	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CREB3L4/CREB3L4-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CREB3L4/CREB3L4-PAE.png	True	resolved	detail/chromatin/CREB3L4/CREB3L4-PAE.png
CREB3L4	chromatin	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	obsidian	CREB3L4-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CREB3L4/CREB3L4-PAE.png	True	resolved	detail/chromatin/CREB3L4/CREB3L4-PAE.png
CREB3L4	chromatin	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CREB3L4/CREB3L4-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CREB3L4/CREB3L4-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CREB3L4/CREB3L4-PAE.png
CSNK1A1	chromatin	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CSNK1A1/IF_images/CSNK1A1_IF_1028_B8_3_blue_red_green.jpg	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CSNK1A1/IF_images/CSNK1A1_IF_1028_B8_3_blue_red_green.jpg	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CSNK1A1/IF_images/CSNK1A1_IF_1028_B8_3_blue_red_green.jpg
CSNK1A1	chromatin	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/CSNK1A1/CSNK1A1-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CSNK1A1/CSNK1A1-PAE.png	True	resolved	detail/chromatin/CSNK1A1/CSNK1A1-PAE.png
CSNK1A1	chromatin	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CSNK1A1/CSNK1A1-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CSNK1A1/CSNK1A1-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CSNK1A1/CSNK1A1-PAE.png
DSN1	chromatin	detail/chromatin/DSN1/DSN1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/DSN1/IF_images/DSN1_HEL_61.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/DSN1/IF_images/DSN1_HEL_61.jpg	True	resolved	detail/chromatin/DSN1/IF_images/DSN1_HEL_61.jpg
DSN1	chromatin	detail/chromatin/DSN1/DSN1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/DSN1/IF_images/DSN1_HEL_62.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/DSN1/IF_images/DSN1_HEL_62.jpg	True	resolved	detail/chromatin/DSN1/IF_images/DSN1_HEL_62.jpg
DSN1	chromatin	detail/chromatin/DSN1/DSN1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/DSN1/DSN1-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/DSN1/DSN1-PAE.png	True	resolved	detail/chromatin/DSN1/DSN1-PAE.png
DSN1	chromatin	detail/chromatin/DSN1/DSN1-evaluation.md	obsidian	DSN1-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/DSN1/DSN1-PAE.png	True	resolved	detail/chromatin/DSN1/DSN1-PAE.png
DSN1	chromatin	detail/chromatin/DSN1/DSN1-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/DSN1/DSN1-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/DSN1/DSN1-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/DSN1/DSN1-PAE.png
ELOF1	chromatin	detail/chromatin/ELOF1/ELOF1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ELOF1/IF_images/A-431_1.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ELOF1/IF_images/A-431_1.jpg	True	resolved	detail/chromatin/ELOF1/IF_images/A-431_1.jpg
ELOF1	chromatin	detail/chromatin/ELOF1/ELOF1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ELOF1/IF_images/U-251MG_1.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ELOF1/IF_images/U-251MG_1.jpg	True	resolved	detail/chromatin/ELOF1/IF_images/U-251MG_1.jpg
ELOF1	chromatin	detail/chromatin/ELOF1/ELOF1-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ELOF1/ELOF1-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ELOF1/ELOF1-PAE.png	True	resolved	detail/chromatin/ELOF1/ELOF1-PAE.png
ELOF1	chromatin	detail/chromatin/ELOF1/ELOF1-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ELOF1/ELOF1-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ELOF1/ELOF1-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ELOF1/ELOF1-PAE.png
EME2	chromatin	detail/chromatin/EME2/EME2-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/EME2/EME2-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/EME2/EME2-PAE.png	True	resolved	detail/chromatin/EME2/EME2-PAE.png
EME2	chromatin	detail/chromatin/EME2/EME2-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/EME2/EME2-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/EME2/EME2-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/EME2/EME2-PAE.png
EXD2	chromatin	detail/chromatin/EXD2/EXD2-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/EXD2/IF_images/NIH-3T3_1.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/EXD2/IF_images/NIH-3T3_1.jpg	True	resolved	detail/chromatin/EXD2/IF_images/NIH-3T3_1.jpg
EXD2	chromatin	detail/chromatin/EXD2/EXD2-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/EXD2/IF_images/A-431_1.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/EXD2/IF_images/A-431_1.jpg	True	resolved	detail/chromatin/EXD2/IF_images/A-431_1.jpg
