gene	path	status	category	score	nuclear_score	lines	has_hpa	has_if_image	has_pae	has_pdb	has_ppi	has_pubmed	has_scoring_table	has_manual_review	has_images	parse_quality	reason
KNSTRN	detail/chromatin/KNSTRN/KNSTRN-evaluation.md	scored	chromatin	72.2	7	184	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
KNTC1	detail/chromatin/KNTC1/KNTC1-evaluation.md	scored	chromatin	60.6	7	184	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
LRRN4	detail/chromatin/LRRN4/LRRN4-evaluation.md	scored	chromatin	65.3	4	167	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
LRWD1	detail/chromatin/LRWD1/LRWD1-evaluation.md	scored	chromatin	77.6	9	205	True	True	True	False	True	True	True	False	False	GOOD	ok_or_rejected_without_score
LUZP1	detail/chromatin/LUZP1/LUZP1-evaluation.md	scored	chromatin	58.9	4	184	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
MACROH2A2	detail/chromatin/MACROH2A2/MACROH2A2-evaluation.md	scored	chromatin	81.4	9	194	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
MEIOB	detail/chromatin/MEIOB/MEIOB-evaluation.md	scored	chromatin	69.7	7	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
MESP2	detail/chromatin/MESP2/MESP2-evaluation.md	scored	chromatin	57.8	8	175	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
MLXIPL	detail/chromatin/MLXIPL/MLXIPL-evaluation.md	rejected	chromatin		7	205	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
MPHOSPH8	detail/chromatin/MPHOSPH8/MPHOSPH8-evaluation.md	scored	chromatin	79.8	9	174	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
NAP1L1	detail/chromatin/NAP1L1/NAP1L1-evaluation.md	scored	chromatin	61.7	7	184	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
NAP1L2	detail/chromatin/NAP1L2/NAP1L2-evaluation.md	scored	chromatin	1.83	5	116	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
NCAPD2	detail/chromatin/NCAPD2/NCAPD2-evaluation.md	scored	chromatin	1.83	8	97	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
NCBP2	detail/chromatin/NCBP2/NCBP2-evaluation.md	scored	chromatin	61.7	7	186	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
NEUROD6	detail/chromatin/NEUROD6/NEUROD6-evaluation.md	scored	chromatin	63.3	8	174	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
NFX1	detail/chromatin/NFX1/NFX1-evaluation.md	scored	chromatin	60.7	8	190	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
NMD3	detail/chromatin/NMD3/NMD3-evaluation.md	scored	chromatin	70.5	7	184	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PAXIP1	detail/chromatin/PAXIP1/PAXIP1-evaluation.md	scored	chromatin	62.8	8	198	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PAXX	detail/chromatin/PAXX/PAXX-evaluation.md	scored	chromatin	59.6	7	174	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PBX4	detail/chromatin/PBX4/PBX4-evaluation.md	scored	chromatin	68.6	7	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PIDD1	detail/chromatin/PIDD1/PIDD1-evaluation.md	scored	chromatin	57.1	4	196	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PLRG1	detail/chromatin/PLRG1/PLRG1-evaluation.md	scored	chromatin	72.7	8	183	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PMF1	detail/chromatin/PMF1/PMF1-evaluation.md	scored	chromatin	63.9	8	174	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
POU6F2	detail/chromatin/POU6F2/POU6F2-evaluation.md	scored	chromatin	68.9	8	178	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PPHLN1	detail/chromatin/PPHLN1/PPHLN1-evaluation.md	scored	chromatin	72.7	7	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PRM3	detail/chromatin/PRM3/PRM3-evaluation.md	scored	chromatin	65.6	7	174	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PROX2	detail/chromatin/PROX2/PROX2-evaluation.md	scored	chromatin	72.2	7	171	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PRR14	detail/chromatin/PRR14/PRR14-evaluation.md	scored	chromatin	71.6	8	173	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PRR7	detail/chromatin/PRR7/PRR7-evaluation.md	scored	chromatin	62.3	4	171	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PRRC2A	detail/chromatin/PRRC2A/PRRC2A-evaluation.md	scored	chromatin	54.1	7	173	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PTBP3	detail/chromatin/PTBP3/PTBP3-evaluation.md	scored	chromatin	46.2	4	183	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PURB	detail/chromatin/PURB/PURB-evaluation.md	scored	chromatin	55.2	8	173	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
PUS1	detail/chromatin/PUS1/PUS1-evaluation.md	scored	chromatin	47.3	4	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
QRICH1	detail/chromatin/QRICH1/QRICH1-evaluation.md	scored	chromatin	60.4	4	176	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
QSER1	detail/chromatin/QSER1/QSER1-evaluation.md	scored	chromatin	61.7	5	173	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
RBPJL	detail/chromatin/RBPJL/RBPJL-evaluation.md	scored	chromatin	77.5	8	177	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
RTF2	detail/chromatin/RTF2/RTF2-evaluation.md	scored	chromatin	66.7	6	173	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SAMD1	detail/chromatin/SAMD1/SAMD1-evaluation.md	scored	chromatin	82.8	7	212	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SEM1	detail/chromatin/SEM1/SEM1-evaluation.md	scored	chromatin	55.5	4	176	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SEPHS1	detail/chromatin/SEPHS1/SEPHS1-evaluation.md	scored	chromatin	60.4	4	178	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SETMAR	detail/chromatin/SETMAR/SETMAR-evaluation.md	scored	chromatin	1.83	9	115	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SGF29	detail/chromatin/SGF29/SGF29-evaluation.md	scored	chromatin	76.0	8	182	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SGTA	detail/chromatin/SGTA/SGTA-evaluation.md	scored	chromatin	54.1	7	183	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SHLD1	detail/chromatin/SHLD1/SHLD1-evaluation.md	scored	chromatin	73.8	7	208	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SLFN5	detail/chromatin/SLFN5/SLFN5-evaluation.md	scored	chromatin	60.4	4	187	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SLTM	detail/chromatin/SLTM/SLTM-evaluation.md	scored	chromatin	65.0	8	183	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SMU1	detail/chromatin/SMU1/SMU1-evaluation.md	scored	chromatin	69.1	4	186	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SOX14	detail/chromatin/SOX14/SOX14-evaluation.md	scored	chromatin	63.3	8	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SPC24	detail/chromatin/SPC24/SPC24-evaluation.md	scored	chromatin	62.8	8	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SPC25	detail/chromatin/SPC25/SPC25-evaluation.md	scored	chromatin	44.0	4	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SPINDOC	detail/chromatin/SPINDOC/SPINDOC-evaluation.md	scored	chromatin	78.1	8	171	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SRCAP	detail/chromatin/SRCAP/SRCAP-evaluation.md	rejected	chromatin		7	175	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SSBP2	detail/chromatin/SSBP2/SSBP2-evaluation.md	scored	chromatin	63.9	8	174	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SUPT16H	detail/chromatin/SUPT16H/SUPT16H-evaluation.md	scored	chromatin	74.9	8	197	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SYCE1	detail/chromatin/SYCE1/SYCE1-evaluation.md	scored	chromatin	55.2	8	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
SYCE2	detail/chromatin/SYCE2/SYCE2-evaluation.md	scored	chromatin	69.4	8	169	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
Sohlh2	detail/chromatin/Sohlh2/Sohlh2-evaluation.md	scored	chromatin	61.1	7	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TADA2A	detail/chromatin/TADA2A/TADA2A-evaluation.md	scored	chromatin	72.7	8	188	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TASOR2	detail/chromatin/TASOR2/TASOR2-evaluation.md	scored	chromatin	67.2	8	176	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TBX22	detail/chromatin/TBX22/TBX22-evaluation.md	scored	chromatin	63.3	8	178	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TELO2	detail/chromatin/TELO2/TELO2-evaluation.md	scored	chromatin	55.2	7	178	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TEX264	detail/chromatin/TEX264/TEX264-evaluation.md	scored	chromatin	72.2	7	184	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TFAP2E	detail/chromatin/TFAP2E/TFAP2E-evaluation.md	scored	chromatin	68.9	8	178	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
THAP4	detail/chromatin/THAP4/THAP4-evaluation.md	scored	chromatin	72.7	7	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TNKS1BP1	detail/chromatin/TNKS1BP1/TNKS1BP1-evaluation.md	scored	chromatin	66.1	7	183	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TOX4	detail/chromatin/TOX4/TOX4-evaluation.md	scored	chromatin	72.7	8	177	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TRIOBP	detail/chromatin/TRIOBP/TRIOBP-evaluation.md	scored	chromatin	51.1	7	183	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TRNP1	detail/chromatin/TRNP1/TRNP1-evaluation.md	scored	chromatin	74.4	8	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TSPY1	detail/chromatin/TSPY1/TSPY1-evaluation.md	scored	chromatin	68.3	7	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TSPY10	detail/chromatin/TSPY10/TSPY10-evaluation.md	scored	chromatin	74.2	7	167	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TSPY2	detail/chromatin/TSPY2/TSPY2-evaluation.md	scored	chromatin	74.2	7	177	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TSPY3	detail/chromatin/TSPY3/TSPY3-evaluation.md	scored	chromatin	74.2	7	169	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TSPY4	detail/chromatin/TSPY4/TSPY4-evaluation.md	scored	chromatin	73.9	7	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TSPY8	detail/chromatin/TSPY8/TSPY8-evaluation.md	scored	chromatin	74.2	7	164	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
TSPY9	detail/chromatin/TSPY9/TSPY9-evaluation.md	scored	chromatin	73.9	7	166	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
UFL1	detail/chromatin/UFL1/UFL1-evaluation.md	scored	chromatin	1.83	4	99	True	False	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
UVSSA	detail/chromatin/UVSSA/UVSSA-evaluation.md	scored	chromatin	62.6	6	176	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
VSX2	detail/chromatin/VSX2/VSX2-evaluation.md	scored	chromatin	50.0	7	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
WDR77	detail/chromatin/WDR77/WDR77-evaluation.md	scored	chromatin	59.6	7	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
ZHX1	detail/chromatin/ZHX1/ZHX1-evaluation.md	scored	chromatin	66.1	8	182	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
ABRAXAS1	detail/nuclear-body/ABRAXAS1/ABRAXAS1-evaluation.md	scored	nuclear-body	1.83	8	209	True	True	True	True	True	True	True	True	False	GOOD	ok_or_rejected_without_score
AMER1	detail/nuclear-body/AMER1/AMER1-evaluation.md	scored	nuclear-body	1.83	6	146	True	False	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
ANGEL2	detail/nuclear-body/ANGEL2/ANGEL2-evaluation.md	scored	nuclear-body	1.83	4	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
ANXA9	detail/nuclear-body/ANXA9/ANXA9-evaluation.md	scored	nuclear-body	71.4	7	183	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
APBB3	detail/nuclear-body/APBB3/APBB3-evaluation.md	scored	nuclear-body	72.5	7	184	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
ARIH1	detail/nuclear-body/ARIH1/ARIH1-evaluation.md	scored	nuclear-body	1.83	7	182	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
BABAM1	detail/nuclear-body/BABAM1/BABAM1-evaluation.md	scored	nuclear-body	1.83	8	147	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
BLMH	detail/nuclear-body/BLMH/BLMH-evaluation.md	scored	nuclear-body	1.83	7	180	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
C19orf47	detail/nuclear-body/C19orf47/C19orf47-evaluation.md	scored	nuclear-body	74.4	8	174	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
C1orf35	detail/nuclear-body/C1orf35/C1orf35-evaluation.md	scored	nuclear-body	65.6	4	187	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
C6orf52	detail/nuclear-body/C6orf52/C6orf52-evaluation.md	scored	nuclear-body	70.6	7	166	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
C8orf58	detail/nuclear-body/C8orf58/C8orf58-evaluation.md	scored	nuclear-body	71.9	7	165	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CAND2	detail/nuclear-body/CAND2/CAND2-evaluation.md	rejected	nuclear-body		7	183	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CCNDBP1	detail/nuclear-body/CCNDBP1/CCNDBP1-evaluation.md	scored	nuclear-body	74.7	7	187	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CGNL1	detail/nuclear-body/CGNL1/CGNL1-evaluation.md	scored	nuclear-body	1.83	4	171	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CHN2	detail/nuclear-body/CHN2/CHN2-evaluation.md	scored	nuclear-body	53.9	4	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CIRSR	detail/nuclear-body/CIRSR/CIRSR-evaluation.md	scored	nuclear-body	70.6	7	158	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CLMN	detail/nuclear-body/CLMN/CLMN-evaluation.md	scored	nuclear-body	65.3	7	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
COG6	detail/nuclear-body/COG6/COG6-evaluation.md	scored	nuclear-body	64.7	4	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
COIL	detail/nuclear-body/COIL/COIL-evaluation.md	rejected	nuclear-body		7	183	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
COPS4	detail/nuclear-body/COPS4/COPS4-evaluation.md	scored	nuclear-body	74.7	7	172	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CRIP3	detail/nuclear-body/CRIP3/CRIP3-evaluation.md	scored	nuclear-body	67.5	4	167	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CWF19L2	detail/nuclear-body/CWF19L2/CWF19L2-evaluation.md	scored	nuclear-body	74.2	8	176	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CXXC1	detail/nuclear-body/CXXC1/CXXC1-evaluation.md	scored	nuclear-body	67.2	7	174	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
