gene	in_centrosome_seed	in_main_atlas	main_status	main_category	main_score	main_report_path	main_docs_report_path	centrosome_action	reason
ANKAR	TRUE	TRUE	scored	nucleoplasm	65.8	detail/nucleoplasm/ANKAR/ANKAR-evaluation.md	reports/ANKAR.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ANKRD31	TRUE	TRUE	scored	nucleoplasm	76	detail/nucleoplasm/ANKRD31/ANKRD31-evaluation.md	reports/ANKRD31.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ANKRD45	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ANP32A	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ANP32B	TRUE	TRUE	scored	nucleoplasm	73.8	detail/nucleoplasm/ANP32B/ANP32B-evaluation.md	reports/ANP32B.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ANP32D	TRUE	TRUE	scored	nucleoplasm	58.5	detail/nucleoplasm/ANP32D/ANP32D-evaluation.md	reports/ANP32D.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ANP32E	TRUE	TRUE	scored	nucleoplasm	70.5	detail/nucleoplasm/ANP32E/ANP32E-evaluation.md	reports/ANP32E.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
APEX1	TRUE	TRUE	scored	nucleoplasm	53.1	detail/nucleoplasm/APEX1/APEX1-evaluation.md	reports/APEX1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
APOBR	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ARHGAP29	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ARHGAP40	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ARHGEF38	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ARL2BP	TRUE	TRUE	scored	nucleoplasm	84.4	detail/nucleoplasm/ARL2BP/ARL2BP-evaluation.md	reports/ARL2BP.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ARL3	TRUE	TRUE	scored	nucleoplasm	48.1	detail/nucleoplasm/ARL3/ARL3-evaluation.md	reports/ARL3.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ARL9	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ASAP1	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ATAD5	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ATF3	TRUE	TRUE	scored	nucleoplasm	45	detail/nucleoplasm/ATF3/ATF3-evaluation.md	reports/ATF3.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ATG5	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ATP11B	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
AUH	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
AUNIP	TRUE	TRUE	scored	chromatin	63.9	detail/chromatin/AUNIP/AUNIP-evaluation.md	reports/AUNIP.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
AURKA	TRUE	TRUE	rejected	rejected	None	detail/rejected/AURKA/AURKA-evaluation.md	reports/AURKA.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
AVEN	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
B9D2	TRUE	TRUE	scored	nucleoplasm	75.8	detail/nucleoplasm/B9D2/B9D2-evaluation.md	reports/B9D2.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
BAG2	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
BAG5	TRUE	TRUE	scored	nucleus-cytoplasm	54.6	detail/nucleus-cytoplasm/BAG5/BAG5-evaluation.md	reports/BAG5.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
BBIP1	TRUE	TRUE	rejected	rejected	None	detail/rejected/BBIP1/BBIP1-evaluation.md	reports/BBIP1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
BBOF1	TRUE	TRUE	rejected	rejected	None	detail/rejected/BBOF1/BBOF1-evaluation.md	reports/BBOF1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
BCAR3	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
BCAS2	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
BCO1	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
BEAN1	TRUE	TRUE	scored	nucleus-cytoplasm	76.8	detail/nucleus-cytoplasm/BEAN1/BEAN1-evaluation.md	reports/BEAN1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
BHLHE22	TRUE	TRUE	scored	nuclear-speckle	69.2	detail/nuclear-speckle/BHLHE22/BHLHE22-evaluation.md	reports/BHLHE22.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
BICC1	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
BIRC7	TRUE	TRUE	scored	nucleus-cytoplasm	73	detail/nucleus-cytoplasm/BIRC7/BIRC7-evaluation.md	reports/BIRC7.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
BLTP1	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
BRAF	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
BRMS1	TRUE	TRUE	scored	nucleoplasm	49.7	detail/nucleoplasm/BRMS1/BRMS1-evaluation.md	reports/BRMS1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
BUD31	TRUE	TRUE	scored	nucleoplasm	93.4	detail/nucleoplasm/BUD31/BUD31-evaluation.md	reports/BUD31.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
C11orf80	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
C12orf73	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
C16orf74	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
C16orf96	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
C19orf54	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
C1QTNF2	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
C1orf146	TRUE	TRUE	rejected	rejected	None	detail/rejected/C1orf146/C1orf146-evaluation.md	reports/C1orf146.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
C20orf96	TRUE	TRUE	rejected	rejected	None	detail/rejected/C20orf96/C20orf96-evaluation.md	reports/C20orf96.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
C2CD3	TRUE	TRUE	scored	nucleoplasm	55.6	detail/nucleoplasm/C2CD3/C2CD3-evaluation.md	reports/C2CD3.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
C2CD5	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
C2orf74	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
C3orf49	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
C3orf56	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
C5orf58	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
C9orf40	TRUE	TRUE	scored	nucleoplasm	63.9	detail/nucleoplasm/C9orf40/C9orf40-evaluation.md	reports/C9orf40.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CABCOCO1	TRUE	TRUE	scored	nucleoplasm	67.5	detail/nucleoplasm/CABCOCO1/CABCOCO1-evaluation.md	reports/CABCOCO1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CALCR	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CALML6	TRUE	TRUE	scored	nucleus-cytoplasm	67.8	detail/nucleus-cytoplasm/CALML6/CALML6-evaluation.md	reports/CALML6.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CAMK2N2	TRUE	TRUE	scored	nucleoplasm	69.4	detail/nucleoplasm/CAMK2N2/CAMK2N2-evaluation.md	reports/CAMK2N2.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CAPN6	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CAPN7	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CAPRIN1	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CAPRIN2	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CAPS2	TRUE	TRUE	scored	nucleolus	59	detail/nucleolus/CAPS2/CAPS2-evaluation.md	reports/CAPS2.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CASP8	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CBY1	TRUE	TRUE	scored	nuclear-speckle	70.6	detail/nuclear-speckle/CBY1/CBY1-evaluation.md	reports/CBY1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CCDC13	TRUE	TRUE	scored	nucleoplasm	67.2	detail/nucleoplasm/CCDC13/CCDC13-evaluation.md	reports/CCDC13.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CCDC14	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CCDC32	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CCDC39	TRUE	TRUE	scored	nucleus-cytoplasm	64.2	detail/nucleus-cytoplasm/CCDC39/CCDC39-evaluation.md	reports/CCDC39.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CCDC51	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CCDC57	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CCDC65	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CCDC66	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CCDC74A	TRUE	TRUE	scored	nucleus-cytoplasm	69.4	detail/nucleus-cytoplasm/CCDC74A/CCDC74A-evaluation.md	reports/CCDC74A.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CCDC74B	TRUE	TRUE	scored	nucleoplasm	65.3	detail/nucleoplasm/CCDC74B/CCDC74B-evaluation.md	reports/CCDC74B.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CCDC88A	TRUE	TRUE	scored	nucleoplasm	60.7	detail/nucleoplasm/CCDC88A/CCDC88A-evaluation.md	reports/CCDC88A.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CCDC88B	TRUE	TRUE	scored	nucleus-cytoplasm	63.1	detail/nucleus-cytoplasm/CCDC88B/CCDC88B-evaluation.md	reports/CCDC88B.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CCDC92	TRUE	TRUE	scored	nucleoplasm	68.9	detail/nucleoplasm/CCDC92/CCDC92-evaluation.md	reports/CCDC92.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CCNF	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CCNO	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CCP110	TRUE	TRUE	rejected	rejected	None	detail/rejected/CCP110/CCP110-evaluation.md	reports/CCP110.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CD163L1	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CD226	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CD2AP	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CD86	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CDC45	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CDIP1	TRUE	TRUE	scored	nucleus-cytoplasm	58.5	detail/nucleus-cytoplasm/CDIP1/CDIP1-evaluation.md	reports/CDIP1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CDK2	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CDK5RAP2	TRUE	TRUE	rejected	rejected	None	detail/rejected/CDK5RAP2/CDK5RAP2-evaluation.md	reports/CDK5RAP2.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CDKL2	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CDKN1B	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CENPJ	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CENPU	TRUE	TRUE	scored	nucleoplasm	59	detail/nucleoplasm/CENPU/CENPU-evaluation.md	reports/CENPU.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP112	TRUE	TRUE	scored	nucleoplasm	73.1	detail/nucleoplasm/CEP112/CEP112-evaluation.md	reports/CEP112.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP128	TRUE	TRUE	rejected	rejected	None	detail/rejected/CEP128/CEP128-evaluation.md	reports/CEP128.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP131	TRUE	TRUE	rejected	rejected	None	detail/rejected/CEP131/CEP131-evaluation.md	reports/CEP131.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP152	TRUE	TRUE	scored	nucleoplasm	49.7	detail/nucleoplasm/CEP152/CEP152-evaluation.md	reports/CEP152.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP162	TRUE	TRUE	scored	nucleus-cytoplasm	66.1	detail/nucleus-cytoplasm/CEP162/CEP162-evaluation.md	reports/CEP162.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP164	TRUE	TRUE	scored	nucleoplasm	53.6	detail/nucleoplasm/CEP164/CEP164-evaluation.md	reports/CEP164.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP170	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CEP170B	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CEP19	TRUE	TRUE	scored	nucleoplasm	69.4	detail/nucleoplasm/CEP19/CEP19-evaluation.md	reports/CEP19.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP192	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CEP20	TRUE	TRUE	scored	nucleoplasm	67.2	detail/nucleoplasm/CEP20/CEP20-evaluation.md	reports/CEP20.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP250	TRUE	TRUE	rejected	rejected	None	detail/rejected/CEP250/CEP250-evaluation.md	reports/CEP250.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP290	TRUE	TRUE	scored	nucleoplasm	38.1	detail/nucleoplasm/CEP290/CEP290-evaluation.md	reports/CEP290.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP350	TRUE	TRUE	scored	nucleoplasm	63.3	detail/nucleoplasm/CEP350/CEP350-evaluation.md	reports/CEP350.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP43	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CEP55	TRUE	TRUE	rejected	rejected	None	detail/rejected/CEP55/CEP55-evaluation.md	reports/CEP55.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP57	TRUE	TRUE	scored	nucleus-cytoplasm	77.2	detail/nucleus-cytoplasm/CEP57/CEP57-evaluation.md	reports/CEP57.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP63	TRUE	TRUE	scored	nucleoplasm	63.9	detail/nucleoplasm/CEP63/CEP63-evaluation.md	reports/CEP63.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP68	TRUE	TRUE	scored	nucleoplasm	57.9	detail/nucleoplasm/CEP68/CEP68-evaluation.md	reports/CEP68.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP70	TRUE	TRUE	scored	nucleoplasm	78.1	detail/nucleoplasm/CEP70/CEP70-evaluation.md	reports/CEP70.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP72	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CEP85	TRUE	TRUE	scored	nucleolus	72.1	detail/nucleolus/CEP85/CEP85-evaluation.md	reports/CEP85.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CEP89	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CEP95	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CEP97	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CETN2	TRUE	TRUE	scored	nuclear-envelope	74.4	detail/nuclear-envelope/CETN2/CETN2-evaluation.md	reports/CETN2.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CETN3	TRUE	TRUE	scored	nucleus-cytoplasm	77.2	detail/nucleus-cytoplasm/CETN3/CETN3-evaluation.md	reports/CETN3.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CFAP298	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CFAP300	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CFAP418	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CFAP52	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CFAP70	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CHD3	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CHMP1A	TRUE	TRUE	scored	nucleoplasm	53	detail/nucleoplasm/CHMP1A/CHMP1A-evaluation.md	reports/CHMP1A.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CHODL	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CHPF	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CHST15	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CIB2	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CIP2A	TRUE	TRUE	rejected	rejected	None	detail/rejected/CIP2A/CIP2A-evaluation.md	reports/CIP2A.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CKAP2	TRUE	TRUE	scored	nucleolus	48.9	detail/nucleolus/CKAP2/CKAP2-evaluation.md	reports/CKAP2.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CKAP5	TRUE	TRUE	scored	chromatin	45.3	detail/chromatin/CKAP5/CKAP5-evaluation.md	reports/CKAP5.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CLEC11A	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CLHC1	TRUE	TRUE	scored	nucleolus	66.4	detail/nucleolus/CLHC1/CLHC1-evaluation.md	reports/CLHC1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CLIC4	TRUE	TRUE	scored	nucleoplasm	51.7	detail/nucleoplasm/CLIC4/CLIC4-evaluation.md	reports/CLIC4.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CLRN1	TRUE	TRUE	rejected	rejected	None	detail/rejected/CLRN1/CLRN1-evaluation.md	reports/CLRN1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CLTC	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CNOT10	TRUE	TRUE	scored	nucleoplasm	73.1	detail/nucleoplasm/CNOT10/CNOT10-evaluation.md	reports/CNOT10.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CNTLN	TRUE	TRUE	scored	nucleoplasm	57.9	detail/nucleoplasm/CNTLN/CNTLN-evaluation.md	reports/CNTLN.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CNTRL	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CNTROB	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CPA4	TRUE	TRUE	scored	nucleoplasm	51.4	detail/nucleoplasm/CPA4/CPA4-evaluation.md	reports/CPA4.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
CPE	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CRACDL	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
CREB1	TRUE	TRUE	scored	nucleoplasm	45.3	detail/nucleoplasm/CREB1/CREB1-evaluation.md	reports/CREB1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
