gene	path	lines	is_chinese	has_hpa	has_pubmed	has_structure	has_ppi	has_te_module	has_nuclear_reject	has_ppi_pending	has_hpa_url	has_if_embed	has_pae_explained	qa_pass	reason
ARL9	centrosome/detail/ARL9/ARL9-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ASAP1	centrosome/detail/ASAP1/ASAP1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
ATAD5	centrosome/detail/ATAD5/ATAD5-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ATF3	centrosome/detail/ATF3/ATF3-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
ATG5	centrosome/detail/ATG5/ATG5-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
ATP11B	centrosome/detail/ATP11B/ATP11B-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
AUH	centrosome/detail/AUH/AUH-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
AUNIP	centrosome/detail/AUNIP/AUNIP-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
AURKA	centrosome/detail/AURKA/AURKA-centrosome-evaluation.md	100	False	True	False	True	True	True	False	False	False	False	False	False	no PubMed; has TE module
AVEN	centrosome/detail/AVEN/AVEN-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
B9D2	centrosome/detail/B9D2/B9D2-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
BAG2	centrosome/detail/BAG2/BAG2-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
BAG5	centrosome/detail/BAG5/BAG5-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
BBIP1	centrosome/detail/BBIP1/BBIP1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
BBOF1	centrosome/detail/BBOF1/BBOF1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
BCAR3	centrosome/detail/BCAR3/BCAR3-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
BCAS2	centrosome/detail/BCAS2/BCAS2-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
BCO1	centrosome/detail/BCO1/BCO1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
BEAN1	centrosome/detail/BEAN1/BEAN1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
BHLHE22	centrosome/detail/BHLHE22/BHLHE22-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
BICC1	centrosome/detail/BICC1/BICC1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
BIRC7	centrosome/detail/BIRC7/BIRC7-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
BLTP1	centrosome/detail/BLTP1/BLTP1-centrosome-evaluation.md	90	True	True	True	True	True	False	False	False	True	True	True	True	PASS
BRAF	centrosome/detail/BRAF/BRAF-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
BRMS1	centrosome/detail/BRMS1/BRMS1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
BUD31	centrosome/detail/BUD31/BUD31-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C11orf80	centrosome/detail/C11orf80/C11orf80-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C12orf73	centrosome/detail/C12orf73/C12orf73-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C16orf74	centrosome/detail/C16orf74/C16orf74-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C16orf96	centrosome/detail/C16orf96/C16orf96-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C19orf54	centrosome/detail/C19orf54/C19orf54-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C1QTNF2	centrosome/detail/C1QTNF2/C1QTNF2-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C1orf146	centrosome/detail/C1orf146/C1orf146-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C20orf96	centrosome/detail/C20orf96/C20orf96-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C2CD3	centrosome/detail/C2CD3/C2CD3-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C2CD5	centrosome/detail/C2CD5/C2CD5-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C2orf74	centrosome/detail/C2orf74/C2orf74-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C3orf49	centrosome/detail/C3orf49/C3orf49-centrosome-evaluation.md	91	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C3orf56	centrosome/detail/C3orf56/C3orf56-centrosome-evaluation.md	92	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C5orf58	centrosome/detail/C5orf58/C5orf58-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
C9orf40	centrosome/detail/C9orf40/C9orf40-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CABCOCO1	centrosome/detail/CABCOCO1/CABCOCO1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CALCR	centrosome/detail/CALCR/CALCR-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CALML6	centrosome/detail/CALML6/CALML6-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CAMK2N2	centrosome/detail/CAMK2N2/CAMK2N2-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CAPN6	centrosome/detail/CAPN6/CAPN6-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CAPN7	centrosome/detail/CAPN7/CAPN7-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CAPRIN1	centrosome/detail/CAPRIN1/CAPRIN1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CAPRIN2	centrosome/detail/CAPRIN2/CAPRIN2-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CAPS2	centrosome/detail/CAPS2/CAPS2-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CASP8	centrosome/detail/CASP8/CASP8-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CBY1	centrosome/detail/CBY1/CBY1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCDC13	centrosome/detail/CCDC13/CCDC13-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCDC14	centrosome/detail/CCDC14/CCDC14-centrosome-evaluation.md	111	False	True	False	True	True	True	False	False	False	False	False	False	not Chinese; no PubMed; has TE module
CCDC32	centrosome/detail/CCDC32/CCDC32-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCDC39	centrosome/detail/CCDC39/CCDC39-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCDC51	centrosome/detail/CCDC51/CCDC51-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCDC57	centrosome/detail/CCDC57/CCDC57-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCDC65	centrosome/detail/CCDC65/CCDC65-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCDC66	centrosome/detail/CCDC66/CCDC66-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCDC74A	centrosome/detail/CCDC74A/CCDC74A-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCDC74B	centrosome/detail/CCDC74B/CCDC74B-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCDC88A	centrosome/detail/CCDC88A/CCDC88A-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CCDC88B	centrosome/detail/CCDC88B/CCDC88B-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCDC92	centrosome/detail/CCDC92/CCDC92-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CCNF	centrosome/detail/CCNF/CCNF-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CCNO	centrosome/detail/CCNO/CCNO-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CCP110	centrosome/detail/CCP110/CCP110-centrosome-evaluation.md	117	False	True	False	True	True	True	False	False	False	False	False	False	not Chinese; no PubMed; has TE module
CD163L1	centrosome/detail/CD163L1/CD163L1-centrosome-evaluation.md	96	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CD226	centrosome/detail/CD226/CD226-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CD2AP	centrosome/detail/CD2AP/CD2AP-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CD86	centrosome/detail/CD86/CD86-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CDC45	centrosome/detail/CDC45/CDC45-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CDIP1	centrosome/detail/CDIP1/CDIP1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CDK2	centrosome/detail/CDK2/CDK2-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CDK5RAP2	centrosome/detail/CDK5RAP2/CDK5RAP2-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CDKL2	centrosome/detail/CDKL2/CDKL2-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CDKN1B	centrosome/detail/CDKN1B/CDKN1B-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CENPJ	centrosome/detail/CENPJ/CENPJ-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CENPU	centrosome/detail/CENPU/CENPU-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP112	centrosome/detail/CEP112/CEP112-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP128	centrosome/detail/CEP128/CEP128-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP131	centrosome/detail/CEP131/CEP131-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP152	centrosome/detail/CEP152/CEP152-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP162	centrosome/detail/CEP162/CEP162-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP164	centrosome/detail/CEP164/CEP164-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CEP170	centrosome/detail/CEP170/CEP170-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP170B	centrosome/detail/CEP170B/CEP170B-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP19	centrosome/detail/CEP19/CEP19-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP192	centrosome/detail/CEP192/CEP192-centrosome-evaluation.md	97	False	True	False	True	True	True	False	False	False	False	False	False	no PubMed; has TE module
CEP20	centrosome/detail/CEP20/CEP20-centrosome-evaluation.md	90	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP250	centrosome/detail/CEP250/CEP250-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP290	centrosome/detail/CEP290/CEP290-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CEP350	centrosome/detail/CEP350/CEP350-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP43	centrosome/detail/CEP43/CEP43-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP55	centrosome/detail/CEP55/CEP55-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CEP57	centrosome/detail/CEP57/CEP57-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP63	centrosome/detail/CEP63/CEP63-centrosome-evaluation.md	93	True	True	True	True	True	False	False	False	False	False	True	True	PASS
CEP68	centrosome/detail/CEP68/CEP68-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP70	centrosome/detail/CEP70/CEP70-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP72	centrosome/detail/CEP72/CEP72-centrosome-evaluation.md	115	False	True	False	True	True	True	False	False	False	False	False	False	not Chinese; no PubMed; has TE module
CEP85	centrosome/detail/CEP85/CEP85-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP89	centrosome/detail/CEP89/CEP89-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP95	centrosome/detail/CEP95/CEP95-centrosome-evaluation.md	96	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CEP97	centrosome/detail/CEP97/CEP97-centrosome-evaluation.md	118	False	True	False	True	True	True	False	False	False	False	False	False	not Chinese; no PubMed; has TE module
CETN2	centrosome/detail/CETN2/CETN2-centrosome-evaluation.md	101	False	True	False	True	True	True	False	False	False	False	False	False	no PubMed; has TE module
CETN3	centrosome/detail/CETN3/CETN3-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CFAP298	centrosome/detail/CFAP298/CFAP298-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CFAP300	centrosome/detail/CFAP300/CFAP300-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CFAP418	centrosome/detail/CFAP418/CFAP418-centrosome-evaluation.md	90	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CFAP52	centrosome/detail/CFAP52/CFAP52-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CFAP70	centrosome/detail/CFAP70/CFAP70-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CHD3	centrosome/detail/CHD3/CHD3-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CHMP1A	centrosome/detail/CHMP1A/CHMP1A-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CHODL	centrosome/detail/CHODL/CHODL-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CHPF	centrosome/detail/CHPF/CHPF-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CHST15	centrosome/detail/CHST15/CHST15-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CIB2	centrosome/detail/CIB2/CIB2-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CIP2A	centrosome/detail/CIP2A/CIP2A-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CKAP2	centrosome/detail/CKAP2/CKAP2-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CKAP5	centrosome/detail/CKAP5/CKAP5-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CLEC11A	centrosome/detail/CLEC11A/CLEC11A-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CLHC1	centrosome/detail/CLHC1/CLHC1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CLIC4	centrosome/detail/CLIC4/CLIC4-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CLRN1	centrosome/detail/CLRN1/CLRN1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CLTC	centrosome/detail/CLTC/CLTC-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CNOT10	centrosome/detail/CNOT10/CNOT10-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CNTLN	centrosome/detail/CNTLN/CNTLN-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CNTRL	centrosome/detail/CNTRL/CNTRL-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CNTROB	centrosome/detail/CNTROB/CNTROB-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CPA4	centrosome/detail/CPA4/CPA4-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CPE	centrosome/detail/CPE/CPE-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CRACDL	centrosome/detail/CRACDL/CRACDL-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CREB1	centrosome/detail/CREB1/CREB1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CREB3	centrosome/detail/CREB3/CREB3-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CRIP1	centrosome/detail/CRIP1/CRIP1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CRMP1	centrosome/detail/CRMP1/CRMP1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CROCC	centrosome/detail/CROCC/CROCC-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CSPP1	centrosome/detail/CSPP1/CSPP1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CTNNBL1	centrosome/detail/CTNNBL1/CTNNBL1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CUEDC1	centrosome/detail/CUEDC1/CUEDC1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CYB5B	centrosome/detail/CYB5B/CYB5B-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
CYLD	centrosome/detail/CYLD/CYLD-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
CYTH4	centrosome/detail/CYTH4/CYTH4-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
DAPK1	centrosome/detail/DAPK1/DAPK1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
DCAF13	centrosome/detail/DCAF13/DCAF13-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
DCC	centrosome/detail/DCC/DCC-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
DCDC2	centrosome/detail/DCDC2/DCDC2-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
DCTN2	centrosome/detail/DCTN2/DCTN2-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
DCTN4	centrosome/detail/DCTN4/DCTN4-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
DDHD2	centrosome/detail/DDHD2/DDHD2-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
DDX59	centrosome/detail/DDX59/DDX59-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
DDX60	centrosome/detail/DDX60/DDX60-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
DENND1C	centrosome/detail/DENND1C/DENND1C-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
DHRS1	centrosome/detail/DHRS1/DHRS1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
DHX35	centrosome/detail/DHX35/DHX35-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
DIS3L	centrosome/detail/DIS3L/DIS3L-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
DLG4	centrosome/detail/DLG4/DLG4-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
DMBT1	centrosome/detail/DMBT1/DMBT1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
DMRT2	centrosome/detail/DMRT2/DMRT2-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
DNAH12	centrosome/detail/DNAH12/DNAH12-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
DNAH14	centrosome/detail/DNAH14/DNAH14-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
