gene	excel_sheets	has_report	report_paths	status	category	lines	has_duplicate	coverage_status	reason
AFF4	研究很少:426	True	detail/nucleolus/AFF4/AFF4-evaluation.md	scored	nucleolus	206	False	COVERED_SCORED	Report present
AFMID	重新pa一下:280	True	detail/nucleoplasm/AFMID/AFMID-evaluation.md;detail/rejected/AFMID/AFMID-evaluation.md	scored	nucleoplasm	186	True	COVERED_DUPLICATE_NEEDS_REVIEW	Multiple reports for same gene
AGAP2	重新pa一下:854	True	detail/nucleoplasm/AGAP2/AGAP2-evaluation.md	scored	nucleoplasm	217	False	COVERED_SCORED	Report present
AGBL2	Sheet1:34	True	detail/nucleolus/AGBL2/AGBL2-evaluation.md	scored	nucleolus	171	False	COVERED_SCORED	Report present
AGBL5	重新pa一下:677	True	detail/nucleus-cytoplasm/AGBL5/AGBL5-evaluation.md	scored	nucleus-cytoplasm	216	False	COVERED_SCORED	Report present
AGFG1	重新pa一下:1183	True	detail/nucleus-cytoplasm/AGFG1/AGFG1-evaluation.md	scored	nucleus-cytoplasm	219	False	COVERED_SCORED	Report present
AGL	Sheet1:35	True	detail/rejected/AGL/AGL-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AGO2	研究很少:70	True	detail/rejected/AGO2/AGO2-evaluation.md	rejected	rejected	174	False	COVERED_REJECTED	Report present
AGO3	研究很少:450	True	detail/rejected/AGO3/AGO3-evaluation.md	rejected	rejected	174	False	COVERED_REJECTED	Report present
AGPAT3	Sheet1:36	True	detail/nuclear-envelope/AGPAT3/AGPAT3-evaluation.md	scored	nuclear-envelope	103	False	COVERED_SCORED	Report present
AGPAT4	重新pa一下:721	True	detail/rejected/AGPAT4/AGPAT4-evaluation.md	rejected	rejected	113	False	COVERED_REJECTED	Report present
AGTPBP1	重新pa一下:153	True	detail/rejected/AGTPBP1/AGTPBP1-evaluation.md	rejected	rejected	113	False	COVERED_REJECTED	Report present
AHCTF1	Sheet1:37	True	detail/nuclear-envelope/AHCTF1/AHCTF1-evaluation.md	scored	nuclear-envelope	179	False	COVERED_SCORED	Report present
AHCY	Sheet1:39	True	detail/rejected/AHCY/AHCY-evaluation.md	rejected	rejected	180	False	COVERED_REJECTED	Report present
AHCYL2	重新pa一下:1031	True	detail/nucleus-cytoplasm/AHCYL2/AHCYL2-evaluation.md	scored	nucleus-cytoplasm	163	False	COVERED_SCORED	Report present
AHDC1	Sheet1:40	True	detail/nucleoplasm/AHDC1/AHDC1-evaluation.md	scored	nucleoplasm	177	False	COVERED_SCORED	Report present
AHR	研究很少:83	True	detail/rejected/AHR/AHR-evaluation.md	rejected	rejected	174	False	COVERED_REJECTED	Report present
AHRR	Sheet1:41	True	detail/rejected/AHRR/AHRR-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AICDA	Sheet1:42	True	detail/rejected/AICDA/AICDA-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AIM2	Sheet1:43	True	detail/rejected/AIM2/AIM2-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AIMP2	Sheet1:44	True	detail/rejected/AIMP2/AIMP2-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AIPL1	重新pa一下:1164	True	detail/rejected/AIPL1/AIPL1-evaluation.md	scored	rejected	163	False	COVERED_REJECTED	Report present
AIRE	研究很少:136	True	detail/rejected/AIRE/AIRE-evaluation.md	rejected	rejected	171	False	COVERED_REJECTED	Report present
AIRIM	重新pa一下:1376	True	detail/nucleoplasm/AIRIM/AIRIM-evaluation.md;detail/rejected/AIRIM/AIRIM-evaluation.md	scored	nucleoplasm	223	True	COVERED_DUPLICATE_NEEDS_REVIEW	Multiple reports for same gene
AJUBA	Sheet1:45	True	detail/rejected/AJUBA/AJUBA-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AK6	Sheet1:46	True	detail/rejected/AK6/AK6-evaluation.md	rejected	rejected	41	False	COVERED_REJECTED	Report present
AK9	Sheet1:47	True	detail/nucleoplasm/AK9/AK9-evaluation.md	scored	nucleoplasm	180	False	COVERED_SCORED	Report present
AKAP11	研究很少:384	True	detail/nucleolus/AKAP11/AKAP11-evaluation.md	scored	nucleolus	171	False	COVERED_SCORED	Report present
AKAP13	研究很少:153	True	detail/nucleoplasm/AKAP13/AKAP13-evaluation.md	scored	nucleoplasm	170	False	COVERED_SCORED	Report present
AKAP6	重新pa一下:850	True	detail/rejected/AKAP6/AKAP6-evaluation.md	rejected	rejected	128	False	COVERED_REJECTED	Report present
AKAP7	重新pa一下:268	True	detail/nucleus-cytoplasm/AKAP7/AKAP7-evaluation.md	scored	nucleus-cytoplasm	142	False	COVERED_SCORED	Report present
AKAP8	Sheet1:48	True	detail/nucleolus/AKAP8/AKAP8-evaluation.md	scored	nucleolus	188	False	COVERED_SCORED	Report present
AKAP8L	Sheet1:49	True	detail/nucleoplasm/AKAP8L/AKAP8L-evaluation.md	scored	nucleoplasm	144	False	COVERED_SCORED	Report present
AKIP1	重新pa一下:1304	True	detail/nucleoplasm/AKIP1/AKIP1-evaluation.md;detail/rejected/AKIP1/AKIP1-evaluation.md	scored	nucleoplasm	216	True	COVERED_DUPLICATE_NEEDS_REVIEW	Multiple reports for same gene
AKIRIN1	重新pa一下:723	True	detail/nucleoplasm/AKIRIN1/AKIRIN1-evaluation.md;detail/rejected/AKIRIN1/AKIRIN1-evaluation.md	scored	nucleoplasm	214	True	COVERED_DUPLICATE_NEEDS_REVIEW	Multiple reports for same gene
AKIRIN2	Sheet1:50	True	detail/nucleus-cytoplasm/AKIRIN2/AKIRIN2-evaluation.md	scored	nucleus-cytoplasm	226	False	COVERED_SCORED	Report present
AKNA	Sheet1:51	True	detail/nucleolus/AKNA/AKNA-evaluation.md	scored	nucleolus	131	False	COVERED_SCORED	Report present
AKT2	Sheet1:52	True	detail/rejected/AKT2/AKT2-evaluation.md	rejected	rejected	39	False	COVERED_REJECTED	Report present
AKT3	Sheet1:53	True	detail/rejected/AKT3/AKT3-evaluation.md	rejected	rejected	39	False	COVERED_REJECTED	Report present
AKTIP	Sheet1:54	True	detail/nucleolus/AKTIP/AKTIP-evaluation.md	scored	nucleolus	128	False	COVERED_SCORED	Report present
ALG14	重新pa一下:1319	True	detail/nucleolus/ALG14/ALG14-evaluation.md	scored	nucleolus	140	False	COVERED_SCORED	Report present
ALG1L2	研究很多:17	True	detail/nucleolus/ALG1L2/ALG1L2-evaluation.md	scored	nucleolus	164	False	COVERED_SCORED	Report present
ALG8	重新pa一下:724	True	detail/rejected/ALG8/ALG8-evaluation.md	rejected	rejected	120	False	COVERED_REJECTED	Report present
ALKBH2	重新pa一下:1032	True	detail/nucleoplasm/ALKBH2/ALKBH2-evaluation.md;detail/rejected/ALKBH2/ALKBH2-evaluation.md	scored	nucleoplasm	247	True	COVERED_DUPLICATE_NEEDS_REVIEW	Multiple reports for same gene
ALKBH3	Sheet1:55	True	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	scored	chromatin	236	False	COVERED_SCORED	Report present
ALKBH4	Sheet1:56	True	detail/nucleolus/ALKBH4/ALKBH4-evaluation.md	scored	nucleolus	209	False	COVERED_SCORED	Report present
ALKBH5	研究很少:232	True	detail/rejected/ALKBH5/ALKBH5-evaluation.md	rejected	rejected	172	False	COVERED_REJECTED	Report present
ALKBH6	重新pa一下:851	True	detail/nucleoplasm/ALKBH6/ALKBH6-evaluation.md;detail/rejected/ALKBH6/ALKBH6-evaluation.md	scored	nucleoplasm	110	True	COVERED_DUPLICATE_NEEDS_REVIEW	Multiple reports for same gene
ALKBH8	Sheet1:57	True	detail/nucleoplasm/ALKBH8/ALKBH8-evaluation.md	scored	nucleoplasm	223	False	COVERED_SCORED	Report present
ALMS1	Sheet1:58	True	detail/rejected/ALMS1/ALMS1-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
ALOX5	Sheet1:59	True	detail/rejected/ALOX5/ALOX5-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
ALOX5AP	Sheet1:60	True	detail/rejected/ALOX5AP/ALOX5AP-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
ALPK3	重新pa一下:1244	True	detail/nucleoplasm/ALPK3/ALPK3-evaluation.md	scored	nucleoplasm	126	False	COVERED_SCORED	Report present
ALX1	Sheet1:61	True	detail/nucleoplasm/ALX1/ALX1-evaluation.md	scored	nucleoplasm	195	False	COVERED_SCORED	Report present
ALX3	Sheet1:62	True	detail/nucleolus/ALX3/ALX3-evaluation.md	scored	nucleolus	176	False	COVERED_SCORED	Report present
ALX4	Sheet1:63	True	detail/rejected/ALX4/ALX4-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
ALYREF	Sheet1:64	True	detail/rejected/ALYREF/ALYREF-evaluation.md	rejected	rejected	183	False	COVERED_REJECTED	Report present
AMD1	Sheet1:66	True	detail/rejected/AMD1/AMD1-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AMDHD1	重新pa一下:272	True	detail/nucleus-cytoplasm/AMDHD1/AMDHD1-evaluation.md	scored	nucleus-cytoplasm	141	False	COVERED_SCORED	Report present
AMDHD2	重新pa一下:725	True	detail/rejected/AMDHD2/AMDHD2-evaluation.md	rejected	rejected	119	False	COVERED_REJECTED	Report present
AMER1	重新pa一下:1398	True	detail/nuclear-body/AMER1/AMER1-evaluation.md	scored	nuclear-body	145	False	COVERED_SCORED	Report present
AMHR2	Sheet1:67	True	detail/rejected/AMHR2/AMHR2-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AMMECR1	研究很多:20	True	detail/nucleoplasm/AMMECR1/AMMECR1-evaluation.md	scored	nucleoplasm	109	False	COVERED_SCORED	Report present
AMMECR1L	研究很多:21	True	detail/nucleoplasm/AMMECR1L/AMMECR1L-evaluation.md	scored	nucleoplasm	174	False	COVERED_SCORED	Report present
AMPD3	Sheet1:68	True	detail/nuclear-envelope/AMPD3/AMPD3-evaluation.md	scored	nuclear-envelope	110	False	COVERED_SCORED	Report present
AMZ2	研究很多:49	True	detail/rejected/AMZ2/AMZ2-evaluation.md	rejected	rejected	176	False	COVERED_REJECTED	Report present
ANAPC10	重新pa一下:545	True	detail/nucleoplasm/ANAPC10/ANAPC10-evaluation.md	scored	nucleoplasm	175	False	COVERED_SCORED	Report present
ANAPC11	重新pa一下:78	True	detail/nucleolus/ANAPC11/ANAPC11-evaluation.md	scored	nucleolus	180	False	COVERED_SCORED	Report present
ANAPC13	重新pa一下:528	True	detail/nucleoplasm/ANAPC13/ANAPC13-evaluation.md;detail/rejected/ANAPC13/ANAPC13-evaluation.md	scored	nucleoplasm	107	True	COVERED_DUPLICATE_NEEDS_REVIEW	Multiple reports for same gene
ANAPC15	研究很多:22	True	detail/nucleoplasm/ANAPC15/ANAPC15-evaluation.md	scored	nucleoplasm	112	False	COVERED_SCORED	Report present
ANAPC16	研究很多:23	True	detail/nucleoplasm/ANAPC16/ANAPC16-evaluation.md	scored	nucleoplasm	119	False	COVERED_SCORED	Report present
ANAPC2	重新pa一下:1166	True	detail/nucleoplasm/ANAPC2/ANAPC2-evaluation.md	scored	nucleoplasm	178	False	COVERED_SCORED	Report present
ANAPC4	重新pa一下:55	True	detail/nucleoplasm/ANAPC4/ANAPC4-evaluation.md	scored	nucleoplasm	180	False	COVERED_SCORED	Report present
ANAPC5	重新pa一下:509	True	detail/nucleoplasm/ANAPC5/ANAPC5-evaluation.md	scored	nucleoplasm	180	False	COVERED_SCORED	Report present
ANAPC7	重新pa一下:679	True	detail/nucleoplasm/ANAPC7/ANAPC7-evaluation.md	scored	nucleoplasm	181	False	COVERED_SCORED	Report present
ANG	研究很少:114	True	detail/rejected/ANG/ANG-evaluation.md	rejected	rejected	183	False	COVERED_REJECTED	Report present
ANGEL1	重新pa一下:1182	True	detail/nucleoplasm/ANGEL1/ANGEL1-evaluation.md	scored	nucleoplasm	179	False	COVERED_SCORED	Report present
ANGEL2	重新pa一下:529	True	detail/nuclear-body/ANGEL2/ANGEL2-evaluation.md	scored	nuclear-body	178	False	COVERED_SCORED	Report present
ANHX	Sheet1:69	True	detail/nucleoplasm/ANHX/ANHX-evaluation.md	scored	nucleoplasm	197	False	COVERED_SCORED	Report present
ANKAR	研究很多:24	True	detail/nucleoplasm/ANKAR/ANKAR-evaluation.md	scored	nucleoplasm	166	False	COVERED_SCORED	Report present
ANKDD1A	研究很多:25	True	detail/nucleoplasm/ANKDD1A/ANKDD1A-evaluation.md	scored	nucleoplasm	164	False	COVERED_SCORED	Report present
ANKEF1	重新pa一下:571	True	detail/nucleolus/ANKEF1/ANKEF1-evaluation.md	scored	nucleolus	177	False	COVERED_SCORED	Report present
ANKFN1	重新pa一下:274	True	detail/nucleoplasm/ANKFN1/ANKFN1-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
ANKLE1	Sheet1:70	True	detail/nucleus-cytoplasm/ANKLE1/ANKLE1-evaluation.md	scored	nucleus-cytoplasm	224	False	COVERED_SCORED	Report present
ANKMY2	重新pa一下:29	True	detail/nucleoplasm/ANKMY2/ANKMY2-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
ANKRA2	重新pa一下:727	True	detail/nucleoplasm/ANKRA2/ANKRA2-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
ANKRD1	Sheet1:71	True	detail/rejected/ANKRD1/ANKRD1-evaluation.md	rejected	rejected	182	False	COVERED_REJECTED	Report present
ANKRD10	重新pa一下:1320	True	detail/nucleoplasm/ANKRD10/ANKRD10-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
ANKRD11	Sheet1:72	True	detail/rejected/ANKRD11/ANKRD11-evaluation.md	scored	rejected	185	False	COVERED_REJECTED	Report present
ANKRD12	重新pa一下:79	True	detail/nucleoplasm/ANKRD12/ANKRD12-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
ANKRD16	研究很多:28	True	detail/nucleus-cytoplasm/ANKRD16/ANKRD16-evaluation.md	scored	nucleus-cytoplasm	105	False	COVERED_SCORED	Report present
ANKRD17	Sheet1:73	True	detail/nuclear-envelope/ANKRD17/ANKRD17-evaluation.md	scored	nuclear-envelope	224	False	COVERED_SCORED	Report present
ANKRD2	Sheet1:74	True	detail/chromatin/ANKRD2/ANKRD2-evaluation.md	scored	chromatin	178	False	COVERED_SCORED	Report present
ANKRD20A1	研究很多:29	True	detail/nucleoplasm/ANKRD20A1/ANKRD20A1-evaluation.md	scored	nucleoplasm	172	False	COVERED_SCORED	Report present
ANKRD22	Sheet1:75	True	detail/nucleoplasm/ANKRD22/ANKRD22-evaluation.md	scored	nucleoplasm	174	False	COVERED_SCORED	Report present
ANKRD23	重新pa一下:726	True	detail/nucleoplasm/ANKRD23/ANKRD23-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
ANKRD29	研究很多:30	True	detail/nuclear-speckle/ANKRD29/ANKRD29-evaluation.md	scored	nuclear-speckle	176	False	COVERED_SCORED	Report present
ANKRD30A	研究很多:31	True	detail/nucleoplasm/ANKRD30A/ANKRD30A-evaluation.md	scored	nucleoplasm	171	False	COVERED_SCORED	Report present
ANKRD30B	重新pa一下:575	True	detail/nucleoplasm/ANKRD30B/ANKRD30B-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
ANKRD31	Sheet1:76	True	detail/nucleoplasm/ANKRD31/ANKRD31-evaluation.md	scored	nucleoplasm	175	False	COVERED_SCORED	Report present
ANKRD33	研究很多:32	True	detail/nucleus-cytoplasm/ANKRD33/ANKRD33-evaluation.md	scored	nucleus-cytoplasm	105	False	COVERED_SCORED	Report present
ANKRD34B	重新pa一下:510	True	detail/nucleoplasm/ANKRD34B/ANKRD34B-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
ANKRD35	Sheet1:77	True	detail/nucleoplasm/ANKRD35/ANKRD35-evaluation.md	scored	nucleoplasm	170	False	COVERED_SCORED	Report present
ANKRD36	重新pa一下:275	True	detail/nucleoplasm/ANKRD36/ANKRD36-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
ANKRD36B	重新pa一下:276	True	detail/nucleoplasm/ANKRD36B/ANKRD36B-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
ANKRD36C	研究很多:33	True	detail/nucleoplasm/ANKRD36C/ANKRD36C-evaluation.md	scored	nucleoplasm	170	False	COVERED_SCORED	Report present
ANKRD37	重新pa一下:479	True	detail/nucleoplasm/ANKRD37/ANKRD37-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
ANKRD39	研究很多:34	True	detail/nucleoplasm/ANKRD39/ANKRD39-evaluation.md	scored	nucleoplasm	172	False	COVERED_SCORED	Report present
ANKRD40	研究很多:35	True	detail/nucleolus/ANKRD40/ANKRD40-evaluation.md	scored	nucleolus	175	False	COVERED_SCORED	Report present
ANKRD42	研究很多:36	True	detail/nucleoplasm/ANKRD42/ANKRD42-evaluation.md	scored	nucleoplasm	172	False	COVERED_SCORED	Report present
ANKRD44	研究很多:37	True	detail/nuclear-speckle/ANKRD44/ANKRD44-evaluation.md	scored	nuclear-speckle	176	False	COVERED_SCORED	Report present
ANKRD49	研究很多:38	True	detail/nucleoplasm/ANKRD49/ANKRD49-evaluation.md	scored	nucleoplasm	117	False	COVERED_SCORED	Report present
ANKRD50	研究很多:39	True	detail/nucleoplasm/ANKRD50/ANKRD50-evaluation.md	scored	nucleoplasm	149	False	COVERED_SCORED	Report present
ANKRD52	Sheet1:78	True	detail/nucleoplasm/ANKRD52/ANKRD52-evaluation.md	scored	nucleoplasm	128	False	COVERED_SCORED	Report present
ANKRD54	重新pa一下:192	True	detail/nucleoplasm/ANKRD54/ANKRD54-evaluation.md	scored	nucleoplasm	55	False	COVERED_SCORED	Report present
ANKRD55	Sheet1:79	True	detail/nuclear-speckle/ANKRD55/ANKRD55-evaluation.md	scored	nuclear-speckle	177	False	COVERED_SCORED	Report present
ANKRD61	研究很多:40	True	detail/nucleoplasm/ANKRD61/ANKRD61-evaluation.md	scored	nucleoplasm	111	False	COVERED_SCORED	Report present
ANKRD62	研究很多:41	True	detail/nuclear-speckle/ANKRD62/ANKRD62-evaluation.md	scored	nuclear-speckle	164	False	COVERED_SCORED	Report present
ANKRD65	研究很多:42	True	detail/nucleoplasm/ANKRD65/ANKRD65-evaluation.md	scored	nucleoplasm	165	False	COVERED_SCORED	Report present
ANKRD7	研究很多:43	True	detail/nucleoplasm/ANKRD7/ANKRD7-evaluation.md	scored	nucleoplasm	170	False	COVERED_SCORED	Report present
ANKS1A	重新pa一下:128	True	detail/nucleoplasm/ANKS1A/ANKS1A-evaluation.md	scored	nucleoplasm	55	False	COVERED_SCORED	Report present
ANKS1B	重新pa一下:1312	True	detail/nucleoplasm/ANKS1B/ANKS1B-evaluation.md	scored	nucleoplasm	54	False	COVERED_SCORED	Report present
