gene	current_path	status	current_lines	current_chars	risk	issues	existed_in_prev_commit	prev_commit	prev_lines	prev_chars	recommended_action	reason
ANKS1B	detail/rejected/ANKS1B/ANKS1B-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKS3	detail/rejected/ANKS3/ANKS3-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKS4B	detail/rejected/ANKS4B/ANKS4B-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKS6	detail/rejected/ANKS6/ANKS6-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANXA11	detail/rejected/ANXA11/ANXA11-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANXA13	detail/rejected/ANXA13/ANXA13-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANXA5	detail/rejected/ANXA5/ANXA5-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANXA9	detail/rejected/ANXA9/ANXA9-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AOPEP	detail/rejected/AOPEP/AOPEP-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AP3B1	detail/rejected/AP3B1/AP3B1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AP5B1	detail/rejected/AP5B1/AP5B1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
APBA1	detail/rejected/APBA1/APBA1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
APBB3	detail/rejected/APBB3/APBB3-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
APIP	detail/rejected/APIP/APIP-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
APLF	detail/rejected/APLF/APLF-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARFGAP1	detail/rejected/ARFGAP1/ARFGAP1-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARFIP2	detail/rejected/ARFIP2/ARFIP2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARID4A	detail/rejected/ARID4A/ARID4A-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARIH1	detail/rejected/ARIH1/ARIH1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARIH2	detail/rejected/ARIH2/ARIH2-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARK2N	detail/rejected/ARK2N/ARK2N-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARL14EP	detail/rejected/ARL14EP/ARL14EP-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARL2BP	detail/rejected/ARL2BP/ARL2BP-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARL6	detail/rejected/ARL6/ARL6-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARMC8	detail/rejected/ARMC8/ARMC8-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARMCX4	detail/rejected/ARMCX4/ARMCX4-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ARMCX5	detail/rejected/ARMCX5/ARMCX5-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ASAP3	detail/rejected/ASAP3/ASAP3-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ASB7	detail/rejected/ASB7/ASB7-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ASCL3	detail/rejected/ASCL3/ASCL3-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ASCL5	detail/rejected/ASCL5/ASCL5-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ASRGL1	detail/rejected/ASRGL1/ASRGL1-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ASZ1	detail/rejected/ASZ1/ASZ1-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ATG10	detail/rejected/ATG10/ATG10-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ATG2A	detail/rejected/ATG2A/ATG2A-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ATOX1	detail/rejected/ATOX1/ATOX1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ATXN3L	detail/rejected/ATXN3L/ATXN3L-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ATXN7L3B	detail/rejected/ATXN7L3B/ATXN7L3B-evaluation.md	rejected	11	192	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AUNIP	detail/rejected/AUNIP/AUNIP-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AUP1	detail/rejected/AUP1/AUP1-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
B4GALNT4	detail/rejected/B4GALNT4/B4GALNT4-evaluation.md	rejected	11	192	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
B9D1	detail/rejected/B9D1/B9D1-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BABAM1	detail/rejected/BABAM1/BABAM1-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BABAM2	detail/rejected/BABAM2/BABAM2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BACC1	detail/rejected/BACC1/BACC1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BAG5	detail/rejected/BAG5/BAG5-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BBS9	detail/rejected/BBS9/BBS9-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BCAS3	detail/rejected/BCAS3/BCAS3-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BCDIN3D	detail/rejected/BCDIN3D/BCDIN3D-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BCL7C	detail/rejected/BCL7C/BCL7C-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BCLAF3	detail/rejected/BCLAF3/BCLAF3-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BEAN1	detail/rejected/BEAN1/BEAN1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BEGAIN	detail/rejected/BEGAIN/BEGAIN-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BEND4	detail/rejected/BEND4/BEND4-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BEND5	detail/rejected/BEND5/BEND5-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BET1L	detail/rejected/BET1L/BET1L-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BEX4	detail/rejected/BEX4/BEX4-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BICD2	detail/rejected/BICD2/BICD2-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BICRA	detail/rejected/BICRA/BICRA-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BICRAL	detail/rejected/BICRAL/BICRAL-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BIRC7	detail/rejected/BIRC7/BIRC7-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BLCAP	detail/rejected/BLCAP/BLCAP-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BLMH	detail/rejected/BLMH/BLMH-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BLTP3B	detail/rejected/BLTP3B/BLTP3B-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BLVRB	detail/rejected/BLVRB/BLVRB-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BMP2K	detail/rejected/BMP2K/BMP2K-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BMS1	detail/rejected/BMS1/BMS1-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BNIP2	detail/rejected/BNIP2/BNIP2-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BOD1	detail/rejected/BOD1/BOD1-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BOD1L1	detail/rejected/BOD1L1/BOD1L1-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BOLA2	detail/rejected/BOLA2/BOLA2-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BPNT1	detail/rejected/BPNT1/BPNT1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BPNT2	detail/rejected/BPNT2/BPNT2-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
BRCC3	detail/rejected/BRCC3/BRCC3-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
