gene	worker	batch	staged_path	target_path	lines	chars	has_hpa	has_uni	has_pubmed	has_af	has_pae	has_pdb	has_ppi	has_score	has_reason	has_note	has_bad	is_thin	qa_pass
RIBC1	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RIBC1-evaluation.md	detail/nucleoplasm/RIBC1/RIBC1-evaluation.md	136	7253	True	True	True	True	False	True	True	True	True	True	False	False	True
RILPL1	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RILPL1-evaluation.md	detail/nucleoplasm/RILPL1/RILPL1-evaluation.md	141	8479	True	True	True	True	False	True	True	True	True	True	False	False	True
RILPL2	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RILPL2-evaluation.md	detail/nucleoplasm/RILPL2/RILPL2-evaluation.md	150	8186	True	True	True	True	False	True	True	True	True	True	False	False	True
RNF111	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RNF111-evaluation.md	detail/nucleoplasm/RNF111/RNF111-evaluation.md	179	11885	True	True	True	True	True	True	True	True	True	True	False	False	True
RNF113B	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RNF113B-evaluation.md	detail/nucleoplasm/RNF113B/RNF113B-evaluation.md	168	11076	True	True	True	True	True	True	True	True	True	True	False	False	True
RNF114	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RNF114-evaluation.md	detail/nucleoplasm/RNF114/RNF114-evaluation.md	167	9837	True	True	True	True	True	True	True	True	True	True	False	False	True
RNF138	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RNF138-evaluation.md	detail/nucleoplasm/RNF138/RNF138-evaluation.md	174	11026	True	True	True	True	True	True	True	True	True	True	False	False	True
RNF187	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RNF187-evaluation.md	detail/nucleoplasm/RNF187/RNF187-evaluation.md	149	8998	True	True	True	True	True	True	True	True	True	True	False	False	True
RNF44	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RNF44-evaluation.md	detail/nucleoplasm/RNF44/RNF44-evaluation.md	140	8902	True	True	True	True	True	True	True	True	True	True	False	False	True
RNF6	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RNF6-evaluation.md	detail/nucleoplasm/RNF6/RNF6-evaluation.md	170	9671	True	True	True	True	True	True	True	True	True	True	False	False	True
RPAP1	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RPAP1-evaluation.md	detail/nucleoplasm/RPAP1/RPAP1-evaluation.md	178	12441	True	True	True	True	True	True	True	True	True	True	False	False	True
RPGRIP1	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RPGRIP1-evaluation.md	detail/nucleoplasm/RPGRIP1/RPGRIP1-evaluation.md	154	9634	True	True	True	True	False	True	True	False	True	True	False	False	False
RPP21	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RPP21-evaluation.md	detail/nucleoplasm/RPP21/RPP21-evaluation.md	170	10284	True	True	True	True	True	True	True	True	True	True	False	False	True
RPRD1A	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RPRD1A-evaluation.md	detail/rejected/RPRD1A/RPRD1A-evaluation.md	182	12292	True	True	True	True	True	True	True	True	True	True	False	False	True
RPRD2	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RPRD2-evaluation.md	detail/nucleoplasm/RPRD2/RPRD2-evaluation.md	176	12043	True	True	True	True	True	True	True	True	True	True	False	False	True
RTCB	worker_W2	batch_1	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RTCB-evaluation.md	detail/nucleoplasm/RTCB/RTCB-evaluation.md	152	10129	True	True	True	True	True	True	True	False	True	True	False	False	False
RUSF1	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/RUSF1-evaluation.md	detail/nucleoplasm/RUSF1/RUSF1-evaluation.md	120	6565	True	True	True	True	False	True	True	True	True	True	False	False	True
RWDD1	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/RWDD1-evaluation.md	detail/nucleoplasm/RWDD1/RWDD1-evaluation.md	144	9526	True	True	True	True	False	True	True	True	True	True	False	False	True
RWDD2B	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/RWDD2B-evaluation.md	detail/nucleoplasm/RWDD2B/RWDD2B-evaluation.md	145	8888	True	True	True	True	True	True	True	True	True	True	False	False	True
RXRA	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/RXRA-evaluation.md	detail/nucleoplasm/RXRA/RXRA-evaluation.md	145	8774	True	True	True	True	False	True	True	False	True	True	False	False	False
SAAL1	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/SAAL1-evaluation.md	detail/nucleoplasm/SAAL1/SAAL1-evaluation.md	147	9209	True	True	True	True	True	True	True	True	True	True	False	False	True
SAMD11	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/SAMD11-evaluation.md	detail/nucleoplasm/SAMD11/SAMD11-evaluation.md	164	10514	True	True	True	True	True	True	True	True	True	True	False	False	True
SAMHD1	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/SAMHD1-evaluation.md	detail/nucleoplasm/SAMHD1/SAMHD1-evaluation.md	156	10513	True	True	True	True	False	True	True	False	True	True	False	False	False
SAP130	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/SAP130-evaluation.md	detail/nucleoplasm/SAP130/SAP130-evaluation.md	162	10999	True	True	True	True	True	True	True	True	True	True	False	False	True
SAR1A	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/SAR1A-evaluation.md	detail/nucleoplasm/SAR1A/SAR1A-evaluation.md	151	9079	True	True	True	True	False	True	True	True	True	True	False	False	True
SART3	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/SART3-evaluation.md	detail/nucleoplasm/SART3/SART3-evaluation.md	160	11250	True	True	True	True	True	True	True	True	True	True	False	False	True
SAXO4	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/SAXO4-evaluation.md	detail/nucleoplasm/SAXO4/SAXO4-evaluation.md	141	8017	True	True	True	True	False	True	True	True	True	True	False	False	True
SBDS	worker_W3	batch_1	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/SBDS-evaluation.md	detail/nucleoplasm/SBDS/SBDS-evaluation.md	175	10936	True	True	True	True	False	True	True	False	True	True	False	False	False
SCAMP1	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SCAMP1-evaluation.md	detail/rejected/SCAMP1/SCAMP1-evaluation.md	123	7909	True	True	True	True	False	True	True	True	True	True	False	False	True
SCLY	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SCLY-evaluation.md	detail/rejected/SCLY/SCLY-evaluation.md	114	6625	False	True	True	True	False	True	True	True	True	True	False	False	False
SCNM1	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SCNM1-evaluation.md	detail/rejected/SCNM1/SCNM1-evaluation.md	146	10170	False	True	True	True	True	True	True	True	True	True	False	False	False
SCRT2	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SCRT2-evaluation.md	detail/nucleoplasm/SCRT2/SCRT2-evaluation.md	152	11074	False	True	True	True	True	True	True	True	True	True	False	False	False
SDHAF1	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SDHAF1-evaluation.md	detail/rejected/SDHAF1/SDHAF1-evaluation.md	108	5725	False	True	True	True	False	True	True	True	True	True	False	False	False
SELENOF	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SELENOF-evaluation.md	detail/rejected/SELENOF/SELENOF-evaluation.md	106	5521	True	True	True	True	False	True	True	True	True	True	False	False	True
SELENOK	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SELENOK-evaluation.md	detail/rejected/SELENOK/SELENOK-evaluation.md	95	4690	False	True	True	True	False	True	True	True	True	True	False	False	False
SELENOO	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SELENOO-evaluation.md	detail/rejected/SELENOO/SELENOO-evaluation.md	101	5394	False	True	True	True	False	True	True	True	True	True	False	False	False
SELENOS	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SELENOS-evaluation.md	detail/rejected/SELENOS/SELENOS-evaluation.md	97	5097	False	True	True	True	False	True	True	True	True	True	False	False	False
SENP2	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SENP2-evaluation.md	detail/rejected/SENP2/SENP2-evaluation.md	128	9026	True	True	True	True	False	True	True	True	True	True	False	False	True
SEPHS1	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SEPHS1-evaluation.md	detail/nucleoplasm/SEPHS1/SEPHS1-evaluation.md	151	11536	False	True	True	True	True	True	True	True	True	True	False	False	False
SERPINI2	worker_W4	batch_1	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/SERPINI2-evaluation.md	detail/rejected/SERPINI2/SERPINI2-evaluation.md	99	5464	False	True	True	True	False	True	True	True	True	True	False	False	False
