gene	path	status	lines	chars	has_yaml	has_hpa	has_uniprot_go	has_pubmed	has_structure	has_ppi	has_scoring_table	has_final_decision	has_packet_error_conclusion	has_one_line_no_nuclear_rejection	is_blocking_incomplete	reason
ARID5B	detail/rejected/ARID5B/ARID5B-evaluation.md	rejected	19	278	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ARMC5	detail/rejected/ARMC5/ARMC5-evaluation.md	rejected	19	275	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ARRB1	detail/rejected/ARRB1/ARRB1-evaluation.md	rejected	19	275	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ARRB2	detail/rejected/ARRB2/ARRB2-evaluation.md	rejected	19	275	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ASCC2	detail/rejected/ASCC2/ASCC2-evaluation.md	rejected	19	276	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ASPM	detail/rejected/ASPM/ASPM-evaluation.md	rejected	19	274	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ASPSCR1	detail/rejected/ASPSCR1/ASPSCR1-evaluation.md	rejected	19	279	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ASS1	detail/rejected/ASS1/ASS1-evaluation.md	rejected	19	273	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ASXL2	detail/rejected/ASXL2/ASXL2-evaluation.md	rejected	19	276	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ATE1	detail/rejected/ATE1/ATE1-evaluation.md	rejected	19	273	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ATF5	detail/rejected/ATF5/ATF5-evaluation.md	rejected	19	273	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ATG12	detail/rejected/ATG12/ATG12-evaluation.md	rejected	19	275	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ATG13	detail/rejected/ATG13/ATG13-evaluation.md	rejected	19	275	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ATN1	detail/rejected/ATN1/ATN1-evaluation.md	rejected	19	274	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ATOH7	detail/rejected/ATOH7/ATOH7-evaluation.md	rejected	19	276	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ATXN3	detail/rejected/ATXN3/ATXN3-evaluation.md	rejected	19	276	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ATXN7	detail/rejected/ATXN7/ATXN7-evaluation.md	rejected	19	275	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AURKA	detail/rejected/AURKA/AURKA-evaluation.md	rejected	19	276	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AURKB	detail/rejected/AURKB/AURKB-evaluation.md	rejected	39	891	True	False	False	True	False	True	True	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,UniProt/GO,Structure
AXIN2	detail/rejected/AXIN2/AXIN2-evaluation.md	rejected	19	276	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
C2CD4C	detail/rejected/C2CD4C/C2CD4C-evaluation.md	rejected	34	657	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
C2CD4D	detail/rejected/C2CD4D/C2CD4D-evaluation.md	rejected	34	657	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
C2orf50	detail/rejected/C2orf50/C2orf50-evaluation.md	rejected	34	662	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
C3orf36	detail/rejected/C3orf36/C3orf36-evaluation.md	rejected	34	662	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CAMK4	detail/rejected/CAMK4/CAMK4-evaluation.md	rejected	39	891	True	False	False	True	False	True	True	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,UniProt/GO,Structure
CEP131	detail/rejected/CEP131/CEP131-evaluation.md	rejected	34	657	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CEP250	detail/rejected/CEP250/CEP250-evaluation.md	rejected	34	657	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CEP55	detail/rejected/CEP55/CEP55-evaluation.md	rejected	34	652	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CEP85L	detail/rejected/CEP85L/CEP85L-evaluation.md	rejected	34	657	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CFAP119	detail/rejected/CFAP119/CFAP119-evaluation.md	rejected	34	662	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CFAP206	detail/rejected/CFAP206/CFAP206-evaluation.md	rejected	34	662	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CFAP61	detail/rejected/CFAP61/CFAP61-evaluation.md	rejected	34	657	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CGGBP1	detail/rejected/CGGBP1/CGGBP1-evaluation.md	rejected	34	657	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CHAF1A	detail/rejected/CHAF1A/CHAF1A-evaluation.md	rejected	34	657	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CHCHD6	detail/rejected/CHCHD6/CHCHD6-evaluation.md	rejected	34	657	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CHD1L	detail/rejected/CHD1L/CHD1L-evaluation.md	rejected	34	652	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CHEK1	detail/rejected/CHEK1/CHEK1-evaluation.md	rejected	39	894	True	False	False	True	False	True	True	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,UniProt/GO,Structure
CHID1	detail/rejected/CHID1/CHID1-evaluation.md	rejected	34	652	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CIBAR2	detail/rejected/CIBAR2/CIBAR2-evaluation.md	rejected	34	657	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CIMIP3	detail/rejected/CIMIP3/CIMIP3-evaluation.md	rejected	34	657	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
CITED2	detail/rejected/CITED2/CITED2-evaluation.md	rejected	39	895	True	False	False	True	False	True	True	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,UniProt/GO,Structure
CTDSPL2	detail/rejected/CTDSPL2/CTDSPL2-evaluation.md	rejected	48	899	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
Cbll1	detail/rejected/Cbll1/Cbll1-evaluation.md	rejected	37	859	True	False	False	False	False	True	True	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,UniProt/GO,PubMed,Structure
Csnk2a1	detail/rejected/Csnk2a1/Csnk2a1-evaluation.md	rejected	37	867	True	False	False	False	False	True	True	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,UniProt/GO,PubMed,Structure
DAZ1	detail/rejected/DAZ1/DAZ1-evaluation.md	rejected	48	890	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DAZ4	detail/rejected/DAZ4/DAZ4-evaluation.md	rejected	48	890	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DCANP1	detail/rejected/DCANP1/DCANP1-evaluation.md	rejected	48	896	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DCUN1D3	detail/rejected/DCUN1D3/DCUN1D3-evaluation.md	rejected	48	899	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DCUN1D5	detail/rejected/DCUN1D5/DCUN1D5-evaluation.md	rejected	48	899	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DDB1	detail/rejected/DDB1/DDB1-evaluation.md	rejected	39	887	True	False	False	True	False	True	True	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,UniProt/GO,Structure
DDIAS	detail/rejected/DDIAS/DDIAS-evaluation.md	rejected	48	893	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DESI1	detail/rejected/DESI1/DESI1-evaluation.md	rejected	48	893	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DGCR6	detail/rejected/DGCR6/DGCR6-evaluation.md	rejected	48	893	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DGCR6L	detail/rejected/DGCR6L/DGCR6L-evaluation.md	rejected	48	896	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DNAAF4	detail/rejected/DNAAF4/DNAAF4-evaluation.md	rejected	48	896	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DUX1	detail/rejected/DUX1/DUX1-evaluation.md	rejected	48	890	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DUX3	detail/rejected/DUX3/DUX3-evaluation.md	rejected	48	890	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DUX5	detail/rejected/DUX5/DUX5-evaluation.md	rejected	48	890	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
DYNLT4	detail/rejected/DYNLT4/DYNLT4-evaluation.md	rejected	48	896	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
E2F2	detail/rejected/E2F2/E2F2-evaluation.md	rejected	36	657	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
E2F5	detail/rejected/E2F5/E2F5-evaluation.md	rejected	36	657	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
E2F6	detail/rejected/E2F6/E2F6-evaluation.md	rejected	36	657	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
E2F7	detail/rejected/E2F7/E2F7-evaluation.md	rejected	36	657	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
E2F8	detail/rejected/E2F8/E2F8-evaluation.md	rejected	36	657	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
EAF2	detail/rejected/EAF2/EAF2-evaluation.md	rejected	36	669	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
ECT2	detail/rejected/ECT2/ECT2-evaluation.md	rejected	36	689	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
EDARADD	detail/rejected/EDARADD/EDARADD-evaluation.md	rejected	36	697	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
EDRF1	detail/rejected/EDRF1/EDRF1-evaluation.md	rejected	48	893	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
EEF1AKMT2	detail/rejected/EEF1AKMT2/EEF1AKMT2-evaluation.md	rejected	48	905	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
EEF2	detail/rejected/EEF2/EEF2-evaluation.md	rejected	36	662	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
EGLN3	detail/rejected/EGLN3/EGLN3-evaluation.md	rejected	36	671	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
EGR4	detail/rejected/EGR4/EGR4-evaluation.md	rejected	36	663	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
ELAC1	detail/rejected/ELAC1/ELAC1-evaluation.md	rejected	48	893	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
ELK3	detail/rejected/ELK3/ELK3-evaluation.md	rejected	36	667	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
ELP5	detail/rejected/ELP5/ELP5-evaluation.md	rejected	48	890	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
EMG1	detail/rejected/EMG1/EMG1-evaluation.md	rejected	40	764	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
EMP2	detail/rejected/EMP2/EMP2-evaluation.md	rejected	36	715	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
EMSY	detail/rejected/EMSY/EMSY-evaluation.md	rejected	36	681	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
EMX2	detail/rejected/EMX2/EMX2-evaluation.md	rejected	36	676	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
EN2	detail/rejected/EN2/EN2-evaluation.md	rejected	36	656	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
ENC1	detail/rejected/ENC1/ENC1-evaluation.md	rejected	39	746	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
EPM2A	detail/rejected/EPM2A/EPM2A-evaluation.md	rejected	48	893	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
EPOP	detail/rejected/EPOP/EPOP-evaluation.md	rejected	39	744	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
ERCC6L2	detail/rejected/ERCC6L2/ERCC6L2-evaluation.md	rejected	39	814	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
ERFL	detail/rejected/ERFL/ERFL-evaluation.md	rejected	48	890	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
ERICH6	detail/rejected/ERICH6/ERICH6-evaluation.md	rejected	48	896	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
ESCO2	detail/rejected/ESCO2/ESCO2-evaluation.md	rejected	36	673	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
ESRRA	detail/rejected/ESRRA/ESRRA-evaluation.md	rejected	36	679	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
ESRRG	detail/rejected/ESRRG/ESRRG-evaluation.md	rejected	36	667	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
ESX1	detail/rejected/ESX1/ESX1-evaluation.md	rejected	36	664	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
ETV3L	detail/rejected/ETV3L/ETV3L-evaluation.md	rejected	48	893	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
EVI5L	detail/rejected/EVI5L/EVI5L-evaluation.md	rejected	39	704	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
FABP1	detail/rejected/FABP1/FABP1-evaluation.md	rejected	21	307	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
FABP6	detail/rejected/FABP6/FABP6-evaluation.md	rejected	21	327	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
FABP7	detail/rejected/FABP7/FABP7-evaluation.md	rejected	21	310	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
FADD	detail/rejected/FADD/FADD-evaluation.md	rejected	21	309	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
FADS2	detail/rejected/FADS2/FADS2-evaluation.md	rejected	21	310	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
FAF1	detail/rejected/FAF1/FAF1-evaluation.md	rejected	21	308	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
FAM13A	detail/rejected/FAM13A/FAM13A-evaluation.md	rejected	21	313	True	True	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: Structure,PPI
FAM53B	detail/rejected/FAM53B/FAM53B-evaluation.md	rejected	48	896	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
FAM76B	detail/rejected/FAM76B/FAM76B-evaluation.md	rejected	48	896	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
FAM9A	detail/rejected/FAM9A/FAM9A-evaluation.md	rejected	48	893	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
FAM9B	detail/rejected/FAM9B/FAM9B-evaluation.md	rejected	48	893	True	True	True	True	True	True	False	True	False	False	False	Thin rejected/backlog candidate
