gene	path	status	score	nuclear_score	false_rejection_risk	has_packet	has_hpa	has_uniprot_go	has_pubmed	has_pdb_or_no_pdb	has_ppi	current_decision	is_true_remaining_critical	is_audit_false_positive	reason
BBOF1	detail/rejected/BBOF1/BBOF1-evaluation.md	rejected	115.0	2	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
C11orf42	detail/rejected/C11orf42/C11orf42-evaluation.md	rejected	183	11	LOW	True	True	True	True	True	True	rejected	False	True	No true critical false-rejection signal by current heuristic
CARMIL3	detail/rejected/CARMIL3/CARMIL3-evaluation.md	rejected	100	2	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
CBWD3	detail/rejected/CBWD3/CBWD3-evaluation.md	rejected	115.5	3	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
CBX3P9	detail/rejected/CBX3P9/CBX3P9-evaluation.md	rejected	99	3	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
COX8A	detail/rejected/COX8A/COX8A-evaluation.md	rejected	106.5	2	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
CRLS1	detail/rejected/CRLS1/CRLS1-evaluation.md	rejected	99.5	2	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
Crxos	detail/rejected/Crxos/Crxos-evaluation.md	rejected	99	3	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
DNAJB14	detail/rejected/DNAJB14/DNAJB14-evaluation.md	rejected	115.0	3	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
DNAJC22	detail/rejected/DNAJC22/DNAJC22-evaluation.md	rejected	118.0	2	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
DNM3	detail/rejected/DNM3/DNM3-evaluation.md	rejected	73	3	LOW	True	True	True	True	True	True	rejected	False	True	Expected confirmed rejected gene is currently rejected
E2F2	detail/rejected/E2F2/E2F2-evaluation.md	rejected		6	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
E2F5	detail/rejected/E2F5/E2F5-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
E2F6	detail/rejected/E2F6/E2F6-evaluation.md	rejected		6	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
E2F7	detail/rejected/E2F7/E2F7-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
E2F8	detail/rejected/E2F8/E2F8-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
EAF2	detail/rejected/EAF2/EAF2-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
ECT2	detail/rejected/ECT2/ECT2-evaluation.md	rejected		6	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
EEF2	detail/rejected/EEF2/EEF2-evaluation.md	rejected		6	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
EGLN3	detail/rejected/EGLN3/EGLN3-evaluation.md	rejected		6	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
EGR4	detail/rejected/EGR4/EGR4-evaluation.md	rejected		6	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
ELK3	detail/rejected/ELK3/ELK3-evaluation.md	rejected		6	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
EMG1	detail/rejected/EMG1/EMG1-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
EMSY	detail/rejected/EMSY/EMSY-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
EMX2	detail/rejected/EMX2/EMX2-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
EN2	detail/rejected/EN2/EN2-evaluation.md	rejected		6	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
ENC1	detail/rejected/ENC1/ENC1-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
EPOP	detail/rejected/EPOP/EPOP-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
EQTN	detail/rejected/EQTN/EQTN-evaluation.md	rejected	109.5	2	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
ERCC6L2	detail/rejected/ERCC6L2/ERCC6L2-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
ESCO2	detail/rejected/ESCO2/ESCO2-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
ESRRA	detail/rejected/ESRRA/ESRRA-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
ESRRG	detail/rejected/ESRRG/ESRRG-evaluation.md	rejected		6	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
ESX1	detail/rejected/ESX1/ESX1-evaluation.md	rejected		6	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
EVI5L	detail/rejected/EVI5L/EVI5L-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
FABP1	detail/rejected/FABP1/FABP1-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FABP6	detail/rejected/FABP6/FABP6-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FABP7	detail/rejected/FABP7/FABP7-evaluation.md	rejected		4	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FADD	detail/rejected/FADD/FADD-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FADS2	detail/rejected/FADS2/FADS2-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FAF1	detail/rejected/FAF1/FAF1-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FAM13A	detail/rejected/FAM13A/FAM13A-evaluation.md	rejected		6	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FHL2	detail/rejected/FHL2/FHL2-evaluation.md	rejected		6	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FHL3	detail/rejected/FHL3/FHL3-evaluation.md	rejected		4	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FIGLA	detail/rejected/FIGLA/FIGLA-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FKBP4	detail/rejected/FKBP4/FKBP4-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FKBP5	detail/rejected/FKBP5/FKBP5-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FOXC2	detail/rejected/FOXC2/FOXC2-evaluation.md	rejected		4	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FOXD2	detail/rejected/FOXD2/FOXD2-evaluation.md	rejected		4	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FOXE1	detail/rejected/FOXE1/FOXE1-evaluation.md	rejected		6	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FOXE3	detail/rejected/FOXE3/FOXE3-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FOXF1	detail/rejected/FOXF1/FOXF1-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FOXF2	detail/rejected/FOXF2/FOXF2-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FOXH1	detail/rejected/FOXH1/FOXH1-evaluation.md	rejected		6	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FOXJ1	detail/rejected/FOXJ1/FOXJ1-evaluation.md	rejected		4	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FOXO4	detail/rejected/FOXO4/FOXO4-evaluation.md	rejected		6	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FOXQ1	detail/rejected/FOXQ1/FOXQ1-evaluation.md	rejected		6	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FSD1	detail/rejected/FSD1/FSD1-evaluation.md	rejected		3	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FSTL3	detail/rejected/FSTL3/FSTL3-evaluation.md	rejected		6	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FUBP1	detail/rejected/FUBP1/FUBP1-evaluation.md	rejected		4	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FUT8	detail/rejected/FUT8/FUT8-evaluation.md	rejected		4	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
FZR1	detail/rejected/FZR1/FZR1-evaluation.md	rejected		6	HIGH	True	True	True	True	False	False	rejected	False	True	Thin rejected report; likely backlog unless nuclear evidence is strong
GAB1	detail/rejected/GAB1/GAB1-evaluation.md	rejected		1	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GADD45B	detail/rejected/GADD45B/GADD45B-evaluation.md	rejected		45	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GALM	detail/rejected/GALM/GALM-evaluation.md	rejected		1	HIGH	True	True	True	True	False	False	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
GAS2	detail/rejected/GAS2/GAS2-evaluation.md	rejected		2	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GATA5	detail/rejected/GATA5/GATA5-evaluation.md	rejected		5	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GBP2	detail/rejected/GBP2/GBP2-evaluation.md	rejected		2	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GBX2	detail/rejected/GBX2/GBX2-evaluation.md	rejected		2	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GCAT	detail/rejected/GCAT/GCAT-evaluation.md	rejected		1	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GCH1	detail/rejected/GCH1/GCH1-evaluation.md	rejected		1	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GCLM	detail/rejected/GCLM/GCLM-evaluation.md	rejected		1	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GCM1	detail/rejected/GCM1/GCM1-evaluation.md	rejected		1	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GCM2	detail/rejected/GCM2/GCM2-evaluation.md	rejected		2	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GDA	detail/rejected/GDA/GDA-evaluation.md	rejected		1	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GEMIN2	detail/rejected/GEMIN2/GEMIN2-evaluation.md	rejected		2	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GLO1	detail/rejected/GLO1/GLO1-evaluation.md	rejected		1	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GPR176	detail/rejected/GPR176/GPR176-evaluation.md	rejected	99.5	2	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
GPR78	detail/rejected/GPR78/GPR78-evaluation.md	rejected	95.0	2	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
GPX4	detail/rejected/GPX4/GPX4-evaluation.md	rejected		4	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GRHL3	detail/rejected/GRHL3/GRHL3-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
GSS	detail/rejected/GSS/GSS-evaluation.md	rejected		1	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
HAND1	detail/rejected/HAND1/HAND1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HAS1	detail/rejected/HAS1/HAS1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HBP1	detail/rejected/HBP1/HBP1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HBS1L	detail/rejected/HBS1L/HBS1L-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HBZ	detail/rejected/HBZ/HBZ-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HCFC1	detail/rejected/HCFC1/HCFC1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HDGF	detail/rejected/HDGF/HDGF-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HELLS	detail/rejected/HELLS/HELLS-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HES6	detail/rejected/HES6/HES6-evaluation.md	rejected	3	6	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HESX1	detail/rejected/HESX1/HESX1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HEXIM1	detail/rejected/HEXIM1/HEXIM1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HEY1	detail/rejected/HEY1/HEY1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HEY2	detail/rejected/HEY2/HEY2-evaluation.md	rejected	3	2	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HHEX	detail/rejected/HHEX/HHEX-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HINT1	detail/rejected/HINT1/HINT1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HIP1	detail/rejected/HIP1/HIP1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HIPK2	detail/rejected/HIPK2/HIPK2-evaluation.md	rejected	3	2	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HIPK3	detail/rejected/HIPK3/HIPK3-evaluation.md	rejected	3	3	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HJURP	detail/rejected/HJURP/HJURP-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HMGB2	detail/rejected/HMGB2/HMGB2-evaluation.md	rejected	3	2	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HMGB3	detail/rejected/HMGB3/HMGB3-evaluation.md	rejected	3	3	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HMGCS1	detail/rejected/HMGCS1/HMGCS1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HMGN2	detail/rejected/HMGN2/HMGN2-evaluation.md	rejected	3	2	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HNMT	detail/rejected/HNMT/HNMT-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HPD	detail/rejected/HPD/HPD-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HPGD	detail/rejected/HPGD/HPGD-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HPGDS	detail/rejected/HPGDS/HPGDS-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HSBP1	detail/rejected/HSBP1/HSBP1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
HUS1	detail/rejected/HUS1/HUS1-evaluation.md	rejected	3	1	LOW	True	True	True	True	False	True	rejected	False	True	No true critical false-rejection signal by current heuristic
Hsf3	detail/rejected/Hsf3/Hsf3-evaluation.md	rejected	79	3	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
IFI16	detail/rejected/IFI16/IFI16-evaluation.md	rejected			LOW	True	False	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
IFI44	detail/rejected/IFI44/IFI44-evaluation.md	rejected			LOW	True	False	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
IGDCC3	detail/rejected/IGDCC3/IGDCC3-evaluation.md	rejected		3	HIGH	True	False	True	True	False	False	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
IGHMBP2	detail/rejected/IGHMBP2/IGHMBP2-evaluation.md	rejected			LOW	True	False	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
ILK	detail/rejected/ILK/ILK-evaluation.md	rejected			LOW	True	False	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
INCENP	detail/rejected/INCENP/INCENP-evaluation.md	rejected			LOW	True	False	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
IRX3	detail/rejected/IRX3/IRX3-evaluation.md	rejected			LOW	True	False	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
ISG20	detail/rejected/ISG20/ISG20-evaluation.md	rejected			LOW	True	False	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
ITGA7	detail/rejected/ITGA7/ITGA7-evaluation.md	rejected		0	HIGH	True	False	True	False	False	False	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
ITGA9	detail/rejected/ITGA9/ITGA9-evaluation.md	rejected		0	HIGH	True	False	True	False	False	False	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
ITPA	detail/rejected/ITPA/ITPA-evaluation.md	rejected			LOW	True	False	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
IVL	detail/rejected/IVL/IVL-evaluation.md	rejected			LOW	True	False	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
Ifi204	detail/rejected/Ifi204/Ifi204-evaluation.md	rejected	79	3	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
JMJD1C	detail/rejected/JMJD1C/JMJD1C-evaluation.md	rejected			LOW	True	False	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
KANSL1	detail/rejected/KANSL1/KANSL1-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
KCTD15	detail/rejected/KCTD15/KCTD15-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
KHNYN	detail/rejected/KHNYN/KHNYN-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
KHSRP	detail/rejected/KHSRP/KHSRP-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
KLF10	detail/rejected/KLF10/KLF10-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
KLF14	detail/rejected/KLF14/KLF14-evaluation.md	rejected		3	LOW	True	True	True	True	False	False	rejected	False	True	No true critical false-rejection signal by current heuristic
