priority_rank	gene_symbol	full_name	citations	hotness	hpa_nuclear	hpa_locations	hpa_reliability	tier	evidence_quality	uniprot_length	Combined_BS_Human_Degree	Has_Any_Human_PPI	uniprot_accession	uniprot_subcellular	category_reason	ChIP_Atlas_class	ENCODE_ChIP_WT	combined_nuclear_ppi	STRING_Human_Nuclear_Degree	BioGRID_Human_Nuclear_Degree	sheet
11	INTS6	Integrator complex subunit 6	47	较多	True	Actin filaments; Nucleoplasm	Supported	1	3	887.0	116	True	Q9UL03	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11939413, ECO:0000269|PubMed:23904267, ECO:0000269|PubMed:34004147, ECO:0000269|PubMed:39032490}. Chromosome {ECO:0000269|PubMed:34004147}. Note=Associates with chromatin and transcription pause-release checkpoint. {ECO:0000269|PubMed:34004147}.	reclassified_from_RBP	TFs and others	0	123	42	81	unclassified_core_nuclear
12	ARHGAP39	Rho GTPase-activating protein 39	22	较多	True	Nucleoplasm	Approved	1	3	1083.0	116	True	B4DK23;Q9C0H5	SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.;SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	core_nuclear_unclassified		0	65	4	61	unclassified_core_nuclear
13	TMEM120B	Transmembrane protein 120B	13	中等	True	Cytosol; Nucleoli fibrillar center	Approved	1	3	339.0	113	True	A0PK00	SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:Q3TA38}; Multi-pass membrane protein {ECO:0000255}.	core_nuclear_unclassified		0	45	0	45	unclassified_core_nuclear
14	ARL6IP4	ADP-ribosylation factor-like protein 6-interacting protein 4	17	中等	True	Mitochondria;Nucleoplasm	Approved	1	3	237.0	107	True	B2RE15;Q66PJ3;Q8TEM4	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000256|ARBA:ARBA00004324}. Nucleus, nucleolus {ECO:0000256|ARBA:ARBA00004604}.;SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:19582790}. Nucleus speckle {ECO:0000269|PubMed:19582790}.	reclassified_from_suspicious (Tier 1);merged_FLJ00169		0	87	1	86	unclassified_core_nuclear
15	SAP30BP	SAP30-binding protein	22	较多	True	Nucleoplasm	Enhanced	1	3	308.0	107	True	Q9UHR5	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15496587}. Nucleus speckle {ECO:0000269|PubMed:21221920}.	core_nuclear_unclassified		0	95	9	86	unclassified_core_nuclear
16	AKAP17A	A-kinase anchor protein 17A	15	中等	True	Cytosol; Nuclear speckles	Supported	1	3	695.0	104	True	Q02040	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:16982639, ECO:0000269|PubMed:19840947}.	core_nuclear_unclassified		0	81	1	80	unclassified_core_nuclear
17	PSMG2	Proteasome assembly chaperone 2	18	中等	True	Nuclear bodies;Nucleoplasm	Approved	1	3	264.0	94	True	Q969U7;Q9P0C1;Q9P1R6	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9EST4}.;SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.	reclassified_from_suspicious (Tier 1)		0	81	36	45	unclassified_core_nuclear
18	CLASRP	CLK4-associating serine/arginine rich protein	12	中等	True	Nucleoplasm	Supported	1	3	674.0	91	True	Q8N2M8	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.	reclassified_from_RBP		0	69	8	61	unclassified_core_nuclear
19	TNRC18	Trinucleotide repeat-containing gene 18 protein	24	较多	True	Cytosol; Mitochondria; Nuclear membrane; Nucleoplasm	Supported	1	3	2968.0	86	True	O15417	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:37938770}. Chromosome {ECO:0000269|PubMed:37938770}. Note=Specifically binds histone H3 trimethylated at 'Lys-9' (H3K9me3) at endogenous retroviruses (ERV) sites on chromatin. {ECO:0000269|PubMed:37938770}.	reclassified_from_ZNF		0	59	2	57	unclassified_core_nuclear
20	CT45A5	Cancer/testis antigen family 45 member A5	3	较少	True	Nucleoli; Nucleoplasm	Approved	1	3	189.0	80	True	P0DMU8	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:31429579}.	core_nuclear_unclassified		0	67	3	64	unclassified_core_nuclear
21	QSOX2	Sulfhydryl oxidase 2	37	较多	True	Golgi apparatus; Nucleoplasm	Supported	1	3	698.0	78	True	Q6ZRP7	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:14633699}; Single-pass membrane protein {ECO:0000269|PubMed:14633699}. Secreted {ECO:0000269|PubMed:14633699}. Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Nucleus membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Note=Seems to be predominantly targeted to the nuclear and outer plasma membrane.	reclassified_from_suspicious (Tier 1)		0	42	1	41	unclassified_core_nuclear
22	ARHGEF5	Rho guanine nucleotide exchange factor 5	44	较多	True	Cytosol; Nucleoplasm; Plasma membrane	Supported	1	3	1597.0	77	True	Q12774	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14662653, ECO:0000269|PubMed:25911094}. Nucleus {ECO:0000269|PubMed:14662653}. Cell projection, podosome {ECO:0000250|UniProtKB:E9Q7D5}.	core_nuclear_unclassified		0	50	2	48	unclassified_core_nuclear
23	SNAPC4	snRNA-activating protein complex subunit 4	25	较多	True	Nuclear membrane; Nucleoplasm	Approved	1	3	1469.0	77	True	Q5SXM2	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00625}.	reclassified_from_suspicious (Tier 1)	TFs and others	1	68	12	56	unclassified_core_nuclear
24	RNF169	E3 ubiquitin-protein ligase RNF169	34	较多	True	Cytosol; Nuclear bodies; Nucleoli; Nucleoli rim; Nucleoplasm	Enhanced	1	3	708.0	76	True	Q8NCN4	SUBCELLULAR LOCATION: Chromosome {ECO:0000269|PubMed:30104380, ECO:0000269|PubMed:30773093}. Nucleus, nucleoplasm {ECO:0000269|PubMed:22492721, ECO:0000269|PubMed:22733822, ECO:0000269|PubMed:22742833}. Note=Localizes to sites of double-strand breaks (DSBs) following DNA damage. Recruited to DSBs via recognition of RNF168-dependent ubiquitin products. {ECO:0000269|PubMed:30104380}.	reclassified_from_suspicious (Tier 1)		0	63	12	51	unclassified_core_nuclear
25	RPP25L	Ribonuclease P protein subunit p25-like protein	4	较少	True	Cytosol; Nucleoli; Nucleoplasm	Approved	1	3	163.0	73	True	Q8N5L8	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	core_nuclear_unclassified		0	64	10	54	unclassified_core_nuclear
26	SLC39A11	Zinc transporter ZIP11	28	较多	True	Nucleoplasm	Approved	1	3	342.0	72	True	Q8N1S5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8BWY7}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8BWY7}. Nucleus {ECO:0000250|UniProtKB:Q8BWY7}. Cytoplasm {ECO:0000250|UniProtKB:Q8BWY7}. Golgi apparatus {ECO:0000250|UniProtKB:Q8BWY7}.	reclassified_from_suspicious (Tier 1)		1	25	8	17	unclassified_core_nuclear
27	PDCD7	Programmed cell death protein 7	15	中等	True	Nucleoli; Plasma membrane	Approved	1	3	485.0	71	True	Q8N8D1	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	core_nuclear_unclassified		0	66	23	43	unclassified_core_nuclear
28	SCAF8	SR-related and CTD-associated factor 8	24	较多	True	Nucleoplasm	Enhanced	1	3	1271.0	68	True	Q9UPN6	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11101529, ECO:0000269|PubMed:31104839, ECO:0000269|PubMed:9528809}. Nucleus matrix {ECO:0000269|PubMed:9528809}. Note=Detected in granular nuclear foci which correspond to sites of active transcription. {ECO:0000269|PubMed:31104839, ECO:0000269|PubMed:9528809}.	reclassified_from_RBP		0	54	12	42	unclassified_core_nuclear
29	POP5	Ribonuclease P/MRP protein subunit POP5	42	较多	True	Nucleoli; Nucleoplasm	Supported	1	3	163.0	66	True	Q969H6	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:11413139}.	core_nuclear_unclassified		0	59	34	25	unclassified_core_nuclear
30	PNISR	Arginine/serine-rich protein PNISR	14	中等	True	Cytosol; Nuclear speckles; Plasma membrane	Supported	1	3	805.0	64	True	Q8TF01	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:14578391}.	core_nuclear_unclassified		0	58	17	41	unclassified_core_nuclear
31	TUT1	Speckle targeted PIP5K1A-regulated poly(A) polymerase	46	较多	True	Cytosol;Nucleoplasm	Supported	1	3	874.0	63	True	A0A0A8K9B1;Q9H6E5	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000256|ARBA:ARBA00004324}. Nucleus, nucleolus {ECO:0000256|ARBA:ARBA00004604}.;SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:16790842}. Nucleus speckle {ECO:0000269|PubMed:18288197, ECO:0000269|PubMed:18305108}.	reclassified_from_RBP;merged_URLC6		0	61	19	42	unclassified_core_nuclear
32	SH3D19	SH3 domain-containing protein 19	9	中等	True	Cytosol; Nucleoplasm	Supported	1	3	790.0	59	True	Q5HYK7	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14551139}. Nucleus {ECO:0000269|PubMed:14551139}. Note=Is recruited to the nucleus by the KMT2A/MLL1-EEN fusion protein.	core_nuclear_unclassified		0	39	4	35	unclassified_core_nuclear
33	SWSAP1	ATPase SWSAP1	12	中等	True	Cytosol; Nucleoplasm	Approved	1	3	229.0	58	True	Q6NVH7	SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:21965664}.	reclassified_from_suspicious (Tier 1)		0	52	31	21	unclassified_core_nuclear
34	AGER	Advanced glycosylation end product-specific receptor	29	较多	True	Cell Junctions;Nucleoli fibrillar center;Plasma membrane	Approved	1	3	404.0	51	True	A0A1U9X782;A0A1U9X785;A0A1U9X790;B4DNX3;B5A980;Q15109	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004251};SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22509345};SUBCELLULAR LOCATION: [Isoform 10]: Cell membrane {ECO:0000269|PubMed:24260107};SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:24081950, ECO:0000269|PubMed:27572515, ECO:0000269|PubMed:33436632};SUBCELLULAR LOCATION: [Isoform 2]: Secreted.;Single-pass type I membrane protein {ECO:0000255}.;Single-pass type I membrane protein {ECO:0000255}. Cell projection, phagocytic cup {ECO:0000269|PubMed:35974093}. Early endosome {ECO:0000269|PubMed:22509345}. Nucleus {ECO:0000269|PubMed:33918759, ECO:0000269|PubMed:36807739}. Note=Detected on the surface of CD11c+ peripheral blood mononuclear cells under basal conditions and after activation (PubMed:22509345). No surface expression is observed on resting T cells (PubMed:22509345). Localizes intracellularly in early endosomes in activated T cells of healthy controls and in resting T cells of patients with type I diabetes (PubMed:22509345). Nuclear translocation is enhanced by irradiation, hypoxia and reperfusion injury to brain or kidney (By similarity). Nuclear localization is enhanced by DNA damage in trophoblasts and increases in pre-term labor and preeclampsia placentas compared to control placentas (PubMed:33918759). {ECO:0000250|UniProtKB:Q62151, ECO:0000269|PubMed:22509345, ECO:0000269|PubMed:33918759}.;Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004251}. Cell projection, phagocytic cup {ECO:0000256|ARBA:ARBA00004231}. Early endosome {ECO:0000256|ARBA:ARBA00004412}. Nucleus {ECO:0000256|ARBA:ARBA00004123}. Secreted {ECO:0000256|ARBA:ARBA00004613}.;Single-pass type I membrane protein {ECO:0000269|PubMed:24260107}.	reclassified_from_suspicious (Tier 1);merged_A0A1U9X782;merged_A0A1U9X785;merged_A0A1U9X790;merged_RAGE		0	32	21	11	unclassified_core_nuclear
35	SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3	48	较多	True	Nuclear bodies	Approved	1	3	93.0	47	True	Q86Z22;Q9H299	SUBCELLULAR LOCATION: Cell projection, ruffle membrane {ECO:0000256|ARBA:ARBA00004632}. Cytoplasm, cytosol {ECO:0000256|ARBA:ARBA00004514}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.;SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:10554026, ECO:0000269|PubMed:11137621, ECO:0000269|PubMed:11344125, ECO:0000269|PubMed:15907482}. Cell projection, ruffle membrane {ECO:0000269|PubMed:34380438, ECO:0000305|PubMed:11344125}. Nucleus {ECO:0000269|PubMed:11444877}.	core_nuclear_unclassified;merged_HEL-S-297		0	23	1	22	unclassified_core_nuclear
36	SH3RF2	E3 ubiquitin-protein ligase SH3RF2	27	较多	True	Nucleoplasm	Enhanced	1	3	729.0	46	True	Q8TEC5	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24130170}.	reclassified_from_suspicious (Tier 1)		0	30	0	30	unclassified_core_nuclear
37	PSME3IP1	PSME3-interacting protein	10	中等	True	Nucleoplasm; Vesicles	Supported	1	3	254.0	43	True	Q9GZU8	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29934401}.	reclassified_from_suspicious (Tier 1)		0	41	41	0	unclassified_core_nuclear
38	RANGRF	Ran guanine nucleotide release factor	12	中等	True	Cytosol; Nucleoplasm	Supported	1	3	186.0	41	True	Q9HD47	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11290418}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:21447824}. Cytoplasm {ECO:0000269|PubMed:11290418, ECO:0000269|PubMed:21447824}. Cell membrane {ECO:0000269|PubMed:21447824}; Peripheral membrane protein {ECO:0000305|PubMed:21447824}; Cytoplasmic side {ECO:0000305|PubMed:21447824}. Note=May shuttle between the nucleus and cytoplasm. {ECO:0000269|PubMed:11290418}.	reclassified_from_suspicious (Tier 1)		0	21	4	17	unclassified_core_nuclear
39	RNF220	E3 ubiquitin-protein ligase RNF220	49	较多	True	Nucleoplasm	Supported	1	3	566.0	39	True	Q5VTB9	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:33964137}. Nucleus {ECO:0000269|PubMed:33964137}.	reclassified_from_suspicious (Tier 1)		0	31	1	30	unclassified_core_nuclear
40	PSMC3IP	Homologous-pairing protein 2 homolog	46	较多	True	Nucleoplasm	Supported	1	3	217.0	38	True	Q9P2W1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11739747}.	reclassified_from_suspicious (Tier 1)		0	35	5	30	unclassified_core_nuclear
41	HMGB1P1	High mobility group protein B1-like 1	2	较少	True	Nucleoplasm	Approved	1	3	211.0	37	True	B2RPK0	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267}. Chromosome {ECO:0000250}.	core_nuclear_unclassified		0	26	0	26	unclassified_core_nuclear
42	TRAPPC2B	Trafficking protein particle complex subunit 2B	9	中等	True	Endoplasmic reticulum; Nucleoplasm; Vesicles	Approved	1	3	140.0	36	True	P0DI82	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P0DI81}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:11134351}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000250|UniProtKB:P0DI81}. Cytoplasm {ECO:0000250|UniProtKB:P0DI81}. Note=Localized in perinuclear granular structures. {ECO:0000250|UniProtKB:P0DI81}.	reclassified_from_suspicious (Tier 1)		0	23	4	19	unclassified_core_nuclear
43	SHQ1	Protein SHQ1 homolog	43	较多	True	Nucleoplasm	Supported	1	3	577.0	36	True	Q6PI26	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:19383767}. Nucleus, nucleoplasm {ECO:0000269|PubMed:19383767}. Note=May at least partially shuttle between cytosol and nucleoplasm. In the nucleoplasm, exhibits a granular pattern, but is excluded from nucleoli and Cajal bodies. Absent from most H/ACA-box RNA transcription sites.	core_nuclear_unclassified		0	31	11	20	unclassified_core_nuclear
44	SLC7A6OS	Probable RNA polymerase II nuclear localization protein SLC7A6OS	13	中等	True	Cytosol; Nucleoplasm	Approved	1	3	309.0	31	True	Q96CW6	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.	reclassified_from_suspicious (Tier 1)		0	27	5	22	unclassified_core_nuclear
45	RBKS	Ribokinase	17	中等	True	Cytosol; Nucleoplasm	Approved	1	3	322.0	31	True	Q9H477	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P25332, ECO:0000255|HAMAP-Rule:MF_03215}. Nucleus {ECO:0000250|UniProtKB:P25332, ECO:0000255|HAMAP-Rule:MF_03215}.	core_nuclear_unclassified		0	18	7	11	unclassified_core_nuclear
46	TRERF1	Transcriptional-regulating factor 1	24	较多	True	Cytosol; Nucleoli fibrillar center; Nucleoplasm	Enhanced	1	3	1200.0	30	True	Q96PN7	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00512, ECO:0000255|PROSITE-ProRule:PRU00624, ECO:0000269|PubMed:11349124, ECO:0000269|PubMed:16371131}.	core_nuclear_unclassified	TFs and others	1	30	3	27	unclassified_core_nuclear
47	RCOR2	REST corepressor 2	5	中等	True	Midbody; Nucleoplasm; Vesicles	Approved	1	3	523.0	29	True	Q8IZ40	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00512, ECO:0000255|PROSITE-ProRule:PRU00624}.	core_nuclear_unclassified	TFs and others	1	32	5	27	unclassified_core_nuclear
48	PGBD1	PiggyBac transposable element-derived protein 1	35	较多	True	Cytosol; Nucleoplasm	Approved	1	3	809.0	28	True	Q96JS3	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:36205081}.	core_nuclear_unclassified		0	40	14	26	unclassified_core_nuclear
49	ABHD14B	Putative protein-lysine deacylase ABHD14B	18	中等	True	Cytosol;Nucleoli;Nucleoplasm	Supported	1	3	210.0	28	True	B4DNR3;Q96IU4;V9HW87	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.;SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11053859, ECO:0000269|PubMed:14672934, ECO:0000269|PubMed:31478652}. Nucleus {ECO:0000269|PubMed:11053859, ECO:0000269|PubMed:14672934, ECO:0000269|PubMed:31478652}. Note=Predominantly cytoplasmic. {ECO:0000269|PubMed:14672934}.	core_nuclear_unclassified;merged_HEL-S-299		0	20	0	20	unclassified_core_nuclear
50	SERF1A;	Small EDRK-rich factor 1	25	较多	True	Nuclear bodies	Approved	1	3	110.0	27	True	O75920	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:31034892}. Nucleus {ECO:0000269|PubMed:31034892}.	core_nuclear_unclassified		0	15	3	12	unclassified_core_nuclear
