gene	excel_sheets	has_report	report_paths	status	category	lines	chars	has_duplicate	coverage_status	reason
ACP4	?	True	detail/rejected/ACP4/ACP4-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACSS2	?	True	detail/rejected/ACSS2/ACSS2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACYP1	?	True	detail/rejected/ACYP1/ACYP1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACYP2	?	True	detail/rejected/ACYP2/ACYP2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ADAM33	?	True	detail/rejected/ADAM33/ADAM33-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ADARB1	?	True	detail/rejected/ADARB1/ADARB1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ADARB2	?	True	detail/nucleoplasm/ADARB2/ADARB2-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ADAT1	?	True	detail/nucleoplasm/ADAT1/ADAT1-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ADAT2	?	True	detail/nucleoplasm/ADAT2/ADAT2-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ADAT3	?	True	detail/nucleoplasm/ADAT3/ADAT3-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ADD1	?	True	detail/rejected/ADD1/ADD1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ADIG	?	True	detail/rejected/ADIG/ADIG-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ADIRF	?	True	detail/nucleoplasm/ADIRF/ADIRF-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ADK	?	True	detail/rejected/ADK/ADK-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ADNP	?	True	detail/rejected/ADNP/ADNP-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ADPRH	?	True	detail/nuclear-envelope/ADPRH/ADPRH-evaluation.md	COVERED_SCORED	nuclear-envelope	?	?	?	COVERED_SCORED	OK
ADPRHL1	?	True	detail/rejected/ADPRHL1/ADPRHL1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ADPRM	?	True	detail/nucleoplasm/ADPRM/ADPRM-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ADPRS	?	True	detail/nucleoplasm/ADPRS/ADPRS-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ADRA1A	?	True	detail/rejected/ADRA1A/ADRA1A-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AEBP1	?	True	detail/rejected/AEBP1/AEBP1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AEN	?	True	detail/rejected/AEN/AEN-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AFDN	?	True	detail/rejected/AFDN/AFDN-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AFF1	?	True	detail/rejected/AFF1/AFF1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AFF2	?	True	detail/rejected/AFF2/AFF2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AFF3	?	True	detail/nucleoplasm/AFF3/AFF3-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
AFF4	?	True	detail/nucleolus/AFF4/AFF4-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
AFMID	?	True	detail/rejected/AFMID/AFMID-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AGAP2	?	True	detail/nucleoplasm/AGAP2/AGAP2-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
AGBL2	?	True	detail/nucleolus/AGBL2/AGBL2-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
AGBL5	?	True	detail/nucleus-cytoplasm/AGBL5/AGBL5-evaluation.md	COVERED_SCORED	nucleus-cytoplasm	?	?	?	COVERED_SCORED	OK
AGFG1	?	True	detail/nucleus-cytoplasm/AGFG1/AGFG1-evaluation.md	COVERED_SCORED	nucleus-cytoplasm	?	?	?	COVERED_SCORED	OK
AGL	?	True	detail/rejected/AGL/AGL-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AGO2	?	True	detail/rejected/AGO2/AGO2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AGO3	?	True	detail/rejected/AGO3/AGO3-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AGPAT3	?	True	detail/nuclear-envelope/AGPAT3/AGPAT3-evaluation.md	COVERED_SCORED	nuclear-envelope	?	?	?	COVERED_SCORED	OK
AGPAT4	?	True	detail/rejected/AGPAT4/AGPAT4-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AGTPBP1	?	True	detail/rejected/AGTPBP1/AGTPBP1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AHCTF1	?	True	detail/nuclear-envelope/AHCTF1/AHCTF1-evaluation.md	COVERED_SCORED	nuclear-envelope	?	?	?	COVERED_SCORED	OK
AHCY	?	True	detail/rejected/AHCY/AHCY-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AHCYL2	?	True	detail/nucleus-cytoplasm/AHCYL2/AHCYL2-evaluation.md	COVERED_SCORED	nucleus-cytoplasm	?	?	?	COVERED_SCORED	OK
AHDC1	?	True	detail/nucleoplasm/AHDC1/AHDC1-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
AHR	?	True	detail/rejected/AHR/AHR-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AHRR	?	True	detail/rejected/AHRR/AHRR-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AICDA	?	True	detail/rejected/AICDA/AICDA-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AIM2	?	True	detail/rejected/AIM2/AIM2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AIMP2	?	True	detail/rejected/AIMP2/AIMP2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AIPL1	?	True	detail/rejected/AIPL1/AIPL1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AIRE	?	True	detail/rejected/AIRE/AIRE-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AIRIM	?	True	detail/rejected/AIRIM/AIRIM-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AJUBA	?	True	detail/rejected/AJUBA/AJUBA-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AK6	?	True	detail/rejected/AK6/AK6-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AK9	?	True	detail/nucleoplasm/AK9/AK9-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
AKAP11	?	True	detail/nucleolus/AKAP11/AKAP11-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
AKAP13	?	True	detail/nucleoplasm/AKAP13/AKAP13-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
AKAP6	?	True	detail/rejected/AKAP6/AKAP6-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AKAP7	?	True	detail/nucleus-cytoplasm/AKAP7/AKAP7-evaluation.md	COVERED_SCORED	nucleus-cytoplasm	?	?	?	COVERED_SCORED	OK
AKAP8	?	True	detail/nucleolus/AKAP8/AKAP8-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
AKAP8L	?	True	detail/nucleoplasm/AKAP8L/AKAP8L-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
AKIP1	?	True	detail/rejected/AKIP1/AKIP1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AKIRIN1	?	True	detail/rejected/AKIRIN1/AKIRIN1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AKIRIN2	?	True	detail/nucleus-cytoplasm/AKIRIN2/AKIRIN2-evaluation.md	COVERED_SCORED	nucleus-cytoplasm	?	?	?	COVERED_SCORED	OK
AKNA	?	True	detail/nucleolus/AKNA/AKNA-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
AKT2	?	True	detail/rejected/AKT2/AKT2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AKT3	?	True	detail/rejected/AKT3/AKT3-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AKTIP	?	True	detail/nucleolus/AKTIP/AKTIP-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
ALG14	?	True	detail/nucleolus/ALG14/ALG14-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
ALG1L2	?	True	detail/nucleolus/ALG1L2/ALG1L2-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
ALG8	?	True	detail/rejected/ALG8/ALG8-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ALKBH2	?	True	detail/rejected/ALKBH2/ALKBH2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ALKBH3	?	True	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	COVERED_SCORED	chromatin	?	?	?	COVERED_SCORED	OK
ALKBH4	?	True	detail/nucleolus/ALKBH4/ALKBH4-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
ALKBH5	?	True	detail/rejected/ALKBH5/ALKBH5-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ALKBH6	?	True	detail/rejected/ALKBH6/ALKBH6-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ALKBH8	?	True	detail/nucleoplasm/ALKBH8/ALKBH8-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ALMS1	?	True	detail/rejected/ALMS1/ALMS1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ALOX5	?	True	detail/rejected/ALOX5/ALOX5-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ALOX5AP	?	True	detail/rejected/ALOX5AP/ALOX5AP-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ALPK3	?	True	detail/nucleoplasm/ALPK3/ALPK3-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ALX1	?	True	detail/nucleoplasm/ALX1/ALX1-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ALX3	?	True	detail/nucleolus/ALX3/ALX3-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
ALX4	?	True	detail/rejected/ALX4/ALX4-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ALYREF	?	True	detail/rejected/ALYREF/ALYREF-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AMD1	?	True	detail/rejected/AMD1/AMD1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AMDHD1	?	True	detail/nucleus-cytoplasm/AMDHD1/AMDHD1-evaluation.md	COVERED_SCORED	nucleus-cytoplasm	?	?	?	COVERED_SCORED	OK
AMDHD2	?	True	detail/rejected/AMDHD2/AMDHD2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AMER1	?	True	detail/nuclear-body/AMER1/AMER1-evaluation.md	COVERED_SCORED	nuclear-body	?	?	?	COVERED_SCORED	OK
AMHR2	?	True	detail/rejected/AMHR2/AMHR2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AMMECR1	?	True	detail/nucleoplasm/AMMECR1/AMMECR1-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
AMMECR1L	?	True	detail/nucleoplasm/AMMECR1L/AMMECR1L-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
AMPD3	?	True	detail/nuclear-envelope/AMPD3/AMPD3-evaluation.md	COVERED_SCORED	nuclear-envelope	?	?	?	COVERED_SCORED	OK
AMZ2	?	True	detail/rejected/AMZ2/AMZ2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ANAPC10	?	True	detail/nucleoplasm/ANAPC10/ANAPC10-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANAPC11	?	True	detail/nucleolus/ANAPC11/ANAPC11-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
ANAPC13	?	True	detail/rejected/ANAPC13/ANAPC13-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ANAPC15	?	True	detail/nucleoplasm/ANAPC15/ANAPC15-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANAPC16	?	True	detail/nucleoplasm/ANAPC16/ANAPC16-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANAPC2	?	True	detail/nucleoplasm/ANAPC2/ANAPC2-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANAPC4	?	True	detail/nucleoplasm/ANAPC4/ANAPC4-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANAPC5	?	True	detail/nucleoplasm/ANAPC5/ANAPC5-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANAPC7	?	True	detail/nucleoplasm/ANAPC7/ANAPC7-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANG	?	True	detail/rejected/ANG/ANG-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ANGEL1	?	True	detail/nucleoplasm/ANGEL1/ANGEL1-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANGEL2	?	True	detail/nuclear-body/ANGEL2/ANGEL2-evaluation.md	COVERED_SCORED	nuclear-body	?	?	?	COVERED_SCORED	OK
ANHX	?	True	detail/nucleoplasm/ANHX/ANHX-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKAR	?	True	detail/nucleoplasm/ANKAR/ANKAR-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKDD1A	?	True	detail/nucleoplasm/ANKDD1A/ANKDD1A-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKEF1	?	True	detail/nucleolus/ANKEF1/ANKEF1-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
ANKFN1	?	True	detail/nucleoplasm/ANKFN1/ANKFN1-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKLE1	?	True	detail/nucleus-cytoplasm/ANKLE1/ANKLE1-evaluation.md	COVERED_SCORED	nucleus-cytoplasm	?	?	?	COVERED_SCORED	OK
ANKMY2	?	True	detail/nucleoplasm/ANKMY2/ANKMY2-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRA2	?	True	detail/nucleoplasm/ANKRA2/ANKRA2-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD1	?	True	detail/rejected/ANKRD1/ANKRD1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ANKRD10	?	True	detail/nucleoplasm/ANKRD10/ANKRD10-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD11	?	True	detail/rejected/ANKRD11/ANKRD11-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ANKRD12	?	True	detail/nucleoplasm/ANKRD12/ANKRD12-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD16	?	True	detail/nucleus-cytoplasm/ANKRD16/ANKRD16-evaluation.md	COVERED_SCORED	nucleus-cytoplasm	?	?	?	COVERED_SCORED	OK
ANKRD17	?	True	detail/nuclear-envelope/ANKRD17/ANKRD17-evaluation.md	COVERED_SCORED	nuclear-envelope	?	?	?	COVERED_SCORED	OK
ANKRD2	?	True	detail/nuclear-body/ANKRD2/ANKRD2-evaluation.md	COVERED_SCORED	nuclear-body	?	?	?	COVERED_SCORED	OK
ANKRD20A1	?	True	detail/nucleoplasm/ANKRD20A1/ANKRD20A1-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD22	?	True	detail/nucleoplasm/ANKRD22/ANKRD22-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD23	?	True	detail/nucleoplasm/ANKRD23/ANKRD23-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD29	?	True	detail/nuclear-speckle/ANKRD29/ANKRD29-evaluation.md	COVERED_SCORED	nuclear-speckle	?	?	?	COVERED_SCORED	OK
ANKRD30A	?	True	detail/nucleoplasm/ANKRD30A/ANKRD30A-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD30B	?	True	detail/nucleoplasm/ANKRD30B/ANKRD30B-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD31	?	True	detail/nucleoplasm/ANKRD31/ANKRD31-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD33	?	True	detail/nucleus-cytoplasm/ANKRD33/ANKRD33-evaluation.md	COVERED_SCORED	nucleus-cytoplasm	?	?	?	COVERED_SCORED	OK
ANKRD34B	?	True	detail/nucleoplasm/ANKRD34B/ANKRD34B-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD35	?	True	detail/nucleoplasm/ANKRD35/ANKRD35-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD36	?	True	detail/nucleoplasm/ANKRD36/ANKRD36-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD36B	?	True	detail/nucleoplasm/ANKRD36B/ANKRD36B-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD36C	?	True	detail/nucleoplasm/ANKRD36C/ANKRD36C-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD37	?	True	detail/nucleoplasm/ANKRD37/ANKRD37-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD39	?	True	detail/nucleoplasm/ANKRD39/ANKRD39-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD40	?	True	detail/nucleolus/ANKRD40/ANKRD40-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
ANKRD42	?	True	detail/nucleoplasm/ANKRD42/ANKRD42-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD44	?	True	detail/nuclear-speckle/ANKRD44/ANKRD44-evaluation.md	COVERED_SCORED	nuclear-speckle	?	?	?	COVERED_SCORED	OK
ANKRD49	?	True	detail/nucleoplasm/ANKRD49/ANKRD49-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD50	?	True	detail/nucleoplasm/ANKRD50/ANKRD50-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD52	?	True	detail/nucleoplasm/ANKRD52/ANKRD52-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD54	?	True	detail/nucleoplasm/ANKRD54/ANKRD54-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD55	?	True	detail/nuclear-speckle/ANKRD55/ANKRD55-evaluation.md	COVERED_SCORED	nuclear-speckle	?	?	?	COVERED_SCORED	OK
ANKRD61	?	True	detail/nucleoplasm/ANKRD61/ANKRD61-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD62	?	True	detail/nuclear-speckle/ANKRD62/ANKRD62-evaluation.md	COVERED_SCORED	nuclear-speckle	?	?	?	COVERED_SCORED	OK
ANKRD65	?	True	detail/nucleoplasm/ANKRD65/ANKRD65-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKRD7	?	True	detail/nucleoplasm/ANKRD7/ANKRD7-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKS1A	?	True	detail/nucleoplasm/ANKS1A/ANKS1A-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKS1B	?	True	detail/nucleoplasm/ANKS1B/ANKS1B-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ANKS3	?	True	detail/nucleoplasm/ANKS3/ANKS3-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
