priority	task_type	gene	path	issue	recommended_action	manual_review_required	reason
P0	INCOMPLETE_REPORT	SCRN2	detail/rejected/SCRN2/SCRN2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NMRK2	detail/rejected/NMRK2/NMRK2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MRI1	detail/rejected/MRI1/MRI1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NFU1	detail/rejected/NFU1/NFU1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MON2	detail/rejected/MON2/MON2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SAMD11	detail/rejected/SAMD11/SAMD11-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NME7	detail/rejected/NME7/NME7-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NPEPPS	detail/rejected/NPEPPS/NPEPPS-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NHLRC1	detail/rejected/NHLRC1/NHLRC1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SBF2	detail/rejected/SBF2/SBF2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MMS22L	detail/rejected/MMS22L/MMS22L-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NOM1	detail/rejected/NOM1/NOM1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SERPINB13	detail/rejected/SERPINB13/SERPINB13-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NSRP1	detail/rejected/NSRP1/NSRP1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NEXMIF	detail/rejected/NEXMIF/NEXMIF-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MPND	detail/rejected/MPND/MPND-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SC5D	detail/rejected/SC5D/SC5D-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SBNO1	detail/rejected/SBNO1/SBNO1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NFKBIL1	detail/rejected/NFKBIL1/NFKBIL1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SEPTIN3	detail/rejected/SEPTIN3/SEPTIN3-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MORN2	detail/rejected/MORN2/MORN2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NVL	detail/rejected/NVL/NVL-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MPPE1	detail/rejected/MPPE1/MPPE1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NSMCE1	detail/rejected/NSMCE1/NSMCE1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NT5C3A	detail/rejected/NT5C3A/NT5C3A-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SENP5	detail/rejected/SENP5/SENP5-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SERF1A	detail/rejected/SERF1A/SERF1A-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NHEJ1	detail/rejected/NHEJ1/NHEJ1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MOSPD1	detail/rejected/MOSPD1/MOSPD1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NKIRAS2	detail/rejected/NKIRAS2/NKIRAS2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NRIP2	detail/rejected/NRIP2/NRIP2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MOB1B	detail/rejected/MOB1B/MOB1B-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SCFD2	detail/rejected/SCFD2/SCFD2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SCEL	detail/rejected/SCEL/SCEL-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NOC3L	detail/rejected/NOC3L/NOC3L-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SCHIP1	detail/rejected/SCHIP1/SCHIP1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NMRK1	detail/rejected/NMRK1/NMRK1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MRGBP	detail/rejected/MRGBP/MRGBP-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NFATC2IP	detail/rejected/NFATC2IP/NFATC2IP-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MOB2	detail/rejected/MOB2/MOB2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NIPAL3	detail/rejected/NIPAL3/NIPAL3-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MMS19	detail/rejected/MMS19/MMS19-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SELENOM	detail/rejected/SELENOM/SELENOM-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SDCBP2	detail/rejected/SDCBP2/SDCBP2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MOCS2	detail/rejected/MOCS2/MOCS2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MIS18A	detail/rejected/MIS18A/MIS18A-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NGDN	detail/rejected/NGDN/NGDN-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NPTXR	detail/rejected/NPTXR/NPTXR-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SERPINB10	detail/rejected/SERPINB10/SERPINB10-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MRPL44	detail/rejected/MRPL44/MRPL44-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MNS1	detail/rejected/MNS1/MNS1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SBF1	detail/rejected/SBF1/SBF1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SEPTIN10	detail/rejected/SEPTIN10/SEPTIN10-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NHLRC2	detail/rejected/NHLRC2/NHLRC2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SEPHS2	detail/rejected/SEPHS2/SEPHS2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MIOS	detail/rejected/MIOS/MIOS-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NIF3L1	detail/rejected/NIF3L1/NIF3L1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NSMCE4A	detail/rejected/NSMCE4A/NSMCE4A-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NSFL1C	detail/rejected/NSFL1C/NSFL1C-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SEPTIN7	detail/rejected/SEPTIN7/SEPTIN7-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SENP7	detail/rejected/SENP7/SENP7-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NOPCHAP1	detail/rejected/NOPCHAP1/NOPCHAP1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NLE1	detail/rejected/NLE1/NLE1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NSMCE3	detail/rejected/NSMCE3/NSMCE3-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SENP8	detail/rejected/SENP8/SENP8-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SERF1B	detail/rejected/SERF1B/SERF1B-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SEPTIN6	detail/rejected/SEPTIN6/SEPTIN6-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NRARP	detail/rejected/NRARP/NRARP-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
