gene	path	status	category	lines	chars	has_yaml	has_hpa	has_uniprot_go	has_pubmed_strict_broad	has_alphafold_plddt_pae	has_pdb_or_no_pdb_explanation	has_ppi	has_te_relevance_reasoning	has_scoring_table	has_final_decision_reason	has_manual_review_note	has_forbidden_placeholders	has_packet_error_conclusion	has_one_line_no_nuclear_rejection	risk_level	recommended_action	reason
FAM227B	detail/nuclear-body/FAM227B/FAM227B-evaluation.md	scored	nuclear-body	180	5304	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
CGNL1	detail/nuclear-body/CGNL1/CGNL1-evaluation.md	scored	nuclear-body	171	4978	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
EXOC6B	detail/nuclear-body/EXOC6B/EXOC6B-evaluation.md	scored	nuclear-body	184	5869	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
NUTM2B	detail/nuclear-body/NUTM2B/NUTM2B-evaluation.md	scored	nuclear-body	118	3464	True	True	True	True	True	True	True	True	False	True	True	True	False	False	OK	KEEP	OK
WRAP53	detail/nuclear-body/WRAP53/WRAP53-evaluation.md	scored	nuclear-body	180	5000	True	True	True	True	True	True	True	True	False	True	False	True	False	False	OK	KEEP	OK
APBB3	detail/nuclear-body/APBB3/APBB3-evaluation.md	scored	nuclear-body	184	6225	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
NSRP1	detail/nuclear-body/NSRP1/NSRP1-evaluation.md	scored	nuclear-body	173	5239	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
TRIM8	detail/nuclear-body/TRIM8/TRIM8-evaluation.md	scored	nuclear-body	96	4226	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
C19orf47	detail/nuclear-body/C19orf47/C19orf47-evaluation.md	scored	nuclear-body	174	5111	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
DBNDD1	detail/nuclear-body/DBNDD1/DBNDD1-evaluation.md	scored	nuclear-body	168	4591	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
BABAM1	detail/nuclear-body/BABAM1/BABAM1-evaluation.md	scored	nuclear-body	147	6136	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
CIRSR	detail/nuclear-body/CIRSR/CIRSR-evaluation.md	scored	nuclear-body	158	3869	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
DDX39B	detail/nuclear-body/DDX39B/DDX39B-evaluation.md	scored	nuclear-body	175	5051	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
AMER1	detail/nuclear-body/AMER1/AMER1-evaluation.md	scored	nuclear-body	146	5176	True	True	True	True	True	True	True	True	True	True	True	False	False	False	OK	KEEP	OK
C1orf35	detail/nuclear-body/C1orf35/C1orf35-evaluation.md	scored	nuclear-body	183	5951	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
NT5C3A	detail/nuclear-body/NT5C3A/NT5C3A-evaluation.md	scored	nuclear-body	175	5302	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
CRIP3	detail/nuclear-body/CRIP3/CRIP3-evaluation.md	scored	nuclear-body	167	4729	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
DNMBP	detail/nuclear-body/DNMBP/DNMBP-evaluation.md	scored	nuclear-body	176	5710	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
EIF2D	detail/nuclear-body/EIF2D/EIF2D-evaluation.md	scored	nuclear-body	173	4996	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
DDX46	detail/nuclear-body/DDX46/DDX46-evaluation.md	scored	nuclear-body	174	5057	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
DUSP28	detail/nuclear-body/DUSP28/DUSP28-evaluation.md	scored	nuclear-body	165	4621	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
C6orf52	detail/nuclear-body/C6orf52/C6orf52-evaluation.md	scored	nuclear-body	166	4334	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
ENOPH1	detail/nuclear-body/ENOPH1/ENOPH1-evaluation.md	scored	nuclear-body	184	6073	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
EIF4H	detail/nuclear-body/EIF4H/EIF4H-evaluation.md	scored	nuclear-body	186	6168	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
BLMH	detail/nuclear-body/BLMH/BLMH-evaluation.md	scored	nuclear-body	180	5904	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
NRIP2	detail/nuclear-body/NRIP2/NRIP2-evaluation.md	scored	nuclear-body	171	5018	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
TMA7	detail/nuclear-body/TMA7/TMA7-evaluation.md	scored	nuclear-body	125	4130	True	True	True	True	True	True	True	True	False	True	True	True	False	False	OK	KEEP	OK
NAA15	detail/nuclear-body/NAA15/NAA15-evaluation.md	scored	nuclear-body	180	4911	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
ANKRD2	detail/nuclear-body/ANKRD2/ANKRD2-evaluation.md	scored	nuclear-body	202	6118	True	False	True	True	True	True	True	True	False	True	False	False	False	False	LOW	KEEP	HPA
ELOA	detail/nuclear-body/ELOA/ELOA-evaluation.md	scored	nuclear-body	186	5800	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
MESD	detail/nuclear-body/MESD/MESD-evaluation.md	scored	nuclear-body	132	4013	True	True	True	True	True	False	True	True	False	True	True	True	False	False	LOW	KEEP	PDB
FAM107A	detail/nuclear-body/FAM107A/FAM107A-evaluation.md	scored	nuclear-body	190	6081	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
ETAA1	detail/nuclear-body/ETAA1/ETAA1-evaluation.md	scored	nuclear-body	186	5780	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
NOC3L	detail/nuclear-body/NOC3L/NOC3L-evaluation.md	scored	nuclear-body	184	6205	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
THAP7	detail/nuclear-body/THAP7/THAP7-evaluation.md	scored	nuclear-body	180	4999	True	True	True	True	True	True	True	True	False	True	False	True	False	False	OK	KEEP	OK
THAP11	detail/nuclear-body/THAP11/THAP11-evaluation.md	scored	nuclear-body	189	5006	True	True	True	True	True	True	True	True	False	True	False	True	False	False	OK	KEEP	OK
FAM122A	detail/nuclear-body/FAM122A/FAM122A-evaluation.md	scored	nuclear-body	182	5344	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
CLMN	detail/nuclear-body/CLMN/CLMN-evaluation.md	scored	nuclear-body	170	4800	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
COPS4	detail/nuclear-body/COPS4/COPS4-evaluation.md	scored	nuclear-body	172	5114	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
EPC2	detail/nuclear-body/EPC2/EPC2-evaluation.md	scored	nuclear-body	186	5684	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
FAM206A	detail/nuclear-body/FAM206A/FAM206A-evaluation.md	scored	nuclear-body	179	5020	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
ANXA9	detail/nuclear-body/ANXA9/ANXA9-evaluation.md	scored	nuclear-body	183	5714	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
ABRAXAS1	detail/nuclear-body/ABRAXAS1/ABRAXAS1-evaluation.md	scored	nuclear-body	209	13480	True	True	True	True	True	True	True	True	True	True	True	False	False	False	OK	KEEP	OK
EPG5	detail/nuclear-body/EPG5/EPG5-evaluation.md	scored	nuclear-body	185	5754	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
FOXJ2	detail/nuclear-body/FOXJ2/FOXJ2-evaluation.md	scored	nuclear-body	189	5132	True	True	True	True	True	True	True	True	False	True	True	False	False	False	OK	KEEP	OK
SP140	detail/nuclear-body/SP140/SP140-evaluation.md	scored	nuclear-body	186	4907	True	True	True	True	True	True	True	True	False	True	False	True	False	False	OK	KEEP	OK
MRPL44	detail/nuclear-body/MRPL44/MRPL44-evaluation.md	scored	nuclear-body	184	6096	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
SHCBP1	detail/nuclear-body/SHCBP1/SHCBP1-evaluation.md	scored	nuclear-body	201	6376	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
PRRC2B	detail/nuclear-body/PRRC2B/PRRC2B-evaluation.md	scored	nuclear-body	127	3879	True	True	True	True	True	True	True	True	False	True	True	True	False	False	OK	KEEP	OK
DNAJC11	detail/nuclear-body/DNAJC11/DNAJC11-evaluation.md	scored	nuclear-body	177	5189	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
ARIH1	detail/nuclear-body/ARIH1/ARIH1-evaluation.md	scored	nuclear-body	182	6058	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
DNAJC28	detail/nuclear-body/DNAJC28/DNAJC28-evaluation.md	scored	nuclear-body	176	5151	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
C8orf58	detail/nuclear-body/C8orf58/C8orf58-evaluation.md	scored	nuclear-body	165	4323	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
NSMCE4A	detail/nuclear-body/NSMCE4A/NSMCE4A-evaluation.md	scored	nuclear-body	174	5473	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
EAF1	detail/nuclear-body/EAF1/EAF1-evaluation.md	scored	nuclear-body	127	4066	True	True	True	True	True	True	True	True	False	True	True	True	False	False	OK	KEEP	OK
DAPK3	detail/nuclear-body/DAPK3/DAPK3-evaluation.md	scored	nuclear-body	172	4800	True	True	True	True	True	True	True	True	False	True	False	True	False	False	OK	KEEP	OK
CAND2	detail/nuclear-body/CAND2/CAND2-evaluation.md	scored	nuclear-body	183	5789	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
WDFY3	detail/nuclear-body/WDFY3/WDFY3-evaluation.md	scored	nuclear-body	185	5129	True	True	True	True	True	True	True	True	False	True	False	True	False	False	OK	KEEP	OK
PSTK	detail/nuclear-body/PSTK/PSTK-evaluation.md	scored	nuclear-body	118	3400	True	True	True	True	True	True	True	True	False	True	True	True	False	False	OK	KEEP	OK
FBXL3	detail/nuclear-body/FBXL3/FBXL3-evaluation.md	scored	nuclear-body	187	5817	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
FAM178B	detail/nuclear-body/FAM178B/FAM178B-evaluation.md	scored	nuclear-body	173	4821	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
COG6	detail/nuclear-body/COG6/COG6-evaluation.md	scored	nuclear-body	179	5487	True	True	True	True	True	True	True	False	True	True	True	False	False	False	OK	KEEP	OK
DDX39A	detail/nuclear-body/DDX39A/DDX39A-evaluation.md	scored	nuclear-body	172	4897	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
FASTK	detail/nuclear-body/FASTK/FASTK-evaluation.md	scored	nuclear-body	185	5871	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
BET1L	detail/nucleus-cytoplasm/BET1L/BET1L-evaluation.md	scored	nucleus-cytoplasm	173	5325	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
SFMBT1	detail/nucleus-cytoplasm/SFMBT1/SFMBT1-evaluation.md	scored	nucleus-cytoplasm	197	5296	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
AHCYL2	detail/nucleus-cytoplasm/AHCYL2/AHCYL2-evaluation.md	scored	nucleus-cytoplasm	164	5689	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
PAN2	detail/nucleus-cytoplasm/PAN2/PAN2-evaluation.md	scored	nucleus-cytoplasm	155	5794	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
BHLHA9	detail/nucleus-cytoplasm/BHLHA9/BHLHA9-evaluation.md	scored	nucleus-cytoplasm	189	5810	True	False	True	True	True	True	True	True	False	True	True	True	False	False	LOW	KEEP	HPA
NPEPL1	detail/nucleus-cytoplasm/NPEPL1/NPEPL1-evaluation.md	scored	nucleus-cytoplasm	107	5219	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
TTI2	detail/nucleus-cytoplasm/TTI2/TTI2-evaluation.md	scored	nucleus-cytoplasm	168	4335	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
CCDC85B	detail/nucleus-cytoplasm/CCDC85B/CCDC85B-evaluation.md	scored	nucleus-cytoplasm	198	5689	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
MT1B	detail/nucleus-cytoplasm/MT1B/MT1B-evaluation.md	scored	nucleus-cytoplasm	196	13003	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
CASKIN1	detail/nucleus-cytoplasm/CASKIN1/CASKIN1-evaluation.md	scored	nucleus-cytoplasm	200	5773	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
DNPH1	detail/nucleus-cytoplasm/DNPH1/DNPH1-evaluation.md	scored	nucleus-cytoplasm	237	9227	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
BCCIP	detail/nucleus-cytoplasm/BCCIP/BCCIP-evaluation.md	scored	nucleus-cytoplasm	182	5364	True	True	True	True	True	True	True	True	False	True	True	True	False	False	OK	KEEP	OK
BEX4	detail/nucleus-cytoplasm/BEX4/BEX4-evaluation.md	scored	nucleus-cytoplasm	170	5695	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
SRFBP1	detail/nucleus-cytoplasm/SRFBP1/SRFBP1-evaluation.md	scored	nucleus-cytoplasm	169	4396	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
YBEY	detail/nucleus-cytoplasm/YBEY/YBEY-evaluation.md	scored	nucleus-cytoplasm	176	4398	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
PBX4	detail/nucleus-cytoplasm/PBX4/PBX4-evaluation.md	scored	nucleus-cytoplasm	190	5110	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
TTC4	detail/nucleus-cytoplasm/TTC4/TTC4-evaluation.md	scored	nucleus-cytoplasm	177	4833	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
CCDC9B	detail/nucleus-cytoplasm/CCDC9B/CCDC9B-evaluation.md	scored	nucleus-cytoplasm	188	4514	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
SAMD7	detail/nucleus-cytoplasm/SAMD7/SAMD7-evaluation.md	scored	nucleus-cytoplasm	154	5366	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
REXO2	detail/nucleus-cytoplasm/REXO2/REXO2-evaluation.md	scored	nucleus-cytoplasm	176	4832	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
PAN3	detail/nucleus-cytoplasm/PAN3/PAN3-evaluation.md	scored	nucleus-cytoplasm	150	5357	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
BRAT1	detail/nucleus-cytoplasm/BRAT1/BRAT1-evaluation.md	scored	nucleus-cytoplasm	183	5448	True	True	True	True	True	True	True	True	False	True	True	False	False	False	OK	KEEP	OK
KPNA4	detail/nucleus-cytoplasm/KPNA4/KPNA4-evaluation.md	scored	nucleus-cytoplasm	200	6463	True	True	True	True	True	False	True	True	False	True	False	False	False	False	LOW	KEEP	PDB
ASB2	detail/nucleus-cytoplasm/ASB2/ASB2-evaluation.md	scored	nucleus-cytoplasm	164	4612	True	False	True	True	True	True	True	True	False	True	False	False	False	False	LOW	KEEP	HPA
CNOT8	detail/nucleus-cytoplasm/CNOT8/CNOT8-evaluation.md	scored	nucleus-cytoplasm	174	6025	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
BEX2	detail/nucleus-cytoplasm/BEX2/BEX2-evaluation.md	scored	nucleus-cytoplasm	192	5576	True	True	True	True	True	True	True	True	False	True	False	True	False	False	OK	KEEP	OK
MLF1	detail/nucleus-cytoplasm/MLF1/MLF1-evaluation.md	scored	nucleus-cytoplasm	167	4822	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
MT1M	detail/nucleus-cytoplasm/MT1M/MT1M-evaluation.md	scored	nucleus-cytoplasm	201	12040	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
NCOA7	detail/nucleus-cytoplasm/NCOA7/NCOA7-evaluation.md	scored	nucleus-cytoplasm	180	4713	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
PUS3	detail/nucleus-cytoplasm/PUS3/PUS3-evaluation.md	scored	nucleus-cytoplasm	171	4276	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
CCDC61	detail/nucleus-cytoplasm/CCDC61/CCDC61-evaluation.md	scored	nucleus-cytoplasm	200	5830	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
CDIN1	detail/nucleus-cytoplasm/CDIN1/CDIN1-evaluation.md	scored	nucleus-cytoplasm	108	3827	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
AKIRIN2	detail/nucleus-cytoplasm/AKIRIN2/AKIRIN2-evaluation.md	scored	nucleus-cytoplasm	223	8538	True	True	True	True	True	True	True	True	True	True	True	False	False	False	OK	KEEP	OK
NEUROD4	detail/nucleus-cytoplasm/NEUROD4/NEUROD4-evaluation.md	scored	nucleus-cytoplasm	179	4851	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
MASTL	detail/nucleus-cytoplasm/MASTL/MASTL-evaluation.md	scored	nucleus-cytoplasm	167	4762	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
AGFG1	detail/nucleus-cytoplasm/AGFG1/AGFG1-evaluation.md	scored	nucleus-cytoplasm	220	11075	True	True	True	True	True	True	True	True	True	True	True	False	False	False	OK	KEEP	OK
C15orf39	detail/nucleus-cytoplasm/C15orf39/C15orf39-evaluation.md	scored	nucleus-cytoplasm	77	2971	True	True	True	True	True	False	True	True	True	True	False	False	False	False	LOW	KEEP	PDB
SYMPK	detail/nucleus-cytoplasm/SYMPK/SYMPK-evaluation.md	scored	nucleus-cytoplasm	178	4901	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
TRNAU1AP	detail/nucleus-cytoplasm/TRNAU1AP/TRNAU1AP-evaluation.md	scored	nucleus-cytoplasm	181	4810	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
IFI35	detail/nucleus-cytoplasm/IFI35/IFI35-evaluation.md	scored	nucleus-cytoplasm	174	4973	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
NACC2	detail/nucleus-cytoplasm/NACC2/NACC2-evaluation.md	scored	nucleus-cytoplasm	182	4869	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
B4GALNT4	detail/nucleus-cytoplasm/B4GALNT4/B4GALNT4-evaluation.md	scored	nucleus-cytoplasm	163	5451	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
BEGAIN	detail/nucleus-cytoplasm/BEGAIN/BEGAIN-evaluation.md	scored	nucleus-cytoplasm	170	5645	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
PDS5B	detail/nucleus-cytoplasm/PDS5B/PDS5B-evaluation.md	scored	nucleus-cytoplasm	185	4905	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
DIDO1	detail/nucleus-cytoplasm/DIDO1/DIDO1-evaluation.md	scored	nucleus-cytoplasm	173	4903	True	True	True	True	True	True	True	True	False	True	False	True	False	False	OK	KEEP	OK
DAZ2	detail/nucleus-cytoplasm/DAZ2/DAZ2-evaluation.md	scored	nucleus-cytoplasm	177	5494	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
NKAPL	detail/nucleus-cytoplasm/NKAPL/NKAPL-evaluation.md	scored	nucleus-cytoplasm	173	4463	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
WDR26	detail/nucleus-cytoplasm/WDR26/WDR26-evaluation.md	scored	nucleus-cytoplasm	187	5041	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
ANKRD16	detail/nucleus-cytoplasm/ANKRD16/ANKRD16-evaluation.md	scored	nucleus-cytoplasm	102	4040	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
ARMC8	detail/nucleus-cytoplasm/ARMC8/ARMC8-evaluation.md	scored	nucleus-cytoplasm	175	5648	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
BBS9	detail/nucleus-cytoplasm/BBS9/BBS9-evaluation.md	scored	nucleus-cytoplasm	158	6621	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
PCBP3	detail/nucleus-cytoplasm/PCBP3/PCBP3-evaluation.md	scored	nucleus-cytoplasm	186	5003	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
METTL16	detail/nucleus-cytoplasm/METTL16/METTL16-evaluation.md	scored	nucleus-cytoplasm	167	4960	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
BCDIN3D	detail/nucleus-cytoplasm/BCDIN3D/BCDIN3D-evaluation.md	scored	nucleus-cytoplasm	141	5871	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
CCDC141	detail/nucleus-cytoplasm/CCDC141/CCDC141-evaluation.md	scored	nucleus-cytoplasm	197	5312	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
BUD23	detail/nucleus-cytoplasm/BUD23/BUD23-evaluation.md	scored	nucleus-cytoplasm	199	7695	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
PADI6	detail/nucleus-cytoplasm/PADI6/PADI6-evaluation.md	scored	nucleus-cytoplasm	159	6026	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
ABRAXAS2	detail/nucleus-cytoplasm/ABRAXAS2/ABRAXAS2-evaluation.md	scored	nucleus-cytoplasm	222	13303	True	True	True	True	True	True	True	True	True	True	True	False	False	False	OK	KEEP	OK
HEPACAM2	detail/nucleus-cytoplasm/HEPACAM2/HEPACAM2-evaluation.md	scored	nucleus-cytoplasm	183	4904	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
TLE6	detail/nucleus-cytoplasm/TLE6/TLE6-evaluation.md	scored	nucleus-cytoplasm	154	5911	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
CCDC112	detail/nucleus-cytoplasm/CCDC112/CCDC112-evaluation.md	scored	nucleus-cytoplasm	195	5554	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
YOD1	detail/nucleus-cytoplasm/YOD1/YOD1-evaluation.md	scored	nucleus-cytoplasm	182	5057	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
THAP5	detail/nucleus-cytoplasm/THAP5/THAP5-evaluation.md	scored	nucleus-cytoplasm	168	4340	True	True	True	True	True	True	True	True	False	True	False	False	False	False	OK	KEEP	OK
