gene,protein_full_name,status,category,score,nuclear_score,is_new,mtime,size_score,novelty_score,structure_score,domain_score,ppi_score,corroboration_score,recommendation,pubmed_count,localization,rejection_reason,source_table_status,source_table_category,report_path,docs_report_path,category_page,lines,has_hpa,has_if_image,has_pae,has_pdb,has_ppi,has_pubmed,has_scoring_table,has_manual_review,duplicate_count,duplicate_type,is_primary_candidate,known_backlog_flags,parse_quality,parse_notes
NSMCE2,E3 SUMO-protein ligase NSE2 (EC 2.3.2.-) (E3 SUMO-protein transferase NSE2) (MMS21 homolog) (hMMS21) (Non-structural maintenance of chromosomes element 2 homolog) (Non-SMC element 2 homolog),scored,nuclear-speckle,87.8,9,False,,10,8,8,8,10,+2.0,⭐⭐⭐⭐⭐,21,Nucleoplasm; 额外: Nuclear bodies,,scored,nuclear-speckle,detail/nuclear-speckle/NSMCE2/NSMCE2-evaluation.md,reports/NSMCE2.html,category/nuclear-speckle.html,244,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CEPT1,Choline/ethanolaminephosphotransferase 1 (hCEPT1) (EC 2.7.8.1) (EC 2.7.8.2) (1-alkenyl-2-acylglycerol choline phosphotransferase) (EC 2.7.8.22),scored,nucleoplasm,87.6,8,False,,10,9,9,9,9,+1.2,⭐⭐⭐⭐⭐,34,—,,scored,nucleoplasm,detail/nucleoplasm/CEPT1/CEPT1-evaluation.md,reports/CEPT1.html,category/nucleoplasm.html,203,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
RIOX1,Ribosomal oxygenase 1,scored,nucleoplasm,87.6,9.33,False,,8,10,8.67,9,7,0,⭐⭐⭐⭐⭐,7, Nucleoli rim,,scored,nucleoplasm,detail/nucleoplasm/RIOX1/RIOX1-evaluation.md,reports/RIOX1__nucleoplasm.html,category/nucleoplasm.html,201,True,True,True,True,True,True,True,True,2,SCORED_REJECTED_CONFLICT,False,manual_review;duplicate:SCORED_REJECTED_CONFLICT,GOOD,ok
RCOR3,REST corepressor 3,scored,chromatin,86.9,8,False,,9,10,7,10,8,0,⭐⭐⭐⭐⭐,16,chromatin,,scored,chromatin,detail/chromatin/RCOR3/RCOR3-evaluation.md,reports/RCOR3.html,category/chromatin.html,303,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
EBNA1BP2,Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40),scored,nucleolus,86.9,10,False,,10,10,10,7,5,0,⭐⭐⭐⭐⭐,13,nucleolus,,scored,nucleolus,detail/nucleolus/EBNA1BP2/EBNA1BP2-evaluation.md,reports/EBNA1BP2.html,category/nucleolus.html,348,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
BTAF1,TATA-binding protein-associated factor 172 (EC 3.6.4.-) (ATP-dependent helicase BTAF1) (B-TFIID transcription factor-associated 170 kDa subunit) (TAF(II)170) (TBP-associated factor 172) (TAF-172),scored,nucleoplasm,86.9,9,False,,5,10,7,7,10,+3.0,⭐⭐⭐⭐⭐,20,"Nucleoplasm (HPA Approved, HaCaT)",,scored,nucleoplasm,detail/nucleoplasm/BTAF1/BTAF1-evaluation.md,reports/BTAF1.html,category/nucleoplasm.html,237,True,False,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CES3,Carboxylesterase 3 (EC 3.1.1.1) (Liver carboxylesterase 31 homolog),scored,nuclear-envelope,86.5,6,False,,10,9,10,9,10,+1.2,⭐⭐⭐⭐⭐,40,"Nuclear membrane, Endoplasmic reticulum",,scored,nuclear-envelope,detail/nuclear-envelope/CES3/CES3-evaluation.md,reports/CES3.html,category/nuclear-envelope.html,201,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CERS3,Ceramide synthase 3 (CerS3) (Dihydroceramide synthase 3) (LAG1 longevity assurance homolog 3) (Sphingosine N-acyltransferase CERS3) (EC 2.3.1.24) (Ultra-long-chain ceramide synthase CERS3) (EC 2.3.1.298) (Very-long-chain ceramide synthase CERS3) (EC 2.3.1.297),scored,nucleoplasm,86.5,9,False,,10,8,9,7,10,+1.2,⭐⭐⭐⭐⭐,45,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/CERS3/CERS3-evaluation.md,reports/CERS3.html,category/nucleoplasm.html,210,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ELL2,RNA polymerase II elongation factor ELL2,scored,nucleoplasm,86.3,8,False,,10,10,8,8,8,+2.0,⭐⭐⭐⭐⭐,16,"Nuclear bodies, Nucleoplasm",,scored,nucleoplasm,detail/nucleoplasm/ELL2/ELL2-evaluation.md,reports/ELL2.html,category/nucleoplasm.html,230,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
EID3,EP300-interacting inhibitor of differentiation 3 (EID-3) (E1A-like inhibitor of differentiation 3) (EID-1-like inhibitor of differentiation 3) (Non-structural maintenance of chromosomes element 4 homolog B) (NS4EB) (Non-SMC element 4 homolog B),scored,nucleolus,85.8,7,False,,10,10,7,7,10,+1.5,⭐⭐⭐⭐⭐,18,"Nucleoplasm, Nucleoli",,scored,nucleolus,detail/nucleolus/EID3/EID3-evaluation.md,reports/EID3.html,category/nucleolus.html,244,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
PPIL3,Peptidyl-prolyl cis-trans isomerase-like 3,scored,nucleoplasm,85.8,9,False,,8,8,10,9,8,+2,⭐⭐⭐⭐⭐,21,Nucleoplasm (Approved),,scored,nucleoplasm,detail/nucleoplasm/PPIL3/PPIL3-evaluation.md,reports/PPIL3.html,category/nucleoplasm.html,246,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
TSEN34,tRNA-splicing endonuclease subunit Sen34 (EC 4.6.1.16) (Leukocyte receptor cluster member 5) (tRNA-intron endonuclease Sen34) (HsSen34),scored,nucleolus,85.6,9,False,,10,10,10,8,3,+3.0,⭐⭐⭐⭐⭐,4,Nucleoplasm,,scored,nucleolus,detail/nucleolus/TSEN34/TSEN34-evaluation.md,reports/TSEN34.html,category/nucleolus.html,235,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
BEND5,BEN domain-containing protein 5,scored,nuclear-speckle,85.2,10,False,,10,10,7,5,8,+1.0,⭐⭐⭐⭐⭐,17,"Nuclear speckles; 额外: Nuclear speckles, Cytosol",,scored,nuclear-speckle,detail/nuclear-speckle/BEND5/BEND5-evaluation.md,reports/BEND5.html,category/nuclear-speckle.html,227,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
BCL7C,B-cell CLL/lymphoma 7 protein family member C,scored,nucleoplasm,85.2,10,False,,10,10,5,5,10,+1.0,⭐⭐⭐⭐⭐,17,Nucleoplasm; 额外: Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/BCL7C/BCL7C-evaluation.md,reports/BCL7C.html,category/nucleoplasm.html,229,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
NSMCE4A,Non-structural maintenance of chromosomes element 4 homolog A (NS4EA) (Non-SMC element 4 homolog A),scored,nuclear-body,85,9,False,,10,10,6,7,8,+1.0,⭐⭐⭐⭐⭐,5,Nucleoplasm,,scored,nuclear-body,detail/nuclear-body/NSMCE4A/NSMCE4A-evaluation.md,reports/NSMCE4A.html,category/nuclear-body.html,236,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ATXN7L3,Ataxin-7-like protein 3 (SAGA-associated factor 11 homolog),scored,nuclear-speckle,85,9,False,,10,8,7,8,10,+2.5,⭐⭐⭐⭐⭐,27,核斑 (Nuclear speckles) + 质膜,,scored,nuclear-speckle,detail/nuclear-speckle/ATXN7L3/ATXN7L3-evaluation.md,reports/ATXN7L3.html,category/nuclear-speckle.html,289,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
BPNT2,"Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase (Golgi-resident PAP phosphatase) (gPAPP) (EC 3.1.3.7) (3'(2'), 5'-bisphosphate nucleotidase 2) (Inositol monophosphatase domain-containing protein 1) (Myo-inositol monophosphatase A3) (Phosphoadenosine phosphate 3'-nucleotidase)",scored,nucleus-cytoplasm,85,5,False,,10,10,10,7,10,+1.5,⭐⭐⭐⭐⭐,0,"Golgi apparatus; 额外: Nucleoplasm, Golgi apparatus, Cytosol",,scored,nucleus-cytoplasm,detail/nucleus-cytoplasm/BPNT2/BPNT2-evaluation.md,reports/BPNT2.html,category/nucleus-cytoplasm.html,190,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
HP1BP3,Heterochromatin protein 1-binding protein 3 (Protein HP1-BP74),scored,chromatin,84.7,9,False,,10,8,7,9,10,0,⭐⭐⭐⭐,40,Chromosome; Nucleus,,scored,chromatin,detail/chromatin/HP1BP3/HP1BP3-evaluation.md,reports/HP1BP3.html,category/chromatin.html,295,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ADPRS,ADP-ribosylhydrolase ARH3,scored,nucleoplasm,84.7,7,False,,9,10,10,7,8,0,⭐⭐⭐⭐,17,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/ADPRS/ADPRS-evaluation.md,reports/ADPRS.html,category/nucleoplasm.html,259,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
CENPP,Centromere protein P (CENP-P),scored,nucleoplasm,84.7,9,False,,10,10,10,7,4,+0,⭐⭐⭐⭐,16,"nucleoplasm+nucleoli (Approved, Rh30)",,scored,nucleoplasm,detail/nucleoplasm/CENPP/CENPP-evaluation.md,reports/CENPP.html,category/nucleoplasm.html,223,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
VPS72,Vacuolar protein sorting-associated protein 72 homolog (Protein YL-1) (Transcription factor-like 1),scored,nuclear-speckle,84.4,9,False,,10,10,10,7,3,+3.0,⭐⭐⭐⭐,18,Nuclear speckles,,scored,nuclear-speckle,detail/nuclear-speckle/VPS72/VPS72-evaluation.md,reports/VPS72.html,category/nuclear-speckle.html,244,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FAM207A,Ribosome biogenesis protein SLX9 homolog,scored,nucleolus,84.4,9,False,,10,10,10,7,3,+3.0,⭐⭐⭐⭐,4,Nucleoli; 额外: Nucleoplasm,,scored,nucleolus,detail/nucleolus/FAM207A/FAM207A-evaluation.md,reports/FAM207A.html,category/nucleolus.html,233,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
ARL2BP,ADP-ribosylation factor-like protein 2-binding protein (ARF-like 2-binding protein) (ARL2-binding protein) (Binder of ARF2 protein 1),scored,nucleoplasm,84.4,6,False,,7,10,9,7,10,+2.5,⭐⭐⭐⭐,15,"Nucleoplasm; 额外: Nucleoplasm, Centrosome, Basal body, Cytosol",,scored,nucleoplasm,detail/nucleoplasm/ARL2BP/ARL2BP-evaluation.md,reports/ARL2BP.html,category/nucleoplasm.html,231,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
DESI1,Desumoylating isopeptidase 1 (DeSI-1) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 2) (Palmitoyl protein thioesterase DESI1) (EC 3.1.2.22) (Polyubiquitinated substrate transporter) (POST) (S-depalmitoylase DESI1),scored,nucleoplasm,84.4,7,False,,8,10,8,8,8,+2.0,⭐⭐⭐⭐,5,Cytosol; 额外: Cytokinetic bridge,,scored,nucleoplasm,detail/nucleoplasm/DESI1/DESI1-evaluation.md,reports/DESI1.html,category/nucleoplasm.html,241,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
SUPT4H1,Transcription elongation factor SPT4 (hSPT4) (DRB sensitivity-inducing factor 14 kDa subunit) (DSIF p14) (DRB sensitivity-inducing factor small subunit) (DSIF small subunit),scored,nucleoplasm,84.4,9,False,,8,10,10,8,3,+3.0,⭐⭐⭐⭐,9,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/SUPT4H1/SUPT4H1-evaluation.md,reports/SUPT4H1.html,category/nucleoplasm.html,239,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CETN1,Centrin-1 (Caltractin isoform 2),scored,nucleoplasm,84.3,6,False,,8,10,9,7,10,+1.2,⭐⭐⭐⭐,11,"Nucleoplasm, Flagellar centriole",,scored,nucleoplasm,detail/nucleoplasm/CETN1/CETN1-evaluation.md,reports/CETN1.html,category/nucleoplasm.html,205,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
RIOX2,Ribosomal oxygenase 2,scored,nucleolus,84.2,9,False,,10,10,9,8,5,+0.0,⭐⭐⭐⭐,8,Nucleoplasm + Nucleoli (Supported 可靠性),,scored,nucleolus,detail/nucleolus/RIOX2/RIOX2-evaluation.md,reports/RIOX2.html,category/nucleolus.html,157,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
ARID3B,AT-rich interactive domain-containing protein 3B,scored,nucleoplasm,84.2,9,False,,10,8,6,9,10,+2.0,⭐⭐⭐⭐,38,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/ARID3B/ARID3B-evaluation.md,reports/ARID3B.html,category/nucleoplasm.html,281,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
RMND5A,E3 ubiquitin-protein transferase RMND5A,scored,nucleoplasm,84,8.67,False,,10,10,8,7,7,0,⭐⭐⭐⭐,16, Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/RMND5A/RMND5A-evaluation.md,reports/RMND5A__nucleoplasm.html,category/nucleoplasm.html,208,True,True,True,True,True,True,True,True,2,SCORED_REJECTED_CONFLICT,False,manual_review;duplicate:SCORED_REJECTED_CONFLICT,GOOD,ok
CENPS,Centromere protein S (CENP-S) (Apoptosis-inducing TAF9-like domain-containing protein 1) (FANCM-associated histone fold protein 1) (FANCM-interacting histone fold protein 1) (Fanconi anemia-associated polypeptide of 16 kDa),scored,nucleoplasm,83.7,8,False,,8,7,9,10,10,+1.2,⭐⭐⭐⭐,75,—,,scored,nucleoplasm,detail/nucleoplasm/CENPS/CENPS-evaluation.md,reports/CENPS.html,category/nucleoplasm.html,208,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FYTTD1,UAP56-interacting factor (四十-两个-three domain-containing protein 1),scored,nuclear-speckle,83.6,10,False,,10,10,6,7,7,0,⭐⭐⭐⭐,2,Nucleoplasm (supported); Nuclear speckles (supported),,scored,nuclear-speckle,detail/nuclear-speckle/FYTTD1/FYTTD1-evaluation.md,reports/FYTTD1.html,category/nuclear-speckle.html,273,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
NLE1,Notchless protein homolog 1,scored,nucleolus,83.6,9,False,,10,10,10,8,2,+2.5,⭐⭐⭐⭐,14,Nucleoli; 额外: Nucleoplasm,,scored,nucleolus,detail/nucleolus/NLE1/NLE1-evaluation.md,reports/NLE1__nucleolus.html,category/nucleolus.html,235,True,True,True,True,True,True,True,False,2,MULTI_SCORED_CONFLICT,False,duplicate:MULTI_SCORED_CONFLICT,GOOD,ok
ANAPC15,Anaphase-promoting complex subunit 15,scored,nucleoplasm,83.6,7,False,,10,10,8,7,9,+1.5,⭐⭐⭐⭐,3,"Nucleoplasm (main, Approved), Vesicles (additional)",,scored,nucleoplasm,detail/nucleoplasm/ANAPC15/ANAPC15-evaluation.md,reports/ANAPC15.html,category/nucleoplasm.html,157,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ANAPC16,Anaphase-promoting complex subunit 16,scored,nucleoplasm,83.6,7,False,,10,10,8,7,9,+1.5,⭐⭐⭐⭐,2,"Cytosol (main, Supported); 无 nucleoplasm 注释",,scored,nucleoplasm,detail/nucleoplasm/ANAPC16/ANAPC16-evaluation.md,reports/ANAPC16.html,category/nucleoplasm.html,164,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CSTF3,Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77),scored,nucleoplasm,83.6,9,False,,10,10,9,8,3,+2.5,⭐⭐⭐⭐,16,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/CSTF3/CSTF3-evaluation.md,reports/CSTF3.html,category/nucleoplasm.html,237,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
DNAAF4,Dynein axonemal assembly factor 4 (Dyslexia susceptibility 1 candidate gene 1 protein),scored,nucleoplasm,83.6,7,False,,10,10,7,8,8,+1.5,⭐⭐⭐⭐,16,"Cytosol, Mid piece; 额外: Plasma membrane, Connecting piece, Principal piece",,scored,nucleoplasm,detail/nucleoplasm/DNAAF4/DNAAF4-evaluation.md,reports/DNAAF4.html,category/nucleoplasm.html,245,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
GINS3,DNA replication complex GINS protein PSF3 (GINS complex subunit 3),scored,nucleoplasm,83.6,9,False,,10,10,10,8,2,+2.5,⭐⭐⭐⭐,0,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/GINS3/GINS3-evaluation.md,reports/GINS3.html,category/nucleoplasm.html,195,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
PFDN6,Prefoldin subunit 6,scored,nucleoplasm,83.6,9,False,,6,10,10,4,7,0,⭐⭐⭐⭐,10,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/PFDN6/PFDN6-evaluation.md,reports/PFDN6.html,category/nucleoplasm.html,115,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ZRANB1,Ubiquitin thioesterase ZRANB1,scored,nucleus-cytoplasm,83.6,8,False,,9,9,8,5,10,+3,⭐⭐⭐⭐,20,Cytosol; Nucleoplasm,,scored,nucleus-cytoplasm,detail/nucleus-cytoplasm/ZRANB1/ZRANB1-evaluation.md,reports/ZRANB1.html,category/nucleus-cytoplasm.html,176,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
AHCTF1,Protein ELYS (Embryonic large molecule derived from yolk sac) (Protein MEL-28) (Putative AT-hook-containing transcription factor 1),scored,nuclear-envelope,83.3,9,False,,2,10,7,9,8,+1.5,⭐⭐⭐⭐,17,Nucleoplasm + Nuclear bodies + Nuclear membrane,,scored,nuclear-envelope,detail/nuclear-envelope/AHCTF1/AHCTF1-evaluation.md,reports/AHCTF1.html,category/nuclear-envelope.html,234,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
TSEN15,tRNA-splicing endonuclease subunit Sen15 (SEN15 homolog) (HsSEN15) (tRNA-intron endonuclease Sen15),scored,nucleolus,83.3,9,False,,8,10,10,7,3,+3.0,⭐⭐⭐⭐,8,Nucleoli; 额外: Nucleoplasm,,scored,nucleolus,detail/nucleolus/TSEN15/TSEN15-evaluation.md,reports/TSEN15.html,category/nucleolus.html,240,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CREBL2,cAMP-responsive element-binding protein-like 2,scored,nucleoplasm,83.1,8,False,,8,10,7,7,8,+0,⭐⭐⭐⭐,15,"mitochondria (Approved, A-431)",,scored,nucleoplasm,detail/nucleoplasm/CREBL2/CREBL2-evaluation.md,reports/CREBL2.html,category/nucleoplasm.html,209,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
MCMBP,Mini-chromosome maintenance complex-binding protein (MCM-BP) (MCM-binding protein),scored,nucleoplasm,83.1,8,False,,10,10,6,8,8,+2,⭐⭐⭐⭐,14,HPA subcellular IF 图像可用（见下方 HPA IF 图像修正块）,,scored,nucleoplasm,detail/nucleoplasm/MCMBP/MCMBP-evaluation.md,reports/MCMBP.html,category/nucleoplasm.html,227,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
METTL18,Histidine protein methyltransferase 1 homolog (EC 2.1.1.85) (Arsenic-transactivated protein 2) (AsTP2) (Methyltransferase-like protein 18),scored,nucleoplasm,83.1,8,False,,10,10,7,7,8,+1.0,⭐⭐⭐⭐,10,"U-251MG, A-431",,scored,nucleoplasm,detail/nucleoplasm/METTL18/METTL18-evaluation.md,reports/METTL18.html,category/nucleoplasm.html,247,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
SAMD1,Sterile alpha motif domain-containing protein 1,scored,chromatin,82.8,7,False,,10,10,8,10,6,+3,⭐⭐⭐⭐,12,chromatin,,scored,chromatin,detail/chromatin/SAMD1/SAMD1-evaluation.md,reports/SAMD1.html,category/chromatin.html,258,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FCF1,rRNA-processing protein FCF1 homolog,scored,nucleolus,82.8,9,False,,8,10,9,8,3,+3.0,⭐⭐⭐⭐,5,Nucleoplasm,,scored,nucleolus,detail/nucleolus/FCF1/FCF1-evaluation.md,reports/FCF1.html,category/nucleolus.html,241,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
LEUTX,Paired-like homeodomain transcription factor LEUTX (Leucine-twenty homeobox) (Paired-like homeobox transcription factor LEUTX) (PRD-LIKE homeobox transcription factor LEUTX),scored,nucleoplasm,82.8,9,False,,5,10,7,7,8,+1.5,⭐⭐⭐⭐,50,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/LEUTX/LEUTX-evaluation.md,reports/LEUTX.html,category/nucleoplasm.html,188,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
GINS4,DNA replication complex GINS protein SLD5,scored,chromatin,82.5,7,False,,10,8,10,8,9,+1.0,⭐⭐⭐⭐,23,Nucleoplasm + Centrosome (Approved 可靠性),,scored,chromatin,detail/chromatin/GINS4/GINS4-evaluation.md,reports/GINS4.html,category/chromatin.html,167,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
C12orf57,Protein C10,scored,nuclear-speckle,82.5,9,False,,8,10,8,7,6,+1.0,⭐⭐⭐⭐,11,Main: Nuclear speckles; no additional,,scored,nuclear-speckle,detail/nuclear-speckle/C12orf57/C12orf57-evaluation.md,reports/C12orf57.html,category/nuclear-speckle.html,251,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ATXN1L,Ataxin-1-like (Brother of ataxin-1) (Brother of ATXN1),scored,nucleoplasm,82.5,9,False,,10,10,6,7,7,+2.0,⭐⭐⭐⭐,17,"Nucleoplasm (主要), Nucleoli (附加)",,scored,nucleoplasm,detail/nucleoplasm/ATXN1L/ATXN1L-evaluation.md,reports/ATXN1L.html,category/nucleoplasm.html,327,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
