gene_symbol	species	full_name	aliases	uniprot_accession	uniprot_entry_name	uniprot_length	uniprot_reviewed	uniprot_pubmed_count	pubmed_count_strict	pubmed_count_loose	citations	hotness	hpa_nuclear	hpa_locations	hpa_reliability	compartments_nuclear_score	compartments_nuclear_evidence	uniprot_subcellular	uniprot_all_gene_names	uniprot_go_c	uniprot_go_ids	tier	num_sources	evidence_quality	source_uniprot	source_hpa	source_compartments	category	category_reason	final_category	ChIP_Atlas_class	ChIP_Atlas_antigen	ChIP_Atlas_hg38	ChIP_Atlas_mm10	ENCODE_ChIP_WT	ENCODE_ChIP_pert	ATAC_perturbed	FP80_Degree	FP80_Nuclear_Degree	FP80_ChIP_Neighbor_Degree	FP90_Degree	FP90_Nuclear_Degree	FP90_ChIP_Neighbor_Degree	BioGRID_Human_Degree	BioGRID_Human_Nuclear_Degree	BioGRID_Human_ChIP_Neighbor_Degree	BioGRID_Mouse_Degree	BioGRID_Mouse_Nuclear_Degree	BioGRID_Mouse_ChIP_Neighbor_Degree	STRING_Human_Degree	STRING_Human_Nuclear_Degree	STRING_Human_ChIP_Neighbor_Degree	STRING_Mouse_Degree	STRING_Mouse_Nuclear_Degree	STRING_Mouse_ChIP_Neighbor_Degree	Combined_BS_Human_Degree	Combined_BS_Human_Nuclear_Degree	Combined_BS_Human_ChIP_Neighbor_Degree	Combined_BS_Mouse_Degree	Combined_BS_Mouse_Nuclear_Degree	Combined_BS_Mouse_ChIP_Neighbor_Degree	Has_FP80_PPI	Has_FP90_PPI	Has_BioGRID_Human_PPI	Has_BioGRID_Mouse_PPI	Has_STRING_Human_PPI	Has_STRING_Mouse_PPI	Has_Combined_BS_Human_PPI	Has_Combined_BS_Mouse_PPI	Has_Any_Human_PPI	Has_Any_Mouse_PPI	Has_Any_PPI
ABL1	human	Tyrosine-protein kinase ABL1	ABL;BCR/ABL;JTK7;fusion	A9UF07;P00519	ABL1_HUMAN	1130	True	76	4850	35811	4850	热门	True	Nuclear bodies;Nucleoplasm	Supported	5.000	MGI;UniProtKB;evidence=IDA;score=5.0;sources=HPA	Lipid-anchor. Note=The myristoylated c-ABL protein is reported to be nuclear.;SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}. Mitochondrion {ECO:0000256|ARBA:ARBA00004173}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.;SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Nucleus. Mitochondrion {ECO:0000250}. Note=Shuttles between the nucleus and cytoplasm depending on environmental signals. Sequestered into the cytoplasm through interaction with 14-3-3 proteins. Localizes to mitochondria in response to oxidative stress (By similarity). {ECO:0000250}.;SUBCELLULAR LOCATION: [Isoform IB]: Nucleus membrane	ABL1 ABL JTK7			1	3	3	True	True	True	unclassified_core_nuclear	core_nuclear_unclassified;merged_BCR/ABL	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	2	2	0	1	1	0	220	156	53	0	0	0	134	87	39	0	0	0	287	193	72	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ABRAXAS1	human	BRCA1-A complex subunit Abraxas 1	ABRA1; CCDC98; FAM175A; UNQ496/PRO1013	Q6UWZ7	ABRX1_HUMAN	409	True	22	48	79	48	较多	True	Nuclear bodies	Supported	5.000	score=5.0; evidence=IDA; sources=HPA;Reactome;UniProtKB	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17525340, ECO:0000269|PubMed:17643121, ECO:0000269|PubMed:17643122}. Note=Localizes at sites of DNA damage at double-strand breaks (DSBs). {ECO:0000305}.	ABRAXAS1 ABRA1 CCDC98 FAM175A UNQ496/PRO1013			1	3	3	True	True	True	families	family_DNA_repair	families			WT:0/pert:0	WT:0/pert:0	0	0	False	3	3	0	2	2	0	0	0	0	0	0	0	23	23	10	0	0	0	23	23	10	0	0	0	True	True	False	False	True	False	True	False	True	True	True
ABRAXAS2	human	BRISC complex subunit Abraxas 2	ABRO1; FAM175B; KIAA0157	Q15018	ABRX2_HUMAN	415	True	23	17	38	23	较多	False		Supported	5.000	score=5.0; evidence=IDA; sources=UniProtKB	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20656690, ECO:0000269|PubMed:21195082, ECO:0000269|PubMed:21282113, ECO:0000269|PubMed:22974638, ECO:0000269|PubMed:24075985, ECO:0000269|PubMed:25283148}. Nucleus {ECO:0000269|PubMed:21282113, ECO:0000269|PubMed:22974638, ECO:0000269|PubMed:24075985, ECO:0000269|PubMed:25283148}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:26195665}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:26195665}. Note=A minor proportion is detected in the nucleus (PubMed:21282113, PubMed:22974638). Translocates into the nucleus in response to DNA damage (PubMed:25283148). Directly binds to microtubules and is detected at the minus end of K-fibers (PubMed:26195665). Co-localizes with NUMA1 at mitotic spindle poles (PubMed:26195665). {ECO:0000269|PubMed:21282113, ECO:0000269|PubMed:22974638, ECO:0000269|PubMed:25283148, ECO:0000269|PubMed:26195665}.	ABRAXAS2 ABRO1 FAM175B KIAA0157			1	3	3	True	True	True	families	family_Cell_cycle;family_DNA_replication	families			WT:0/pert:0	WT:0/pert:0	0	0	False	4	3	0	4	3	0	0	0	0	0	0	0	11	10	4	0	0	0	11	10	4	0	0	0	True	True	False	False	True	False	True	False	True	True	True
ABT1	human	Activator of basal transcription 1		Q9ULW3	ABT1_HUMAN	272	True	6	45	45	45	较多	False		Approved	4.000	score=4.0; evidence=TAS; sources=GO_Central;ProtInc	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Nucleus, nucleolus {ECO:0000250}.	ABT1			1	3	3	True	True	True	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	5	4	1	5	4	1	384	305	80	0	0	0	31	31	5	0	0	0	403	324	83	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ACBD6	human	Acyl-CoA-binding domain-containing protein 6		Q9BR61	ACBD6_HUMAN	282	True	9	25	25	25	较多	True	Cytosol; Nucleoplasm	Approved	5.000	score=5.0; evidence=IDA; sources=UniProtKB	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18268358, ECO:0000269|PubMed:37951597}. Nucleus {ECO:0000269|PubMed:37951597}.	ACBD6			1	3	3	True	True	True	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	7	4	1	4	2	1	19	13	1	0	0	0	2	0	0	0	0	0	19	13	1	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ACD	human	Adrenocortical dysplasia protein homolog	PIP1; PTOP; TINT1; TPP1	Q96AP0	ACD_HUMAN	458	True	23	10115	10482	10115	热门	True	Nuclear bodies	Enhanced	4.000	score=4.0; evidence=IDA; sources=BHF-UCL;HPA;Reactome	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15181449, ECO:0000269|PubMed:25205116, ECO:0000269|PubMed:25233904}. Chromosome, telomere {ECO:0000269|PubMed:15181449, ECO:0000269|PubMed:25205116, ECO:0000269|PubMed:25233904}.	ACD PIP1 PTOP TINT1 TPP1			1	3	3	True	True	True	families	family_Telomere	families			WT:0/pert:0	WT:0/pert:0	0	0	False	2	2	0	2	2	0	80	58	14	0	0	0	27	23	9	0	0	0	100	74	18	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ACHE	human	Acetylcholinesterase		P22303	ACES_HUMAN	614	True	17	24859	24859	24859	热门	False		Approved	5.000	score=5.0; evidence=CURATED; sources=UniProtKB	SUBCELLULAR LOCATION: Synapse {ECO:0000269|PubMed:11985878, ECO:0000269|PubMed:1748670}. Secreted {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform T]: Nucleus. Note=Only observed in apoptotic nuclei.; SUBCELLULAR LOCATION: [Isoform H]: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}; Extracellular side {ECO:0000250}.	ACHE			1	3	3	True	True	True	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	1	0	0	0	0	0	3	2	0	0	0	0	30	9	1	0	0	0	32	10	1	0	0	0	True	False	True	False	True	False	True	False	True	True	True
ACOT13	human	Acyl-coenzyme A thioesterase 13	HT012; PNAS-27; THEM2	Q9NPJ3	ACO13_HUMAN	140	True	12	46	57	46	较多	False		Approved	4.000	score=4.0; evidence=HDA; sources=UniProtKB	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9CQR4}. Mitochondrion {ECO:0000250|UniProtKB:Q9CQR4}. Nucleus {ECO:0000250|UniProtKB:Q9CQR4}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q9CQR4}. Note=During interphase, found both in the nucleus and in the cytoplasm. At mitosis, localizes to the spindle. Colocalizes with tubulin. {ECO:0000250|UniProtKB:Q9CQR4}.	ACOT13 THEM2 HT012 PNAS-27			1	3	3	True	True	True	families	family_Cell_cycle	families			WT:0/pert:0	WT:0/pert:0	0	0	False	1	1	1	0	0	0	42	26	9	0	0	0	10	5	0	0	0	0	51	30	9	0	0	0	True	False	True	False	True	False	True	False	True	True	True
ACSS2	human	Acetyl-coenzyme A synthetase, cytoplasmic	ACAS2	Q9NR19	ACSA_HUMAN	701	True	14	364	369	364	热门	True	Cytosol; Nucleoplasm; Plasma membrane; Vesicles	Supported	5.000	score=5.0; evidence=IDA; sources=UniProtKB	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:10843999, ECO:0000269|PubMed:28003429, ECO:0000269|PubMed:28552616}. Cytoplasm {ECO:0000250|UniProtKB:Q9QXG4}. Nucleus {ECO:0000269|PubMed:28552616}. Note=Glucose deprivation results in its AMPK-dependent phosphorylation and subsequent nuclear translocation (PubMed:28552616). Phosphorylation at Ser-659, leads to exposure of its nuclear localization signal which is required for its interaction with KPNA1 and subsequent translocation to the nucleus (PubMed:28552616). Found in the cytoplasm in undifferentiated neurons and upon differentiation, translocates to nucleus (By similarity). {ECO:0000250|UniProtKB:Q9QXG4, ECO:0000269|PubMed:28552616}.	ACSS2 ACAS2			1	3	3	True	True	True	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear	TFs and others	ACSS2,Acss2	WT:2/pert:0	WT:9/pert:1	0	0	False	0	0	0	0	0	0	14	9	5	0	0	0	49	21	3	0	0	0	63	30	8	0	0	0	False	False	True	False	True	False	True	False	True	False	True
ACTB	human	Actin, cytoplasmic 1		P60709	ACTB_HUMAN	375	True	52	1947	1947	1947	热门	False			5.000	score=5.0; evidence=IDA; sources=ComplexPortal;Reactome;UniProtKB	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11687588, ECO:0000269|PubMed:17289661}. Nucleus {ECO:0000269|PubMed:11687588, ECO:0000269|PubMed:29925947}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000269|PubMed:17289661}.	ACTB			1	3	3	True	True	True	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear	TFs and others	ACTB,Actb	WT:0/pert:0	WT:2/pert:0	0	0	False	7	3	1	5	1	0	964	603	187	0	0	0	438	305	102	0	0	0	1218	771	235	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ACTL6A	human	Actin-like protein 6A	BAF53;BAF53A;INO80K	O96019;Q53FS0;Q6FI97	ACL6A_HUMAN	429	True	27	127	152	127	热门	True	Cytosol;Nucleoplasm	Enhanced	5.000	ComplexPortal;HPA;UniProtKB;evidence=IDA;score=5.0;sources=BHF-UCL	SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.;SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18026119}.	ACTL6A BAF53 BAF53A INO80K			1	3	3	True	True	True	families	family_Chromatin_remodeling;family_SWI_SNF_BAF;merged_BAF53A	families			WT:0/pert:0	WT:0/pert:0	0	0	False	11	11	10	4	4	4	280	232	144	0	0	0	136	134	69	0	0	0	349	299	166	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ACTL6B	human	Actin-like protein 6B	ACTL6; BAF53B	O94805	ACL6B_HUMAN	426	True	12	32	54	32	较多	True	Mitotic chromosome; Nucleoli rim	Approved	5.000	score=5.0; evidence=IDA; sources=BHF-UCL;ComplexPortal;GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus {ECO:0000303|PubMed:26601204}.	ACTL6B ACTL6 BAF53B			1	3	3	True	True	True	families	family_SWI_SNF_BAF	families			WT:0/pert:0	WT:0/pert:0	0	0	False	5	5	4	1	1	1	78	52	27	0	0	0	57	57	41	0	0	0	119	93	54	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ACTL7A	human	Actin-like protein 7A	A0A140VK03	A0A140VK03;Q9Y615	ACL7A_HUMAN	435	True	12	45	45	45	较多	False		Supported	4.000	evidence=HDA;score=4.0;sources=UniProtKB	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9QY84}. Golgi apparatus {ECO:0000250|UniProtKB:Q9QY84}. Cytoplasm {ECO:0000250|UniProtKB:Q9QY84}. Nucleus {ECO:0000250|UniProtKB:Q9QY84}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:32923619, ECO:0000269|PubMed:34727571}. Note=Detected at the Golgi apparatus during acrosome biogenesis. Detected at the subacrosomal layer in round spermatids. Detected in sperm head and tail. {ECO:0000250|UniProtKB:Q9QY84}.;SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}. Golgi apparatus {ECO:0000256|ARBA:ARBA00004555}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.	ACTL7A			1	3	2	True	True	True	suspicious_nonfamily	reclassified_from_suspicious (Tier 1);merged_A0A140VK03	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	4	3	1	0	0	0	5	2	0	0	0	0	8	4	1	0	0	0	False	False	True	False	True	False	True	False	True	False	True
ACTN4	human	Alpha-actinin-4		O43707	ACTN4_HUMAN	911	True	24	543	543	543	热门	False		Approved	5.000	score=5.0; evidence=IDA; sources=HPA;UniProtKB	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cytoplasm {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cell junction {ECO:0000250|UniProtKB:P57780}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:9508771}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:P57780}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. Expressed in the perinuclear rim and manchette structure in early elongating spermatids during spermiogenesis (By similarity). Nuclear translocation can be induced by the PI3 kinase inhibitor wortmannin or by cytochalasin D. Exclusively localized in the nucleus in a limited number of cell lines (breast cancer cell line MCF-7, oral floor cancer IMC-2, and bladder cancer KU-7). {ECO:0000250|UniProtKB:P57780, ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:9508771}.	ACTN4			1	3	3	True	True	True	suspicious_nonfamily	reclassified_from_suspicious (Tier 1)	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	6	4	1	2	1	1	366	243	85	0	0	0	62	33	4	0	0	0	408	264	86	0	0	0	True	True	True	False	True	False	True	False	True	True	True
