gene	in_original_recovery_plan	original_recommended_action	in_full_reevaluate_batches	batch_id	was_processed	current_report_path	current_status	current_lines	current_chars	processed_but_not_in_queue	should_have_been_skipped	reason
ARMCX4	True	FULL_REEVALUATE	True	15	True	detail/nucleus-cytoplasm/ARMCX4/ARMCX4-evaluation.md	scored	162	5023	False	False	Processed
ARMCX5	True	FULL_REEVALUATE	True	15	True	detail/nuclear-speckle/ARMCX5/ARMCX5-evaluation.md	scored	161	5091	False	False	Processed
ASAP3	True	FULL_REEVALUATE	True	16	True	detail/nucleus-cytoplasm/ASAP3/ASAP3-evaluation.md	scored	171	5765	False	False	Processed
ASB7	True	FULL_REEVALUATE	True	16	True	detail/chromatin/ASB7/ASB7-evaluation.md	scored	150	6267	False	False	Processed
ASCL3	True	FULL_REEVALUATE	True	16	True	detail/nucleoplasm/ASCL3/ASCL3-evaluation.md	scored	164	5167	False	False	Processed
ASCL5	True	FULL_REEVALUATE	True	16	True	detail/nucleoplasm/ASCL5/ASCL5-evaluation.md	scored	159	4630	False	False	Processed
ASRGL1	True	FULL_REEVALUATE	True	16	True	detail/nucleus-cytoplasm/ASRGL1/ASRGL1-evaluation.md	scored	141	6359	False	False	Processed
ASZ1	True	FULL_REEVALUATE	True	17	True	detail/nucleus-cytoplasm/ASZ1/ASZ1-evaluation.md	scored	172	5359	False	False	Processed
ATG10	True	FULL_REEVALUATE	True	17	True	detail/rejected/ATG10/ATG10-evaluation.md	rejected	170	5175	False	False	Processed
ATG2A	True	FULL_REEVALUATE	True	17	True	detail/nucleus-cytoplasm/ATG2A/ATG2A-evaluation.md	scored	173	5615	False	False	Processed
ATOX1	True	FULL_REEVALUATE	True	17	True	detail/rejected/ATOX1/ATOX1-evaluation.md	rejected	158	4601	False	False	Processed
ATXN3L	True	FULL_REEVALUATE	True	17	True	detail/nucleoplasm/ATXN3L/ATXN3L-evaluation.md	scored	160	4637	False	False	Processed
ATXN7L3B	True	FULL_REEVALUATE	True	18	True	detail/nucleus-cytoplasm/ATXN7L3B/ATXN7L3B-evaluation.md	scored	162	4785	False	False	Processed
AUNIP	True	FULL_REEVALUATE	True	18	True	detail/chromatin/AUNIP/AUNIP-evaluation.md	scored	146	5853	False	False	Processed
AUP1	True	FULL_REEVALUATE	True	18	True	detail/nucleoplasm/AUP1/AUP1-evaluation.md	scored	134	5422	False	False	Processed
B4GALNT4	True	FULL_REEVALUATE	True	18	True	detail/nucleus-cytoplasm/B4GALNT4/B4GALNT4-evaluation.md	scored	163	5451	False	False	Processed
B9D1	True	FULL_REEVALUATE	True	18	True	detail/nucleus-cytoplasm/B9D1/B9D1-evaluation.md	scored	138	5549	False	False	Processed
BABAM1	True	FULL_REEVALUATE	True	19	True	detail/nuclear-body/BABAM1/BABAM1-evaluation.md	scored	147	6136	False	False	Processed
BABAM2	True	FULL_REEVALUATE	True	19	True	detail/nucleoplasm/BABAM2/BABAM2-evaluation.md	scored	145	6024	False	False	Processed
BACC1	True	FULL_REEVALUATE	True	19	True	detail/nucleoplasm/BACC1/BACC1-evaluation.md	scored	156	4243	False	False	Processed
BAG5	True	FULL_REEVALUATE	True	19	True	detail/nucleus-cytoplasm/BAG5/BAG5-evaluation.md	scored	158	6282	False	False	Processed
BBS9	True	FULL_REEVALUATE	True	19	True	detail/nucleus-cytoplasm/BBS9/BBS9-evaluation.md	scored	158	6621	False	False	Processed
BCAS3	True	FULL_REEVALUATE	True	20	True	detail/nucleolus/BCAS3/BCAS3-evaluation.md	scored	145	5891	False	False	Processed
BCDIN3D	True	FULL_REEVALUATE	True	20	True	detail/nucleus-cytoplasm/BCDIN3D/BCDIN3D-evaluation.md	scored	141	5871	False	False	Processed
BCL7C	True	FULL_REEVALUATE	True	20	True	detail/nucleoplasm/BCL7C/BCL7C-evaluation.md	scored	167	5247	False	False	Processed
BCLAF1	True	FULL_REEVALUATE	True	272	True	detail/rejected/BCLAF1/BCLAF1-evaluation.md	rejected	24	558	False	False	Processed
BCLAF3	True	FULL_REEVALUATE	True	20	True	detail/nucleoplasm/BCLAF3/BCLAF3-evaluation.md	scored	158	4252	False	False	Processed
BEAN1	True	FULL_REEVALUATE	True	20	True	detail/nucleus-cytoplasm/BEAN1/BEAN1-evaluation.md	scored	161	4557	False	False	Processed
BEGAIN	True	FULL_REEVALUATE	True	21	True	detail/nucleus-cytoplasm/BEGAIN/BEGAIN-evaluation.md	scored	170	5645	False	False	Processed
BEND4	True	FULL_REEVALUATE	True	21	True	detail/nucleolus/BEND4/BEND4-evaluation.md	scored	158	4597	False	False	Processed
BEND5	True	FULL_REEVALUATE	True	21	True	detail/nuclear-speckle/BEND5/BEND5-evaluation.md	scored	165	5217	False	False	Processed
BET1L	True	FULL_REEVALUATE	True	21	True	detail/nucleus-cytoplasm/BET1L/BET1L-evaluation.md	scored	173	5325	False	False	Processed
BEX4	True	FULL_REEVALUATE	True	21	True	detail/nucleus-cytoplasm/BEX4/BEX4-evaluation.md	scored	170	5695	False	False	Processed
BICD2	True	FULL_REEVALUATE	True	22	True	detail/rejected/BICD2/BICD2-evaluation.md	rejected	191	5756	False	False	Processed
BICRA	True	FULL_REEVALUATE	True	22	True	detail/nucleoplasm/BICRA/BICRA-evaluation.md	scored	180	5674	False	False	Processed
BICRAL	True	FULL_REEVALUATE	True	22	True	detail/nucleus-cytoplasm/BICRAL/BICRAL-evaluation.md	scored	170	4710	False	False	Processed
BIRC7	True	FULL_REEVALUATE	True	22	True	detail/nucleus-cytoplasm/BIRC7/BIRC7-evaluation.md	scored	182	5861	False	False	Processed
BLCAP	True	FULL_REEVALUATE	True	22	True	detail/nucleolus/BLCAP/BLCAP-evaluation.md	scored	181	5398	False	False	Processed
BLMH	True	FULL_REEVALUATE	True	23	True	detail/nuclear-body/BLMH/BLMH-evaluation.md	scored	180	5904	False	False	Processed
BLTP3B	True	FULL_REEVALUATE	True	23	True	detail/nucleus-cytoplasm/BLTP3B/BLTP3B-evaluation.md	scored	159	4536	False	False	Processed
BLVRB	True	FULL_REEVALUATE	True	23	True	detail/nucleus-cytoplasm/BLVRB/BLVRB-evaluation.md	scored	186	6079	False	False	Processed
BMP2K	True	FULL_REEVALUATE	True	23	True	detail/nuclear-speckle/BMP2K/BMP2K-evaluation.md	scored	180	5697	False	False	Processed
BMS1	True	FULL_REEVALUATE	True	23	True	detail/nucleolus/BMS1/BMS1-evaluation.md	scored	180	5826	False	False	Processed
BNIP2	True	FULL_REEVALUATE	True	24	True	detail/nucleolus/BNIP2/BNIP2-evaluation.md	scored	186	5950	False	False	Processed
BOD1	True	FULL_REEVALUATE	True	24	True	detail/nucleoplasm/BOD1/BOD1-evaluation.md	scored	179	5448	False	False	Processed
BOD1L1	True	FULL_REEVALUATE	True	24	True	detail/nucleoplasm/BOD1L1/BOD1L1-evaluation.md	scored	168	5560	False	False	Processed
BOLA2	True	FULL_REEVALUATE	True	24	True	detail/nucleus-cytoplasm/BOLA2/BOLA2-evaluation.md	scored	179	5531	False	False	Processed
BPNT1	True	FULL_REEVALUATE	True	24	True	detail/nuclear-speckle/BPNT1/BPNT1-evaluation.md	scored	179	5585	False	False	Processed
BPNT2	True	FULL_REEVALUATE	True	25	True	detail/nucleus-cytoplasm/BPNT2/BPNT2-evaluation.md	scored	182	5488	False	False	Processed
BRCC3	True	FULL_REEVALUATE	True	25	True	detail/nucleus-cytoplasm/BRCC3/BRCC3-evaluation.md	scored	171	5489	False	False	Processed
BRI3	True	FULL_REEVALUATE	True	25	True	detail/nucleus-cytoplasm/BRI3/BRI3-evaluation.md	scored	161	4928	False	False	Processed
BRIX1	True	FULL_REEVALUATE	True	25	True	detail/nucleolus/BRIX1/BRIX1-evaluation.md	scored	164	5262	False	False	Processed
BRK1	True	FULL_REEVALUATE	True	25	True	detail/nuclear-speckle/BRK1/BRK1-evaluation.md	scored	167	4905	False	False	Processed
BRME1	True	FULL_REEVALUATE	True	26	True	detail/nucleoplasm/BRME1/BRME1-evaluation.md	scored	178	5629	False	False	Processed
BROX	True	FULL_REEVALUATE	True	26	True	detail/nuclear-envelope/BROX/BROX-evaluation.md	scored	184	6176	False	False	Processed
BRPF3	True	FULL_REEVALUATE	True	26	True	detail/nucleoplasm/BRPF3/BRPF3-evaluation.md	scored	182	5817	False	False	Processed
BSPRY	True	FULL_REEVALUATE	True	26	True	detail/nucleoplasm/BSPRY/BSPRY-evaluation.md	scored	175	5748	False	False	Processed
BTBD1	True	FULL_REEVALUATE	True	26	True	detail/nucleoplasm/BTBD1/BTBD1-evaluation.md	scored	181	5834	False	False	Processed
BTBD18	True	FULL_REEVALUATE	True	27	True	detail/nucleoplasm/BTBD18/BTBD18-evaluation.md	scored	164	4549	False	False	Processed
BTBD3	True	FULL_REEVALUATE	True	27	True	detail/nucleoplasm/BTBD3/BTBD3-evaluation.md	scored	182	5675	False	False	Processed
BTF3L4	True	FULL_REEVALUATE	True	27	True	detail/nucleoplasm/BTF3L4/BTF3L4-evaluation.md	scored	177	5639	False	False	Processed
BTNL9	True	FULL_REEVALUATE	True	27	True	detail/nuclear-envelope/BTNL9/BTNL9-evaluation.md	scored	182	5619	False	False	Processed
C10orf71	True	FULL_REEVALUATE	True	27	True	detail/nucleoplasm/C10orf71/C10orf71-evaluation.md	scored	168	4983	False	False	Processed
C10orf90	True	FULL_REEVALUATE	True	28	True	detail/nucleoplasm/C10orf90/C10orf90-evaluation.md	scored	176	5419	False	False	Processed
C11orf58	True	FULL_REEVALUATE	True	28	True	detail/nucleoplasm/C11orf58/C11orf58-evaluation.md	scored	176	5652	False	False	Processed
C11orf68	True	FULL_REEVALUATE	True	28	True	detail/nucleoplasm/C11orf68/C11orf68-evaluation.md	scored	170	4750	False	False	Processed
C14orf39	True	FULL_REEVALUATE	True	28	True	detail/nucleoplasm/C14orf39/C14orf39-evaluation.md	scored	173	5200	False	False	Processed
C19orf47	True	FULL_REEVALUATE	True	28	True	detail/nuclear-body/C19orf47/C19orf47-evaluation.md	scored	174	5111	False	False	Processed
C19orf84	True	FULL_REEVALUATE	True	29	True	detail/nucleoplasm/C19orf84/C19orf84-evaluation.md	scored	158	3706	False	False	Processed
C1orf146	True	FULL_REEVALUATE	True	29	True	detail/rejected/C1orf146/C1orf146-evaluation.md	rejected	168	4154	False	False	Processed
C1orf174	True	FULL_REEVALUATE	True	29	True	detail/nucleoplasm/C1orf174/C1orf174-evaluation.md	scored	175	5180	False	False	Processed
C1orf21	True	FULL_REEVALUATE	True	29	True	detail/nucleoplasm/C1orf21/C1orf21-evaluation.md	scored	174	5496	False	False	Processed
C1orf226	True	FULL_REEVALUATE	True	29	True	detail/nucleoplasm/C1orf226/C1orf226-evaluation.md	scored	175	5291	False	False	Processed
C1orf35	True	FULL_REEVALUATE	True	30	True	detail/nuclear-body/C1orf35/C1orf35-evaluation.md	scored	183	5951	False	False	Processed
C1orf52	True	FULL_REEVALUATE	True	30	True	detail/nucleoplasm/C1orf52/C1orf52-evaluation.md	scored	172	4727	False	False	Processed
C2CD4A	True	FULL_REEVALUATE	True	30	True	detail/nucleolus/C2CD4A/C2CD4A-evaluation.md	scored	179	5930	False	False	Processed
C2CD4B	True	FULL_REEVALUATE	True	30	True	detail/nucleoplasm/C2CD4B/C2CD4B-evaluation.md	scored	177	5788	False	False	Processed
C6orf52	True	FULL_REEVALUATE	True	30	True	detail/nuclear-body/C6orf52/C6orf52-evaluation.md	scored	166	4334	False	False	Processed
C6orf89	True	FULL_REEVALUATE	True	31	True	detail/nucleolus/C6orf89/C6orf89-evaluation.md	scored	171	5312	False	False	Processed
C7orf25	True	FULL_REEVALUATE	True	31	True	detail/nucleoplasm/C7orf25/C7orf25-evaluation.md	scored	175	5308	False	False	Processed
C8orf34	True	FULL_REEVALUATE	True	31	True	detail/nucleoplasm/C8orf34/C8orf34-evaluation.md	scored	172	5093	False	False	Processed
C8orf48	True	FULL_REEVALUATE	True	31	True	detail/nucleoplasm/C8orf48/C8orf48-evaluation.md	scored	173	4957	False	False	Processed
C8orf58	True	FULL_REEVALUATE	True	31	True	detail/nuclear-body/C8orf58/C8orf58-evaluation.md	scored	165	4323	False	False	Processed
C8orf76	True	FULL_REEVALUATE	True	32	True	detail/nucleoplasm/C8orf76/C8orf76-evaluation.md	scored	177	5688	False	False	Processed
CABCOCO1	True	FULL_REEVALUATE	True	32	True	detail/nucleoplasm/CABCOCO1/CABCOCO1-evaluation.md	scored	180	5621	False	False	Processed
CACNA1D	True	FULL_REEVALUATE	True	32	True	detail/rejected/CACNA1D/CACNA1D-evaluation.md	rejected	185	5977	False	False	Processed
CACUL1	True	FULL_REEVALUATE	True	32	True	detail/nucleoplasm/CACUL1/CACUL1-evaluation.md	scored	177	5724	False	False	Processed
CADPS2	True	FULL_REEVALUATE	True	32	True	detail/nucleoplasm/CADPS2/CADPS2-evaluation.md	scored	182	5961	False	False	Processed
CAMK2N2	True	FULL_REEVALUATE	True	33	True	detail/nucleoplasm/CAMK2N2/CAMK2N2-evaluation.md	scored	171	4995	False	False	Processed
CAMKK1	True	FULL_REEVALUATE	True	33	True	detail/nucleoplasm/CAMKK1/CAMKK1-evaluation.md	scored	184	6035	False	False	Processed
CAMLG	True	FULL_REEVALUATE	True	33	True	detail/nucleoplasm/CAMLG/CAMLG-evaluation.md	scored	186	6048	False	False	Processed
CAND2	True	FULL_REEVALUATE	True	33	True	detail/nuclear-body/CAND2/CAND2-evaluation.md	scored	183	5789	False	False	Processed
CAPS2	True	FULL_REEVALUATE	True	33	True	detail/nucleolus/CAPS2/CAPS2-evaluation.md	scored	196	5895	False	False	Processed
CARD8	True	FULL_REEVALUATE	True	34	True	detail/rejected/CARD8/CARD8-evaluation.md	rejected	183	5950	False	False	Processed
CARF	True	FULL_REEVALUATE	True	34	True	detail/rejected/CARF/CARF-evaluation.md	rejected	177	5557	False	False	Processed
CASD1	True	FULL_REEVALUATE	True	34	True	detail/nucleoplasm/CASD1/CASD1-evaluation.md	scored	187	4672	False	False	Processed
CASKIN1	True	FULL_REEVALUATE	True	34	True	detail/nucleus-cytoplasm/CASKIN1/CASKIN1-evaluation.md	scored	200	5773	False	False	Processed
CBLC	True	FULL_REEVALUATE	True	34	True	detail/rejected/CBLC/CBLC-evaluation.md	rejected	178	5724	False	False	Processed
CBR3	True	FULL_REEVALUATE	True	35	True	detail/nucleus-cytoplasm/CBR3/CBR3-evaluation.md	scored	200	5527	False	False	Processed
CC2D1B	True	FULL_REEVALUATE	True	35	True	detail/nucleoplasm/CC2D1B/CC2D1B-evaluation.md	scored	201	5640	False	False	Processed
CCDC110	True	FULL_REEVALUATE	True	35	True	detail/nucleus-cytoplasm/CCDC110/CCDC110-evaluation.md	scored	193	5126	False	False	Processed
CCDC112	True	FULL_REEVALUATE	True	35	True	detail/nucleus-cytoplasm/CCDC112/CCDC112-evaluation.md	scored	195	5554	False	False	Processed
CCDC117	True	FULL_REEVALUATE	True	35	True	detail/nucleus-cytoplasm/CCDC117/CCDC117-evaluation.md	scored	198	5670	False	False	Processed
CCDC12	True	FULL_REEVALUATE	True	36	True	detail/nucleoplasm/CCDC12/CCDC12-evaluation.md	scored	199	5681	False	False	Processed
CCDC122	True	FULL_REEVALUATE	True	36	True	detail/nucleoplasm/CCDC122/CCDC122-evaluation.md	scored	194	5284	False	False	Processed
CCDC141	True	FULL_REEVALUATE	True	36	True	detail/nucleus-cytoplasm/CCDC141/CCDC141-evaluation.md	scored	197	5312	False	False	Processed
CCDC148	True	FULL_REEVALUATE	True	36	True	detail/nucleolus/CCDC148/CCDC148-evaluation.md	scored	193	5105	False	False	Processed
CCDC159	True	FULL_REEVALUATE	True	36	True	detail/nucleus-cytoplasm/CCDC159/CCDC159-evaluation.md	scored	183	4398	False	False	Processed
CCDC169	True	FULL_REEVALUATE	True	37	True	detail/nuclear-speckle/CCDC169/CCDC169-evaluation.md	scored	184	4151	False	False	Processed
CCDC39	True	FULL_REEVALUATE	True	37	True	detail/nucleus-cytoplasm/CCDC39/CCDC39-evaluation.md	scored	200	5517	False	False	Processed
CCDC59	True	FULL_REEVALUATE	True	37	True	detail/nucleolus/CCDC59/CCDC59-evaluation.md	scored	196	5591	False	False	Processed
CCDC61	True	FULL_REEVALUATE	True	37	True	detail/nucleus-cytoplasm/CCDC61/CCDC61-evaluation.md	scored	200	5830	False	False	Processed
CCDC74A	True	FULL_REEVALUATE	True	37	True	detail/nucleus-cytoplasm/CCDC74A/CCDC74A-evaluation.md	scored	192	4693	False	False	Processed
