gene	category	status	lines	chars	risk	missing_fields	issues	has_packet_error	has_template	has_hpa	has_pubmed	has_alphafold	has_pdb	has_ppi	has_literature
ANKRD34B	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANKRD36	rejected	rejected	11	190	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANKRD36B	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANKRD37	rejected	rejected	11	190	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANKRD54	rejected	rejected	11	190	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANKS1A	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANKS1B	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANKS3	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANKS4B	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANKS6	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANXA11	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANXA13	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANXA5	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ANXA9	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
AOPEP	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
AP3B1	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
AP5B1	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
APBA1	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
APBB3	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
APIP	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
APLF	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARFGAP1	rejected	rejected	11	190	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARFIP2	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARID4A	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARIH1	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARIH2	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARK2N	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARL14EP	rejected	rejected	11	190	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARL2BP	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARL6	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARMC8	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARMCX4	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ARMCX5	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ASAP3	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ASB7	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ASCL3	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ASCL5	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ASRGL1	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ASZ1	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ATG10	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ATG2A	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ATOX1	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ATXN3L	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
ATXN7L3B	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
AUNIP	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
AUP1	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
B4GALNT4	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
B9D1	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BABAM1	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BABAM2	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BACC1	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BAG5	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BBS9	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BCAS3	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BCDIN3D	rejected	rejected	11	190	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BCL7C	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BCLAF3	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BEAN1	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BEGAIN	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BEND4	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BEND5	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BET1L	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BEX4	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BICD2	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BICRA	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BICRAL	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BIRC7	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BLCAP	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BLMH	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BLTP3B	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BLVRB	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BMP2K	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BMS1	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BNIP2	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BOD1	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BOD1L1	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BOLA2	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BPNT1	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BPNT2	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BRCC3	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BRI3	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BRIX1	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BRK1	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BRME1	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BROX	rejected	rejected	11	184	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BRPF3	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BSPRY	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BTBD1	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BTBD18	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BTBD3	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BTF3L4	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
BTNL9	rejected	rejected	11	186	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C10orf71	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C10orf90	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C11orf58	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C11orf68	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C14orf39	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C19orf47	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C19orf84	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C1orf146	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C1orf174	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C1orf21	rejected	rejected	11	190	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C1orf226	rejected	rejected	11	192	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C1orf35	rejected	rejected	11	190	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C1orf52	rejected	rejected	11	190	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C2CD4A	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C2CD4B	rejected	rejected	11	188	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
C6orf52	rejected	rejected	11	190	CRITICAL	HPA,PubMed,AlphaFold,PDB,PPI,Literature	THIN,SHORT_REJECTED	False	False	False	False	False	False	False	False
