gene	path	status	lines	source	report_claim	evidence_exists	evidence_type	evidence_path_or_source	embedded_in_report	mismatch_type	severity	recommended_action	needs_download	needs_embed	needs_report_text_fix	needs_manual_review	reason
CALML6	detail/nucleus-cytoplasm/CALML6/CALML6-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
ANKLE1	detail/nucleus-cytoplasm/ANKLE1/ANKLE1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SFR1	detail/nucleus-cytoplasm/SFR1/SFR1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SOX30	detail/nucleus-cytoplasm/SOX30/SOX30-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TRA2A	detail/nucleus-cytoplasm/TRA2A/TRA2A-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SIPA1L2	detail/nucleus-cytoplasm/SIPA1L2/SIPA1L2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SFMBT2	detail/nucleus-cytoplasm/SFMBT2/SFMBT2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
CEP162	detail/nucleus-cytoplasm/CEP162/CEP162-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
VAX2	detail/nucleus-cytoplasm/VAX2/VAX2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TSC22D4	detail/nucleus-cytoplasm/TSC22D4/TSC22D4-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TRMT1	detail/nucleus-cytoplasm/TRMT1/TRMT1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
POU5F1B	detail/nucleus-cytoplasm/POU5F1B/POU5F1B-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
S100PBP	detail/nucleus-cytoplasm/S100PBP/S100PBP-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SAPCD2	detail/nucleus-cytoplasm/SAPCD2/SAPCD2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
UNC45A	detail/nucleus-cytoplasm/UNC45A/UNC45A-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TENT4A	detail/nucleus-cytoplasm/TENT4A/TENT4A-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TCERG1	detail/nucleus-cytoplasm/TCERG1/TCERG1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
RBP7	detail/nucleus-cytoplasm/RBP7/RBP7-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
VXN	detail/nucleus-cytoplasm/VXN/VXN-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SUPT4H1	detail/nucleus-cytoplasm/SUPT4H1/SUPT4H1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
CAMK1	detail/nucleus-cytoplasm/CAMK1/CAMK1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TASL	detail/nucleus-cytoplasm/TASL/TASL-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
THEMIS2	detail/nucleus-cytoplasm/THEMIS2/THEMIS2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TFDP2	detail/nucleus-cytoplasm/TFDP2/TFDP2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
PLCB3	detail/nucleus-cytoplasm/PLCB3/PLCB3-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SOHLH1	detail/nucleus-cytoplasm/SOHLH1/SOHLH1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
CDIP1	detail/nucleus-cytoplasm/CDIP1/CDIP1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SDE2	detail/nucleus-cytoplasm/SDE2/SDE2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
THUMPD2	detail/nucleus-cytoplasm/THUMPD2/THUMPD2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
RARS1	detail/nucleus-cytoplasm/RARS1/RARS1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TENT5C	detail/nucleus-cytoplasm/TENT5C/TENT5C-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
RTCB	detail/nucleus-cytoplasm/RTCB/RTCB-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TFIP11	detail/nucleus-cytoplasm/TFIP11/TFIP11-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SNIP1	detail/nucleus-cytoplasm/SNIP1/SNIP1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SLF1	detail/nucleus-cytoplasm/SLF1/SLF1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
OTUD3	detail/nucleus-cytoplasm/OTUD3/OTUD3-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
OTUD4	detail/nucleus-cytoplasm/OTUD4/OTUD4-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
VGLL1	detail/nucleus-cytoplasm/VGLL1/VGLL1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SAFB2	detail/nucleus-cytoplasm/SAFB2/SAFB2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TMF1	detail/nucleus-cytoplasm/TMF1/TMF1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SPECC1	detail/nucleus-cytoplasm/SPECC1/SPECC1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
PYGO1	detail/nucleus-cytoplasm/PYGO1/PYGO1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
OSGEP	detail/nucleus-cytoplasm/OSGEP/OSGEP-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TRUB1	detail/nucleus-cytoplasm/TRUB1/TRUB1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
ONECUT3	detail/nucleus-cytoplasm/ONECUT3/ONECUT3-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
PPM1G	detail/nucleus-cytoplasm/PPM1G/PPM1G-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
STOX2	detail/nucleus-cytoplasm/STOX2/STOX2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TICRR	detail/nucleus-cytoplasm/TICRR/TICRR-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SNUPN	detail/nucleus-cytoplasm/SNUPN/SNUPN-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TRMT112	detail/nucleus-cytoplasm/TRMT112/TRMT112-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
ACAP3	detail/rejected/ACAP3/ACAP3-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
BTBD6	detail/rejected/BTBD6/BTBD6-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
BTBD9	detail/rejected/BTBD9/BTBD9-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
DENND4A	detail/rejected/DENND4A/DENND4A-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
ARL17B	detail/rejected/ARL17B/ARL17B-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
DYNC1LI1	detail/rejected/DYNC1LI1/DYNC1LI1-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
ARFIP1	detail/rejected/ARFIP1/ARFIP1-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
DMPK	detail/rejected/DMPK/DMPK-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
DEPDC7	detail/rejected/DEPDC7/DEPDC7-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
AVPI1	detail/rejected/AVPI1/AVPI1-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
BCLAF1	detail/rejected/BCLAF1/BCLAF1-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
FLII	detail/rejected/FLII/FLII-evaluation.md	rejected	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
NKRF	detail/nucleolus/NKRF/NKRF-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TONSL	detail/nucleolus/TONSL/TONSL-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
IQGAP3	detail/nucleolus/IQGAP3/IQGAP3-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TEX10	detail/nucleolus/TEX10/TEX10-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
MFAP1	detail/nucleolus/MFAP1/MFAP1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
RABGEF1	detail/nucleolus/RABGEF1/RABGEF1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
CHTOP	detail/nucleolus/CHTOP/CHTOP-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
PPID	detail/nucleolus/PPID/PPID-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TSEN54	detail/nucleolus/TSEN54/TSEN54-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
PWP1	detail/nucleolus/PWP1/PWP1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
LYAR	detail/nucleolus/LYAR/LYAR-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
MYEOV	detail/nucleolus/MYEOV/MYEOV-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
PHC2	detail/nucleolus/PHC2/PHC2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
PELI2	detail/nucleolus/PELI2/PELI2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TENT4B	detail/nucleolus/TENT4B/TENT4B-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SREK1IP1	detail/nucleolus/SREK1IP1/SREK1IP1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
NSUN5	detail/nucleolus/NSUN5/NSUN5-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
P3H3	detail/nucleolus/P3H3/P3H3-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
RCL1	detail/nucleolus/RCL1/RCL1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
HMGXB3	detail/nucleolus/HMGXB3/HMGXB3-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
FAM32A	detail/nucleolus/FAM32A/FAM32A-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TEX2	detail/nucleolus/TEX2/TEX2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
GNL3	detail/nucleolus/GNL3/GNL3-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TRMT1L	detail/nucleolus/TRMT1L/TRMT1L-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
SUPT3H	detail/nucleolus/SUPT3H/SUPT3H-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
PPDPF	detail/nucleolus/PPDPF/PPDPF-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
NOC2L	detail/nucleolus/NOC2L/NOC2L-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
PHF21B	detail/nucleolus/PHF21B/PHF21B-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
RIN2	detail/nucleolus/RIN2/RIN2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
ARL4A	detail/nucleolus/ARL4A/ARL4A-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
FOXI1	detail/nucleolus/FOXI1/FOXI1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
PCTP	detail/nucleolus/PCTP/PCTP-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
