gene	batch_id	current_path	current_status	current_lines	current_chars	was_in_recovery_master_queue	was_processed	was_committed	qa_pass	qa_fail_reason	old_status	new_status	old_score	new_score	needs_reharvest	harvest_completed	has_hpa	has_uniprot_go	has_pubmed_strict_broad	has_alphafold_plddt_pae	has_pdb_or_no_pdb_explanation	has_ppi	has_scoring_table	has_final_decision_reason	has_manual_review_note	has_forbidden_placeholders	has_packet_error_conclusion	has_one_line_no_nuclear_rejection	completion_status	reason
MOCS2	3	detail/nuclear-speckle/MOCS2/MOCS2-evaluation.md	scored	200	6409	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=200 qa=False pkt=True
MON2	3	detail/nucleolus/MON2/MON2-evaluation.md	scored	197	6274	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=197 qa=False pkt=True
MORN2	4	detail/nucleoplasm/MORN2/MORN2-evaluation.md	scored	171	5328	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=171 qa=False pkt=True
MOSPD1	4	detail/nucleoplasm/MOSPD1/MOSPD1-evaluation.md	scored	172	5054	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=172 qa=False pkt=True
MPHOSPH6	4	detail/nucleolus/MPHOSPH6/MPHOSPH6-evaluation.md	scored	181	5701	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=181 qa=False pkt=True
MPHOSPH9	4	detail/nucleoplasm/MPHOSPH9/MPHOSPH9-evaluation.md	scored	180	5889	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=180 qa=False pkt=True
MPND	4	detail/nucleoplasm/MPND/MPND-evaluation.md	scored	177	5661	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=177 qa=False pkt=True
MPPE1	5	detail/nucleoplasm/MPPE1/MPPE1-evaluation.md	scored	179	6118	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=179 qa=False pkt=True
MRFAP1	5	detail/nucleoplasm/MRFAP1/MRFAP1-evaluation.md	scored	177	5671	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	True	False	False	False	COMPLETE_PASS	lines=177 qa=False pkt=True
MRGBP	5	detail/nucleoplasm/MRGBP/MRGBP-evaluation.md	scored	179	5510	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=179 qa=False pkt=True
MRI1	5	detail/nucleolus/MRI1/MRI1-evaluation.md	scored	180	6029	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=180 qa=False pkt=True
MRPL44	5	detail/rejected/MRPL44/MRPL44-evaluation.md	rejected	11	188	True	True	False	False		rejected	rejected	?	?	False	True	False	False	False	False	False	False	False	True	False	False	False	False	INCOMPLETE_SHORT_REPORT	lines=11 qa=False pkt=True
MS4A12	6	detail/nucleoplasm/MS4A12/MS4A12-evaluation.md	scored	175	5444	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=175 qa=False pkt=True
MSANTD1	6	detail/nuclear-speckle/MSANTD1/MSANTD1-evaluation.md	scored	165	4507	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=165 qa=False pkt=True
MSANTD3	6	detail/nuclear-speckle/MSANTD3/MSANTD3-evaluation.md	scored	175	5493	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=175 qa=False pkt=True
MSANTD4	6	detail/nucleoplasm/MSANTD4/MSANTD4-evaluation.md	scored	173	4961	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=173 qa=False pkt=True
MSRB1	6	detail/nucleoplasm/MSRB1/MSRB1-evaluation.md	scored	174	5021	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=174 qa=False pkt=True
MTHFSD	7	detail/nucleoplasm/MTHFSD/MTHFSD-evaluation.md	scored	174	5424	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=174 qa=False pkt=True
MTMR10	7	detail/nuclear-speckle/MTMR10/MTMR10-evaluation.md	scored	179	5841	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=179 qa=False pkt=True
MTMR7	7	detail/nucleoplasm/MTMR7/MTMR7-evaluation.md	scored	180	5597	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=180 qa=False pkt=True
MTMR8	7	detail/nuclear-envelope/MTMR8/MTMR8-evaluation.md	scored	180	5672	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=180 qa=False pkt=True
MTPN	7	detail/nucleoplasm/MTPN/MTPN-evaluation.md	scored	181	5703	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=181 qa=False pkt=True
MTUS1	8	detail/nucleolus/MTUS1/MTUS1-evaluation.md	scored	184	6079	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=184 qa=False pkt=True
MYBPH	8	detail/nucleoplasm/MYBPH/MYBPH-evaluation.md	scored	176	5393	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=176 qa=False pkt=True
MYCBP2	8	detail/nucleoplasm/MYCBP2/MYCBP2-evaluation.md	scored	184	5893	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=184 qa=False pkt=True
MYG1	8	detail/nucleolus/MYG1/MYG1-evaluation.md	scored	182	5696	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=182 qa=False pkt=True
MYOZ1	8	detail/nucleoplasm/MYOZ1/MYOZ1-evaluation.md	scored	180	5631	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=180 qa=False pkt=True
MYOZ2	9	detail/nucleoplasm/MYOZ2/MYOZ2-evaluation.md	scored	179	5416	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	True	False	False	False	COMPLETE_PASS	lines=179 qa=False pkt=True
MYPN	9	detail/nucleoplasm/MYPN/MYPN-evaluation.md	scored	183	5802	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=183 qa=False pkt=True
MYRFL	9	detail/nucleoplasm/MYRFL/MYRFL-evaluation.md	scored	160	3998	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=160 qa=False pkt=True
MYRIP	9	detail/nucleolus/MYRIP/MYRIP-evaluation.md	scored	182	5695	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=182 qa=False pkt=True
Mfap1a	9	detail/rejected/Mfap1a/Mfap1a-evaluation.md	rejected	155	3407	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=155 qa=False pkt=True
Mndal	10	detail/rejected/Mndal/Mndal-evaluation.md	rejected	159	4235	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=159 qa=False pkt=True
Mplkip	10	detail/nucleoplasm/Mplkip/Mplkip-evaluation.md	scored	182	5947	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=182 qa=False pkt=True
Mycs	10	detail/rejected/Mycs/Mycs-evaluation.md	rejected	164	3926	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=164 qa=False pkt=True
N4BP2	10	detail/nucleoplasm/N4BP2/N4BP2-evaluation.md	scored	177	5864	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=177 qa=False pkt=True
N4BP2L2	10	detail/nucleoplasm/N4BP2L2/N4BP2L2-evaluation.md	scored	179	5779	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=179 qa=False pkt=True
N4BP3	11	detail/rejected/N4BP3/N4BP3-evaluation.md	rejected	168	4844	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=168 qa=False pkt=True
NAA30	11	detail/rejected/NAA30/NAA30-evaluation.md	rejected	168	4759	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=168 qa=False pkt=True
NAA40	11	detail/nucleoplasm/NAA40/NAA40-evaluation.md	scored	180	5913	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=180 qa=False pkt=True
NABP1	11	detail/rejected/NABP1/NABP1-evaluation.md	rejected	168	4683	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=168 qa=False pkt=True
NABP2	11	detail/nucleoplasm/NABP2/NABP2-evaluation.md	scored	173	5552	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=173 qa=False pkt=True
NACA2	12	detail/nucleoplasm/NACA2/NACA2-evaluation.md	scored	172	5062	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=172 qa=False pkt=True
NADK	12	detail/nucleoplasm/NADK/NADK-evaluation.md	scored	177	5345	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	True	False	False	False	COMPLETE_PASS	lines=177 qa=False pkt=True
NAIF1	12	detail/nucleoplasm/NAIF1/NAIF1-evaluation.md	scored	178	5474	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=178 qa=False pkt=True
NANP	12	detail/rejected/NANP/NANP-evaluation.md	rejected	177	5632	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=177 qa=False pkt=True
NAP1L3	12	detail/nucleoplasm/NAP1L3/NAP1L3-evaluation.md	scored	178	5651	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=178 qa=False pkt=True
NAPEPLD	13	detail/rejected/NAPEPLD/NAPEPLD-evaluation.md	rejected	177	5532	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=177 qa=False pkt=True
NARF	13	detail/nucleolus/NARF/NARF-evaluation.md	scored	181	5709	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=181 qa=False pkt=True
NAT16	13	detail/nucleoplasm/NAT16/NAT16-evaluation.md	scored	169	5246	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=169 qa=False pkt=True
NAV2	13	detail/nucleoplasm/NAV2/NAV2-evaluation.md	scored	178	5664	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=178 qa=False pkt=True
NAV3	13	detail/nuclear-envelope/NAV3/NAV3-evaluation.md	scored	178	5724	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=178 qa=False pkt=True
NBEAL1	14	detail/nucleoplasm/NBEAL1/NBEAL1-evaluation.md	scored	178	5789	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=178 qa=False pkt=True
NBPF3	14	detail/nuclear-speckle/NBPF3/NBPF3-evaluation.md	scored	171	5096	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	True	False	False	False	COMPLETE_PASS	lines=171 qa=False pkt=True
NCBP3	14	detail/nuclear-speckle/NCBP3/NCBP3-evaluation.md	scored	181	5483	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=181 qa=False pkt=True
NCK1	14	detail/rejected/NCK1/NCK1-evaluation.md	rejected	184	5992	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=184 qa=False pkt=True
NCKAP5	14	detail/nucleoplasm/NCKAP5/NCKAP5-evaluation.md	scored	171	5380	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=171 qa=False pkt=True
NCKIPSD	15	detail/nucleoplasm/NCKIPSD/NCKIPSD-evaluation.md	scored	182	5967	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=182 qa=False pkt=True
NCLN	15	detail/nucleoplasm/NCLN/NCLN-evaluation.md	scored	180	5693	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=180 qa=False pkt=True
NDEL1	15	detail/rejected/NDEL1/NDEL1-evaluation.md	rejected	184	5888	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=184 qa=False pkt=True
NEDD1	15	detail/nucleolus/NEDD1/NEDD1-evaluation.md	scored	184	5873	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=184 qa=False pkt=True
NEK1	15	detail/rejected/NEK1/NEK1-evaluation.md	rejected	184	5907	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=184 qa=False pkt=True
NEK10	16	detail/nucleoplasm/NEK10/NEK10-evaluation.md	scored	178	5277	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=178 qa=False pkt=True
NEK11	16	detail/nucleolus/NEK11/NEK11-evaluation.md	scored	179	5449	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=179 qa=False pkt=True
NEK5	16	detail/nucleoplasm/NEK5/NEK5-evaluation.md	scored	169	5148	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=169 qa=False pkt=True
NEK9	16	detail/nucleoplasm/NEK9/NEK9-evaluation.md	scored	178	5659	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=178 qa=False pkt=True
NEMF	16	detail/nuclear-speckle/NEMF/NEMF-evaluation.md	scored	180	5775	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=180 qa=False pkt=True
NEXMIF	17	detail/nucleoplasm/NEXMIF/NEXMIF-evaluation.md	scored	165	4663	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	True	False	False	False	COMPLETE_PASS	lines=165 qa=False pkt=True
NFATC2IP	17	detail/nucleoplasm/NFATC2IP/NFATC2IP-evaluation.md	scored	173	5536	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=173 qa=False pkt=True
NFKBIL1	17	detail/nucleoplasm/NFKBIL1/NFKBIL1-evaluation.md	scored	172	5439	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=172 qa=False pkt=True
NFU1	17	detail/nucleoplasm/NFU1/NFU1-evaluation.md	scored	185	5795	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=185 qa=False pkt=True
NGDN	17	detail/nucleolus/NGDN/NGDN-evaluation.md	scored	177	5821	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=177 qa=False pkt=True
NHEJ1	18	detail/nucleolus/NHEJ1/NHEJ1-evaluation.md	scored	173	5568	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	True	False	False	False	COMPLETE_PASS	lines=173 qa=False pkt=True
NHLRC1	18	detail/nucleoplasm/NHLRC1/NHLRC1-evaluation.md	scored	183	5725	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=183 qa=False pkt=True
NHLRC2	18	detail/nucleoplasm/NHLRC2/NHLRC2-evaluation.md	scored	183	5740	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=183 qa=False pkt=True
NHSL1	18	detail/nuclear-envelope/NHSL1/NHSL1-evaluation.md	scored	180	5709	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=180 qa=False pkt=True
NHSL3	18	detail/rejected/NHSL3/NHSL3-evaluation.md	rejected	167	4600	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=167 qa=False pkt=True
NIF3L1	19	detail/nucleoplasm/NIF3L1/NIF3L1-evaluation.md	scored	173	5475	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=173 qa=False pkt=True
NIPAL3	19	detail/nucleoplasm/NIPAL3/NIPAL3-evaluation.md	scored	168	4929	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=168 qa=False pkt=True
NKIRAS2	19	detail/nucleoplasm/NKIRAS2/NKIRAS2-evaluation.md	scored	171	5462	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=171 qa=False pkt=True
NLE1	19	detail/nucleolus/NLE1/NLE1-evaluation.md	scored	173	5805	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=173 qa=False pkt=True
NME7	19	detail/nucleoplasm/NME7/NME7-evaluation.md	scored	186	5962	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=186 qa=False pkt=True
NME8	20	detail/rejected/NME8/NME8-evaluation.md	rejected	11	184	True	True	False	False		rejected	rejected	?	?	False	True	False	False	False	False	False	False	False	True	False	False	False	False	INCOMPLETE_SHORT_REPORT	lines=11 qa=False pkt=True
NMRK1	20	detail/nucleoplasm/NMRK1/NMRK1-evaluation.md	scored	177	5578	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=177 qa=False pkt=True
NMRK2	20	detail/nucleoplasm/NMRK2/NMRK2-evaluation.md	scored	176	5098	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=176 qa=False pkt=True
NOC3L	20	detail/rejected/NOC3L/NOC3L-evaluation.md	rejected	11	186	True	True	False	False		rejected	rejected	?	?	False	True	False	False	False	False	False	False	False	True	False	False	False	False	INCOMPLETE_SHORT_REPORT	lines=11 qa=False pkt=True
NOM1	20	detail/nucleolus/NOM1/NOM1-evaluation.md	scored	180	5585	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=180 qa=False pkt=True
