gene	file_count	paths	statuses	categories	canonical_path	stale_paths	action	reason	in_pilot
ARL2	2	detail/nucleoplasm/ARL2/ARL2-evaluation.md, detail/rejected/ARL2/ARL2-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/ARL2/ARL2-evaluation.md	detail/rejected/ARL2/ARL2-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
ARL3	2	detail/nucleoplasm/ARL3/ARL3-evaluation.md, detail/rejected/ARL3/ARL3-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/ARL3/ARL3-evaluation.md	detail/rejected/ARL3/ARL3-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
BBX	2	detail/nucleoplasm/BBX/BBX-evaluation.md, detail/rejected/BBX/BBX-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/BBX/BBX-evaluation.md	detail/rejected/BBX/BBX-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
CASC3	2	detail/nuclear-speckle/CASC3/CASC3-evaluation.md, detail/nucleus-cytoplasm/CASC3/CASC3-evaluation.md	scored, scored	nuclear-speckle, nucleus-cytoplasm	detail/nucleus-cytoplasm/CASC3/CASC3-evaluation.md	detail/nuclear-speckle/CASC3/CASC3-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5431c)	False
CCAR1	2	detail/nucleoplasm/CCAR1/CCAR1-evaluation.md, detail/nucleus-cytoplasm/CCAR1/CCAR1-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CCAR1/CCAR1-evaluation.md	detail/nucleus-cytoplasm/CCAR1/CCAR1-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (6150c)	False
CCDC137	2	detail/chromatin/CCDC137/CCDC137-evaluation.md, detail/nucleoplasm/CCDC137/CCDC137-evaluation.md	scored, scored	chromatin, nucleoplasm	detail/nucleoplasm/CCDC137/CCDC137-evaluation.md	detail/chromatin/CCDC137/CCDC137-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5398c)	False
CCDC85C	2	detail/nuclear-speckle/CCDC85C/CCDC85C-evaluation.md, detail/nucleoplasm/CCDC85C/CCDC85C-evaluation.md	scored, scored	nuclear-speckle, nucleoplasm	detail/nuclear-speckle/CCDC85C/CCDC85C-evaluation.md	detail/nucleoplasm/CCDC85C/CCDC85C-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (8627c)	False
CDAN1	2	detail/nucleoplasm/CDAN1/CDAN1-evaluation.md, detail/nucleus-cytoplasm/CDAN1/CDAN1-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CDAN1/CDAN1-evaluation.md	detail/nucleus-cytoplasm/CDAN1/CDAN1-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5062c)	False
CDC14A	2	detail/nucleoplasm/CDC14A/CDC14A-evaluation.md, detail/nucleus-cytoplasm/CDC14A/CDC14A-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CDC14A/CDC14A-evaluation.md	detail/nucleus-cytoplasm/CDC14A/CDC14A-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5671c)	False
CDX4	2	detail/nucleoplasm/CDX4/CDX4-evaluation.md, detail/nucleus-cytoplasm/CDX4/CDX4-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CDX4/CDX4-evaluation.md	detail/nucleus-cytoplasm/CDX4/CDX4-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (7216c)	False
CEBPG	2	detail/nucleoplasm/CEBPG/CEBPG-evaluation.md, detail/nucleus-cytoplasm/CEBPG/CEBPG-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CEBPG/CEBPG-evaluation.md	detail/nucleus-cytoplasm/CEBPG/CEBPG-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (6151c)	False
CENPH	2	detail/chromatin/CENPH/CENPH-evaluation.md, detail/nucleoplasm/CENPH/CENPH-evaluation.md	scored, scored	chromatin, nucleoplasm	detail/nucleoplasm/CENPH/CENPH-evaluation.md	detail/chromatin/CENPH/CENPH-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5372c)	False
CENPI	2	detail/chromatin/CENPI/CENPI-evaluation.md, detail/nucleoplasm/CENPI/CENPI-evaluation.md	scored, scored	chromatin, nucleoplasm	detail/nucleoplasm/CENPI/CENPI-evaluation.md	detail/chromatin/CENPI/CENPI-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5580c)	False
CENPK	2	detail/chromatin/CENPK/CENPK-evaluation.md, detail/nucleoplasm/CENPK/CENPK-evaluation.md	scored, scored	chromatin, nucleoplasm	detail/nucleoplasm/CENPK/CENPK-evaluation.md	detail/chromatin/CENPK/CENPK-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5567c)	False
CENPM	2	detail/chromatin/CENPM/CENPM-evaluation.md, detail/nucleoplasm/CENPM/CENPM-evaluation.md	scored, scored	chromatin, nucleoplasm	detail/chromatin/CENPM/CENPM-evaluation.md	detail/nucleoplasm/CENPM/CENPM-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (8361c)	False
CENPT	2	detail/chromatin/CENPT/CENPT-evaluation.md, detail/nucleoplasm/CENPT/CENPT-evaluation.md	scored, scored	chromatin, nucleoplasm	detail/nucleoplasm/CENPT/CENPT-evaluation.md	detail/chromatin/CENPT/CENPT-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5275c)	False
CENPU	2	detail/chromatin/CENPU/CENPU-evaluation.md, detail/nucleoplasm/CENPU/CENPU-evaluation.md	scored, scored	chromatin, nucleoplasm	detail/nucleoplasm/CENPU/CENPU-evaluation.md	detail/chromatin/CENPU/CENPU-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5784c)	False
CENPX	2	detail/chromatin/CENPX/CENPX-evaluation.md, detail/nucleoplasm/CENPX/CENPX-evaluation.md	scored, scored	chromatin, nucleoplasm	detail/nucleoplasm/CENPX/CENPX-evaluation.md	detail/chromatin/CENPX/CENPX-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5320c)	False
CHMP1A	2	detail/nucleoplasm/CHMP1A/CHMP1A-evaluation.md, detail/nucleus-cytoplasm/CHMP1A/CHMP1A-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CHMP1A/CHMP1A-evaluation.md	detail/nucleus-cytoplasm/CHMP1A/CHMP1A-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5488c)	False
CHP2	2	detail/nucleoplasm/CHP2/CHP2-evaluation.md, detail/nucleus-cytoplasm/CHP2/CHP2-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CHP2/CHP2-evaluation.md	detail/nucleus-cytoplasm/CHP2/CHP2-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5122c)	False
CIPC	2	detail/nucleoplasm/CIPC/CIPC-evaluation.md, detail/nucleus-cytoplasm/CIPC/CIPC-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CIPC/CIPC-evaluation.md	detail/nucleus-cytoplasm/CIPC/CIPC-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (7739c)	False
CLASP1	2	detail/nucleoplasm/CLASP1/CLASP1-evaluation.md, detail/rejected/CLASP1/CLASP1-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/CLASP1/CLASP1-evaluation.md	detail/rejected/CLASP1/CLASP1-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
CLNS1A	2	detail/nucleoplasm/CLNS1A/CLNS1A-evaluation.md, detail/nucleus-cytoplasm/CLNS1A/CLNS1A-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CLNS1A/CLNS1A-evaluation.md	detail/nucleus-cytoplasm/CLNS1A/CLNS1A-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5680c)	False
CRTC3	2	detail/nucleoplasm/CRTC3/CRTC3-evaluation.md, detail/nucleus-cytoplasm/CRTC3/CRTC3-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CRTC3/CRTC3-evaluation.md	detail/nucleus-cytoplasm/CRTC3/CRTC3-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5343c)	False
CSRP1	2	detail/nucleoplasm/CSRP1/CSRP1-evaluation.md, detail/nucleus-cytoplasm/CSRP1/CSRP1-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleus-cytoplasm/CSRP1/CSRP1-evaluation.md	detail/nucleoplasm/CSRP1/CSRP1-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (7376c)	False
CSRP2	2	detail/nucleoplasm/CSRP2/CSRP2-evaluation.md, detail/nucleus-cytoplasm/CSRP2/CSRP2-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleus-cytoplasm/CSRP2/CSRP2-evaluation.md	detail/nucleoplasm/CSRP2/CSRP2-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (7252c)	False
CSRP3	2	detail/nucleoplasm/CSRP3/CSRP3-evaluation.md, detail/nucleus-cytoplasm/CSRP3/CSRP3-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CSRP3/CSRP3-evaluation.md	detail/nucleus-cytoplasm/CSRP3/CSRP3-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5679c)	False
CSTF2T	2	detail/nucleoplasm/CSTF2T/CSTF2T-evaluation.md, detail/nucleus-cytoplasm/CSTF2T/CSTF2T-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleus-cytoplasm/CSTF2T/CSTF2T-evaluation.md	detail/nucleoplasm/CSTF2T/CSTF2T-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (6850c)	False
CTNNBL1	2	detail/nucleoplasm/CTNNBL1/CTNNBL1-evaluation.md, detail/nucleus-cytoplasm/CTNNBL1/CTNNBL1-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CTNNBL1/CTNNBL1-evaluation.md	detail/nucleus-cytoplasm/CTNNBL1/CTNNBL1-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (7780c)	False
CUTC	2	detail/nucleoplasm/CUTC/CUTC-evaluation.md, detail/nucleus-cytoplasm/CUTC/CUTC-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/CUTC/CUTC-evaluation.md	detail/nucleus-cytoplasm/CUTC/CUTC-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5216c)	False
FOXL1	2	detail/nucleolus/FOXL1/FOXL1-evaluation.md, detail/rejected/FOXL1/FOXL1-evaluation.md	scored, rejected	nucleolus, rejected	detail/nucleolus/FOXL1/FOXL1-evaluation.md	detail/rejected/FOXL1/FOXL1-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
GNAI1	2	detail/nucleolus/GNAI1/GNAI1-evaluation.md, detail/rejected/GNAI1/GNAI1-evaluation.md	scored, rejected	nucleolus, rejected	detail/nucleolus/GNAI1/GNAI1-evaluation.md	detail/rejected/GNAI1/GNAI1-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
HASPIN	2	detail/nucleoplasm/HASPIN/HASPIN-evaluation.md, detail/rejected/HASPIN/HASPIN-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/HASPIN/HASPIN-evaluation.md	detail/rejected/HASPIN/HASPIN-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
HAT1	2	detail/nucleoplasm/HAT1/HAT1-evaluation.md, detail/rejected/HAT1/HAT1-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/HAT1/HAT1-evaluation.md	detail/rejected/HAT1/HAT1-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
HSF4	2	detail/nucleoplasm/HSF4/HSF4-evaluation.md, detail/rejected/HSF4/HSF4-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/HSF4/HSF4-evaluation.md	detail/rejected/HSF4/HSF4-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
MEOX2	2	detail/nucleoplasm/MEOX2/MEOX2-evaluation.md, detail/rejected/MEOX2/MEOX2-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/MEOX2/MEOX2-evaluation.md	detail/rejected/MEOX2/MEOX2-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
NEK6	2	detail/nucleoplasm/NEK6/NEK6-evaluation.md, detail/rejected/NEK6/NEK6-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/NEK6/NEK6-evaluation.md	detail/rejected/NEK6/NEK6-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
PLD4	2	detail/nucleoplasm/PLD4/PLD4-evaluation.md, detail/nucleus-cytoplasm/PLD4/PLD4-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/PLD4/PLD4-evaluation.md	detail/nucleus-cytoplasm/PLD4/PLD4-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (7480c)	False
PLK3	2	detail/nucleolus/PLK3/PLK3-evaluation.md, detail/rejected/PLK3/PLK3-evaluation.md	scored, rejected	nucleolus, rejected	detail/nucleolus/PLK3/PLK3-evaluation.md	detail/rejected/PLK3/PLK3-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
PLK4	2	detail/nucleolus/PLK4/PLK4-evaluation.md, detail/rejected/PLK4/PLK4-evaluation.md	scored, rejected	nucleolus, rejected	detail/nucleolus/PLK4/PLK4-evaluation.md	detail/rejected/PLK4/PLK4-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
PPM1A	2	detail/nucleoplasm/PPM1A/PPM1A-evaluation.md, detail/rejected/PPM1A/PPM1A-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/PPM1A/PPM1A-evaluation.md	detail/rejected/PPM1A/PPM1A-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
PRDM11	2	detail/nucleoplasm/PRDM11/PRDM11-evaluation.md, detail/nucleus-cytoplasm/PRDM11/PRDM11-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/PRDM11/PRDM11-evaluation.md	detail/nucleus-cytoplasm/PRDM11/PRDM11-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (7443c)	False
SEBOX	2	detail/nucleoplasm/SEBOX/SEBOX-evaluation.md, detail/nucleus-cytoplasm/SEBOX/SEBOX-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/SEBOX/SEBOX-evaluation.md	detail/nucleus-cytoplasm/SEBOX/SEBOX-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5927c)	False
SENP2	2	detail/nucleoplasm/SENP2/SENP2-evaluation.md, detail/rejected/SENP2/SENP2-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/SENP2/SENP2-evaluation.md	detail/rejected/SENP2/SENP2-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
SENP3	2	detail/nucleolus/SENP3/SENP3-evaluation.md, detail/rejected/SENP3/SENP3-evaluation.md	scored, rejected	nucleolus, rejected	detail/nucleolus/SENP3/SENP3-evaluation.md	detail/rejected/SENP3/SENP3-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
SMYD2	2	detail/nucleoplasm/SMYD2/SMYD2-evaluation.md, detail/rejected/SMYD2/SMYD2-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/SMYD2/SMYD2-evaluation.md	detail/rejected/SMYD2/SMYD2-evaluation.md	MANUAL_REVIEW	Scored without proper scoring table; needs manual decision	False
UNCX	2	detail/nucleoplasm/UNCX/UNCX-evaluation.md, detail/nucleus-cytoplasm/UNCX/UNCX-evaluation.md	scored, scored	nucleoplasm, nucleus-cytoplasm	detail/nucleoplasm/UNCX/UNCX-evaluation.md	detail/nucleus-cytoplasm/UNCX/UNCX-evaluation.md	KEEP_LARGEST_SCORED_MANUAL_REVIEW_OTHERS	Multiple scored (2) — keeping largest (5274c)	False
