gene	category	status	report_path	mismatch_type	risk	report_claim	actual_evidence	packet_evidence	source_checked	candidates	local_files	action_suggestion	notes
CENPI	chromatin	scored	detail/chromatin/CENPI/CENPI-evaluation.md	PENDING	HIGH	| | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt | — |  **结论**: Nucleus; Chromosome, centromere。CENPI定位于Nucleus，在	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
CENPK	chromatin	scored	detail/chromatin/CENPK/CENPK-evaluation.md	NO_IMAGE	MED	tein Atlas (IF) | HPA 无 IF 图像（no_image_detected） | 未确认 |  **HPA IF 状态**: no_image_detected — HPA 未检测到可用 IF 图像。核定位基于 UniProt + G	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPK	chromatin	scored	detail/chromatin/CENPK/CENPK-evaluation.md	NO_IMAGE	MED	cted） | 未确认 |  **HPA IF 状态**: no_image_detected — HPA 未检测到可用 IF 图像。核定位基于 UniProt + GO-CC。  **结论**: CENPK 核定位证据充分。作为 CENPA-CAD 复	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPK	chromatin	scored	detail/chromatin/CENPK/CENPK-evaluation.md	NO_IF	MED	plasm, inner kinetochore; HPA 无 IF | | 蛋白大小 | 6/10 | ×1 | 6.0 | 269 aa, 31.7 kDa, 中等偏小 | | 研究新颖性 | 6/10 | ×5 | 30.	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPK	chromatin	scored	detail/chromatin/CENPK/CENPK-evaluation.md	NO_IF	MED	 | | Protein Atlas (IF) | HPA 无 IF 图像（no_image_detected） | 未确认 |  **HPA IF 状态**: no_image_detected — HPA 未检测到可用 IF	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPK	chromatin	scored	detail/chromatin/CENPK/CENPK-evaluation.md	NO_IF	MED	las.org/ENSG00000123219-CENPK（无 IF 原图） 	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPL	chromatin	scored	detail/chromatin/CENPL/CENPL-evaluation.md	NO_DATA	MED	 |  **AlphaFold PAE 状态**: PAE 暂无数据（未生成本地图片或未可靠获取），结构判断基于 AlphaFold pLDDT 统计和 8 个 PDB EM 结构。 ![[CENPL-PAE.png]]  pL	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPL	chromatin	scored	detail/chromatin/CENPL/CENPL-evaluation.md	NO_IF	MED	) | 多项证据 | | HPA (IF) | 页面有图像但无 IF 图像 | 无 IF 数据 |  **HPA IF 状态**: IF thumbnail only — HPA 暂无 IF 原图，仅获取到 60x60 缩略图，	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPL	chromatin	scored	detail/chromatin/CENPL/CENPL-evaluation.md	NO_IF	MED	 | HPA (IF) | 页面有图像但无 IF 图像 | 无 IF 数据 |  **HPA IF 状态**: IF thumbnail only — HPA 暂无 IF 原图，仅获取到 60x60 缩略图，不能作为可靠定位证据	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPL	chromatin	scored	detail/chromatin/CENPL/CENPL-evaluation.md	NO_IF	MED	态**: IF thumbnail only — HPA 暂无 IF 原图，仅获取到 60x60 缩略图，不能作为可靠定位证据。核定位基于 UniProt + GO-CC。  **结论**: CENPL 核定位有强大实验证据。作	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPL	chromatin	scored	detail/chromatin/CENPL/CENPL-evaluation.md	NO_IF	MED	proteinatlas.org/search/CENPL（无 IF 图像） 	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPM	chromatin	scored	detail/chromatin/CENPM/CENPM-evaluation.md	NO_IMAGE	MED	ortal | | HPA IF | 暂无 IF 数据 | no_image_detected |  **结论**: CENPM 是着丝粒特异性蛋白，定位于核内着丝粒/动粒 (kinetochore)。作为 CENPA-NAC (nucleosome-a	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPM	chromatin	scored	detail/chromatin/CENPM/CENPM-evaluation.md	NO_IF	MED	S:ComplexPortal | | HPA IF | 暂无 IF 数据 | no_image_detected |  **结论**: CENPM 是着丝粒特异性蛋白，定位于核内着丝粒/动粒 (kinetochore)。作为 	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPU	chromatin	scored	detail/chromatin/CENPU/CENPU-evaluation.md	NO_DATA	HIGH	Prot | | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt | — |  **结论**: Cytoplasm; Nucleus; Chromos	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
CENPU	chromatin	scored	detail/chromatin/CENPU/CENPU-evaluation.md	PENDING	HIGH	| | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt | — |  **结论**: Cytoplasm; Nucleus; Chromosome, centromere, kinet	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
CENPV	chromatin	scored	detail/chromatin/CENPV/CENPV-evaluation.md	NO_DATA	MED	 |  **AlphaFold PAE 状态**: PAE 暂无数据（未生成本地图片或未可靠获取），结构判断基于 AlphaFold pLDDT 统计。 ![[CENPV-PAE.png]]  pLDDT 良好（均值 78.9）	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPV	chromatin	scored	detail/chromatin/CENPV/CENPV-evaluation.md	NO_IF	MED	| 多项实验证据 | | HPA (IF) | 页面有图像但无 IF 图像 | 无 IF 数据 |  **HPA IF 状态**: IF thumbnail only — HPA 暂无 IF 原图，仅获取到 60x60 缩略图，	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPV	chromatin	scored	detail/chromatin/CENPV/CENPV-evaluation.md	NO_IF	MED	 | HPA (IF) | 页面有图像但无 IF 图像 | 无 IF 数据 |  **HPA IF 状态**: IF thumbnail only — HPA 暂无 IF 原图，仅获取到 60x60 缩略图，不能作为可靠定位证据	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPV	chromatin	scored	detail/chromatin/CENPV/CENPV-evaluation.md	NO_IF	MED	态**: IF thumbnail only — HPA 暂无 IF 原图，仅获取到 60x60 缩略图，不能作为可靠定位证据。核定位基于 UniProt + GO-CC。  **结论**: CENPV 核定位证据极为充分且多样	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPV	chromatin	scored	detail/chromatin/CENPV/CENPV-evaluation.md	NO_IF	MED	proteinatlas.org/search/CENPV（无 IF 图像） 	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPX	chromatin	scored	detail/chromatin/CENPX/CENPX-evaluation.md	NO_IMAGE	MED	tein Atlas (IF) | HPA 无 IF 图像（no_image_detected） | 未确认 |  **HPA IF 状态**: no_image_detected — HPA 未检测到可用 IF 图像。核定位基于 UniProt + G	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPX	chromatin	scored	detail/chromatin/CENPX/CENPX-evaluation.md	NO_IMAGE	MED	cted） | 未确认 |  **HPA IF 状态**: no_image_detected — HPA 未检测到可用 IF 图像。核定位基于 UniProt + GO-CC。  **结论**: CENPX 核定位证据非常充分。GO-CC 含 IDA 	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPX	chromatin	scored	detail/chromatin/CENPX/CENPX-evaluation.md	NO_IF	MED	 | | Protein Atlas (IF) | HPA 无 IF 图像（no_image_detected） | 未确认 |  **HPA IF 状态**: no_image_detected — HPA 未检测到可用 IF	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPX	chromatin	scored	detail/chromatin/CENPX/CENPX-evaluation.md	NO_IF	MED	oni anemia 核复合物，证据链多源且高质量。HPA 无 IF 图像，但在 CENPX（81 aa, 9.0 kDa）这样的小蛋白上 HPA 抗体可能难以获得。  #### 3.2 结构与数据源 | 指标 | 数值 | |	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CENPX	chromatin	scored	detail/chromatin/CENPX/CENPX-evaluation.md	NO_IF	MED	las.org/ENSG00000169689-CENPX（无 IF 原图） 	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CSNK1A1	chromatin	scored	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	IF_UNAVAIL	HIGH	ac.uk/intact/  **HPA IF 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=0	, 12 red_green/blue_red_green PAE_URL exists	packet+local	12	0	DOWNLOAD_IF	
CSNK1A1	chromatin	scored	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	NO_IF	MED	F 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=0	, 12 red_green/blue_red_green PAE_URL exists	packet+local	12	0	DOWNLOAD_IF	
IHO1	chromatin	scored	detail/chromatin/IHO1/IHO1-evaluation.md	NO_DATA	HIGH	 | — | | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO | — | | UniProt | Chromosome | — | | 	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
IHO1	chromatin	scored	detail/chromatin/IHO1/IHO1-evaluation.md	PENDING	HIGH	| | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO | — | | UniProt | Chromosome | — | | GO Cellular Component 	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
IHO1	chromatin	scored	detail/chromatin/IHO1/IHO1-evaluation.md	NO_IF	HIGH	白：UniProt Nucleus + GO 支持（HPA 无 IF 数据） | | 蛋白大小 | 10/10 | x1 | 10 | 594 aa，适宜 | | 研究新颖性 | 10/10 | x5 | 50 | PubMed	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
IHO1	chromatin	scored	detail/chromatin/IHO1/IHO1-evaluation.md	NO_IF	HIGH	白：UniProt Nucleus + GO 支持（HPA 无 IF 数据）。GO-CC 支持核定位。HPA 暂无 IF 数据，核定位判断主要基于 UniProt + GO。  #### 3.2 蛋白大小评估  **评价**: 	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
IHO1	chromatin	scored	detail/chromatin/IHO1/IHO1-evaluation.md	NO_IF	HIGH	HPA 无 IF 数据）。GO-CC 支持核定位。HPA 暂无 IF 数据，核定位判断主要基于 UniProt + GO。  #### 3.2 蛋白大小评估  **评价**: 594 aa (~65.3 kDa)，适合常规生化实	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
IHO1	chromatin	scored	detail/chromatin/IHO1/IHO1-evaluation.md	NO_IF	HIGH	白：UniProt Nucleus + GO 支持（HPA 无 IF 数据） 3. 新颖蛋白基线 (6/10)  **风险/不确定性**: 1. HPA IF 数据缺失，核定位待实验验证 2. PPI 数据有限，调控网络待探索 	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
JADE1	chromatin	scored	detail/chromatin/JADE1/JADE1-evaluation.md	NO_DATA	HIGH	 | — | | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO | — | | UniProt | Nucleus | Chromosom	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
JADE1	chromatin	scored	detail/chromatin/JADE1/JADE1-evaluation.md	PENDING	HIGH	| | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO | — | | UniProt | Nucleus | Chromosome | Cytoplasm | Cytopl	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
JADE1	chromatin	scored	detail/chromatin/JADE1/JADE1-evaluation.md	NO_IF	HIGH	。UniProt 明确标注 Nucleus 定位。HPA 暂无 IF 数据，核定位判断主要基于 UniProt + GO。  #### 3.2 蛋白大小评估  **评价**: 842 aa (~92.6 kDa)，大小偏大，可能	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
LRWD1	chromatin	scored	detail/chromatin/LRWD1/LRWD1-evaluation.md	NO_DATA	HIGH	 | — | | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO 注释 | — |   **结论**: LRWD1 Nucleus(ECO:	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
LRWD1	chromatin	scored	detail/chromatin/LRWD1/LRWD1-evaluation.md	PENDING	HIGH	| | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO 注释 | — |   **结论**: LRWD1 Nucleus(ECO:0000269); Centromere; 	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
MACROH2A2	chromatin	scored	detail/chromatin/MACROH2A2/MACROH2A2-evaluation.md	NO_DATA	HIGH	 | — | | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO（7项染色质/核GO-CC注释） | — | | UniProt | Nuc	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
MACROH2A2	chromatin	scored	detail/chromatin/MACROH2A2/MACROH2A2-evaluation.md	PENDING	HIGH	| | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO（7项染色质/核GO-CC注释） | — | | UniProt | Nucleus + Chromosome (Uni	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
NAP1L1	chromatin	scored	detail/chromatin/NAP1L1/NAP1L1-evaluation.md	IF_UNAVAIL	HIGH	187109-NAP1L1  **HPA IF 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=0	HPA has 1 IF thumbnails PAE_URL exists	packet+local	1	0	DOWNLOAD_IF	
NAP1L1	chromatin	scored	detail/chromatin/NAP1L1/NAP1L1-evaluation.md	NO_IF	MED	F 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=0	HPA has 1 IF thumbnails PAE_URL exists	packet+local	1	0	DOWNLOAD_IF	
NAP1L4	chromatin	scored	detail/chromatin/NAP1L4/NAP1L4-evaluation.md	IF_UNAVAIL	HIGH	205531-NAP1L4  **HPA IF 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=0	HPA has 1 IF thumbnails, 12 red_green/blue_red_green PAE_URL exists	packet+local	12	0	DOWNLOAD_IF	
NAP1L4	chromatin	scored	detail/chromatin/NAP1L4/NAP1L4-evaluation.md	NO_IF	MED	F 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=0	HPA has 1 IF thumbnails, 12 red_green/blue_red_green PAE_URL exists	packet+local	12	0	DOWNLOAD_IF	
NCAPD2	chromatin	scored	detail/chromatin/NCAPD2/NCAPD2-evaluation.md	IF_UNAVAIL	HIGH	**推荐等级**: 3/5  **HPA IF 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=1	HPA has 1 IF thumbnails, 32 red_green/blue_red_green PAE_URL exists	packet+local	32	0	DOWNLOAD_IF	
NCAPD2	chromatin	scored	detail/chromatin/NCAPD2/NCAPD2-evaluation.md	NO_IF	MED	F 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=1	HPA has 1 IF thumbnails, 32 red_green/blue_red_green PAE_URL exists	packet+local	32	0	DOWNLOAD_IF	
NCAPH2	chromatin	scored	detail/chromatin/NCAPH2/NCAPH2-evaluation.md	IF_UNAVAIL	HIGH	/entry/Q6IBW4  **HPA IF 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=1	, 24 red_green/blue_red_green PAE_URL exists	packet+local	24	0	DOWNLOAD_IF	
NCAPH2	chromatin	scored	detail/chromatin/NCAPH2/NCAPH2-evaluation.md	NO_IF	MED	F 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=1	, 24 red_green/blue_red_green PAE_URL exists	packet+local	24	0	DOWNLOAD_IF	
NCBP2	chromatin	scored	detail/chromatin/NCBP2/NCBP2-evaluation.md	NO_DATA	HIGH	信度保守 | | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO | — | | UniProt | Nucleus, Cytoplasm 	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
NCBP2	chromatin	scored	detail/chromatin/NCBP2/NCBP2-evaluation.md	PENDING	HIGH	| | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO | — | | UniProt | Nucleus, Cytoplasm | 实验/预测 | | GO Cellula	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
NFX1	chromatin	scored	detail/chromatin/NFX1/NFX1-evaluation.md	NO_DATA	HIGH	信度保守 | | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO | — | | UniProt | Nucleus | 实验/预测 | |	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
NFX1	chromatin	scored	detail/chromatin/NFX1/NFX1-evaluation.md	PENDING	HIGH	| | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO | — | | UniProt | Nucleus | 实验/预测 | | GO Cellular Component	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
NMD3	chromatin	scored	detail/chromatin/NMD3/NMD3-evaluation.md	NO_DATA	HIGH	信度保守 | | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO | — | | UniProt | Cytoplasm, Nucleus 	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
NMD3	chromatin	scored	detail/chromatin/NMD3/NMD3-evaluation.md	PENDING	HIGH	| | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt + GO | — | | UniProt | Cytoplasm, Nucleus | 实验/预测 | | GO Cellula	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
NSMCE2	chromatin	scored	detail/chromatin/NSMCE2/NSMCE2-evaluation.md	IF_UNAVAIL	HIGH	/entry/Q96MF7  **HPA IF 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=0	, 24 red_green/blue_red_green PAE_URL exists	packet+local	24	0	DOWNLOAD_IF	
NSMCE2	chromatin	scored	detail/chromatin/NSMCE2/NSMCE2-evaluation.md	NO_IF	MED	F 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=0	, 24 red_green/blue_red_green PAE_URL exists	packet+local	24	0	DOWNLOAD_IF	
PAXX	chromatin	scored	detail/chromatin/PAXX/PAXX-evaluation.md	NO_DATA	HIGH	保守_高置信度 | 高置信度保守 | | HPA IF | 暂无数据（待细胞分析），核定位基于 UniProt + GO 注释 | -- | | UniProt | Nucleus, Chromosome, Cytoplasm 	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
PHF14	chromatin	scored	detail/chromatin/PHF14/PHF14-evaluation.md	IF_UNAVAIL	HIGH	/entry/O94880  **HPA IF 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=1	, 8 red_green/blue_red_green PAE_URL exists	packet+local	8	0	DOWNLOAD_IF	
PHF14	chromatin	scored	detail/chromatin/PHF14/PHF14-evaluation.md	NO_IF	MED	F 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=1	, 8 red_green/blue_red_green PAE_URL exists	packet+local	8	0	DOWNLOAD_IF	
PIDD1	chromatin	scored	detail/chromatin/PIDD1/PIDD1-evaluation.md	NO_DATA	HIGH	保守_高置信度 | 高置信度保守 | | HPA IF | 暂无数据（待细胞分析），核定位基于 UniProt + GO 注释 | -- | | UniProt | Cytoplasm, Nucleus | 实验证据/预测 | 	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
