gene	current_path	status	current_lines	current_chars	has_score_table	has_hpa	has_uniprot_go	has_pubmed	has_alphafold_plddt_pae	has_pdb_or_no_pdb_explanation	has_ppi	has_key_literature	has_final_decision_reason	needs_repair	repair_priority	reason
AHDC1	detail/nucleoplasm/AHDC1/AHDC1-evaluation.md	scored	173	5551	True	True	True	True	True	True	True	True	True	False	OK	
ELL2	detail/nucleoplasm/ELL2/ELL2-evaluation.md	scored	176	4304	True	True	True	True	True	True	True	True	True	False	OK	
TMA16	detail/nucleoplasm/TMA16/TMA16-evaluation.md	scored	164	3997	True	True	True	True	True	True	True	True	True	False	OK	
ANKRD35	detail/nucleoplasm/ANKRD35/ANKRD35-evaluation.md	scored	166	5103	True	True	True	True	True	True	True	True	True	False	OK	
SCMH1	detail/nucleoplasm/SCMH1/SCMH1-evaluation.md	scored	186	4767	True	True	True	True	True	True	True	True	True	False	OK	
PLCB3	detail/nucleus-cytoplasm/PLCB3/PLCB3-evaluation.md	scored	179	4781	True	True	True	True	True	True	True	True	True	False	OK	
AQR	detail/nucleoplasm/AQR/AQR-evaluation.md	scored	169	5863	True	True	True	True	True	True	True	True	True	False	OK	
OTUD5	detail/nuclear-envelope/OTUD5/OTUD5-evaluation.md	scored	180	4565	True	True	True	True	True	True	True	True	True	False	OK	
SUPT5H	detail/nucleoplasm/SUPT5H/SUPT5H-evaluation.md	scored	179	4501	True	True	True	True	True	True	True	True	True	False	OK	
SAMD4B	detail/nuclear-envelope/SAMD4B/SAMD4B-evaluation.md	scored	172	4225	True	True	True	True	True	True	True	True	True	False	OK	
AATK	detail/nucleoplasm/AATK/AATK-evaluation.md	scored	28	747	True	True	True	True	True	False	True	True	True	False	LOW	PDB
C3orf38	detail/nucleoplasm/C3orf38/C3orf38-evaluation.md	scored	61	1586	True	True	True	True	True	True	True	False	True	False	LOW	Literature
MAB21L4	detail/nucleoplasm/MAB21L4/MAB21L4-evaluation.md	scored	86	3126	True	True	True	True	True	False	True	True	True	False	LOW	PDB
CAMK1D	detail/nucleoplasm/CAMK1D/CAMK1D-evaluation.md	scored	105	4542	True	True	True	True	True	True	True	True	True	False	OK	
ALPK3	detail/nucleoplasm/ALPK3/ALPK3-evaluation.md	scored	122	4839	True	True	True	True	True	True	True	True	True	False	OK	
ANKRD52	detail/nucleoplasm/ANKRD52/ANKRD52-evaluation.md	scored	124	4634	True	True	True	True	True	True	True	True	True	False	OK	
A1CF	detail/nucleoplasm/A1CF/A1CF-evaluation.md	scored	132	5967	True	True	True	True	True	True	True	True	True	False	OK	
LEUTX	detail/nucleoplasm/LEUTX/LEUTX-evaluation.md	scored	139	5929	True	True	True	True	True	True	True	True	False	False	LOW	FinalReason
AKAP8L	detail/nucleoplasm/AKAP8L/AKAP8L-evaluation.md	scored	140	5835	True	True	True	True	True	True	True	True	True	False	OK	
HES7	detail/nucleoplasm/HES7/HES7-evaluation.md	scored	142	4898	True	True	True	True	True	True	True	True	True	False	OK	
CSRNP2	detail/nucleoplasm/CSRNP2/CSRNP2-evaluation.md	scored	145	5956	True	True	True	True	True	True	True	True	True	False	OK	
CSTF2T	detail/nucleoplasm/CSTF2T/CSTF2T-evaluation.md	scored	145	4038	True	True	True	True	True	True	True	True	True	False	OK	
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	scored	148	5098	True	True	True	True	True	True	True	True	True	False	OK	
HSF4	detail/nucleoplasm/HSF4/HSF4-evaluation.md	scored	149	3442	True	True	True	True	True	False	True	True	True	False	LOW	PDB
CCDC137	detail/chromatin/CCDC137/CCDC137-evaluation.md	scored	150	4452	True	True	True	True	True	True	True	True	True	False	OK	
CENPT	detail/chromatin/CENPT/CENPT-evaluation.md	scored	150	4113	True	True	True	True	True	True	True	True	True	False	OK	
CASC3	detail/nuclear-speckle/CASC3/CASC3-evaluation.md	scored	150	4745	True	True	True	True	True	True	True	True	True	False	OK	
C1D	detail/nucleolus/C1D/C1D-evaluation.md	scored	150	4518	True	True	True	True	True	True	True	True	True	False	OK	
