gene	category	status	wc	risk	has_score	has_hpa	has_if_embed	has_if_files	has_pae_embed	has_pae_file	has_af_plddt	has_pdb	has_domain	has_ppi_table	has_string	has_intact	has_pubmed	has_literature	has_formula	suspicious
TADA2A	chromatin	scored	927	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
TASOR2	chromatin	scored	791	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
TELO2	chromatin	scored	875	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
TEX15	chromatin	scored	814	MED	True	True	True	True	True	False	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
THAP4	chromatin	scored	832	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
TOX4	chromatin	scored	861	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
UFL1	chromatin	scored	594	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
UVSSA	chromatin	scored	813	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
WDR77	chromatin	scored	845	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
ZHX1	chromatin	scored	872	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
ANKRD2	nuclear-body	scored	1328	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
DAPK3	nuclear-body	scored	909	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED;LAZY
EAF1	nuclear-body	scored	695	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
FANCL	nuclear-body	scored	700	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
FOXJ2	nuclear-body	scored	896	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
GEMIN6	nuclear-body	scored	1076	HIGH	True	True	True	True	True	True	True	False	True	False	True	True	False	True	True	SHORT;NO_PDB;NO_PPI_TABLE;NO_PUBMED;LAZY
GMEB2	nuclear-body	scored	1098	HIGH	True	True	True	True	True	True	True	False	True	False	True	True	False	True	True	SHORT;NO_PDB;NO_PPI_TABLE;NO_PUBMED;LAZY
GNB1L	nuclear-body	scored	1034	HIGH	True	True	True	True	True	True	True	False	True	False	True	True	False	True	True	SHORT;NO_PDB;NO_PPI_TABLE;NO_PUBMED;LAZY
GTSF1	nuclear-body	scored	1009	HIGH	True	True	True	True	True	True	True	False	True	False	True	True	False	True	True	SHORT;NO_PDB;NO_PPI_TABLE;NO_PUBMED;LAZY
KBTBD4	nuclear-body	scored	843	MED	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	SHORT;NO_PDB;NO_PUBMED;LAZY
MESD	nuclear-body	scored	667	MED	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	SHORT;NO_PDB;NO_PUBMED;LAZY
NAA15	nuclear-body	scored	915	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
NUTM2B	nuclear-body	scored	661	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
PLXDC2	nuclear-body	scored	658	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
PRRC2B	nuclear-body	scored	701	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
PSTK	nuclear-body	scored	649	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
SHCBP1	nuclear-body	scored	1066	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
SP140	nuclear-body	scored	905	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
THAP11	nuclear-body	scored	921	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
THAP7	nuclear-body	scored	926	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
TMA7	nuclear-body	scored	721	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
TRIM8	nuclear-body	scored	626	MED	True	True	True	True	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_pLDDT;NO_PUBMED
TSC22D1	nuclear-body	scored	735	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
WDFY3	nuclear-body	scored	955	MED	True	True	True	True	True	False	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
WRAP53	nuclear-body	scored	924	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
AARSD1	nuclear-envelope	scored	1177	MED	True	True	False	False	False	False	True	True	True	True	True	True	True	True	True	SHORT;NO_IF;NO_PAE
AGPAT3	nuclear-envelope	scored	1192	MED	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
AHCTF1	nuclear-envelope	scored	1530	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED;LAZY
AMPD3	nuclear-envelope	scored	648	MED	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	SHORT;NO_PDB;NO_PUBMED;LAZY
ANKRD17	nuclear-envelope	scored	1690	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
ARL6IP6	nuclear-envelope	scored	1088	MED	True	True	False	False	False	False	True	True	True	True	True	True	True	True	True	SHORT;NO_IF;NO_PAE
CERS5	nuclear-envelope	scored	658	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
CHMP7	nuclear-envelope	scored	1263	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
EOGT	nuclear-envelope	scored	656	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
GPKOW	nuclear-envelope	scored	1003	HIGH	True	True	True	True	True	True	True	False	True	False	True	True	False	True	True	SHORT;NO_PDB;NO_PPI_TABLE;NO_PUBMED;LAZY
LEMD2	nuclear-envelope	scored	896	MED	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	SHORT;NO_PDB;NO_PUBMED;LAZY
LEMD3	nuclear-envelope	scored	938	MED	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	SHORT;NO_PDB;NO_PUBMED;LAZY
NANOGP8	nuclear-envelope	scored	882	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
NDC1	nuclear-envelope	scored	852	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
NEMP1	nuclear-envelope	scored	820	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
OTUD5	nuclear-envelope	scored	890	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PHC1	nuclear-envelope	scored	895	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
RESF1	nuclear-envelope	scored	828	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SAMD4B	nuclear-envelope	scored	828	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SAMSN1	nuclear-envelope	scored	887	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SUPT6H	nuclear-envelope	scored	951	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SURF4	nuclear-envelope	scored	670	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
TNFAIP2	nuclear-envelope	scored	671	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
YAF2	nuclear-envelope	scored	852	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
ANKRD55	nuclear-speckle	scored	1459	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
AP5Z1	nuclear-speckle	scored	1012	MED	True	True	False	False	False	False	True	True	True	True	True	True	True	True	True	SHORT;NO_IF;NO_PAE
ARGLU1	nuclear-speckle	scored	1297	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
ATOH8	nuclear-speckle	scored	1059	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
ATXN7L3	nuclear-speckle	scored	2524	LOW	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	NO_PUBMED
C12orf57	nuclear-speckle	scored	1391	LOW	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	SHORT
CASC3	nuclear-speckle	scored	838	HIGH	True	True	True	True	True	True	False	True	True	False	True	True	False	True	True	SHORT;NO_pLDDT;NO_PPI_TABLE;NO_PUBMED;LAZY
CBY1	nuclear-speckle	scored	245	LOW	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	SHORT
CCDC85C	nuclear-speckle	scored	121	HIGH	True	True	False	False	False	False	True	False	True	False	True	True	True	False	True	SHORT;NO_IF;NO_PAE;NO_PDB;NO_PPI_TABLE;NO_LIT
DENND1B	nuclear-speckle	scored	686	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
EPC2	nuclear-speckle	scored	650	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
EPG5	nuclear-speckle	scored	650	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
EXO5	nuclear-speckle	scored	660	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
EYA3	nuclear-speckle	scored	1444	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
FAM50A	nuclear-speckle	scored	822	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
FANCG	nuclear-speckle	scored	642	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
FYTTD1	nuclear-speckle	scored	1828	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
GIPC2	nuclear-speckle	scored	1013	HIGH	True	True	True	True	True	True	True	False	True	False	True	True	False	True	True	SHORT;NO_PDB;NO_PPI_TABLE;NO_PUBMED;LAZY
GUCY1A1	nuclear-speckle	scored	1030	HIGH	True	True	True	True	True	True	True	False	True	False	True	True	False	True	True	SHORT;NO_PDB;NO_PPI_TABLE;NO_PUBMED;LAZY
MXRA8	nuclear-speckle	scored	929	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
MYADM	nuclear-speckle	scored	646	MED	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	SHORT;NO_PDB;NO_PUBMED;LAZY
NELFCD	nuclear-speckle	scored	850	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
NIP7	nuclear-speckle	scored	917	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
NUFIP1	nuclear-speckle	scored	927	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
PCP2	nuclear-speckle	scored	801	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
POU5F2	nuclear-speckle	scored	859	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SERF2	nuclear-speckle	scored	791	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SGO2	nuclear-speckle	scored	811	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SMAD9	nuclear-speckle	scored	903	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SPOCD1	nuclear-speckle	scored	855	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SSBP4	nuclear-speckle	scored	845	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
TESC	nuclear-speckle	scored	828	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
VGLL3	nuclear-speckle	scored	826	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
WDR82	nuclear-speckle	scored	890	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
XYLB	nuclear-speckle	scored	656	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
ABT1	nucleolus	scored	3158	LOW	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	NO_PUBMED
ABTB1	nucleolus	scored	682	MED	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	SHORT;NO_PDB;NO_PUBMED;LAZY
AFF4	nucleolus	scored	2085	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED;LAZY
AGBL2	nucleolus	scored	1108	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
AKAP8	nucleolus	scored	601	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
AKNA	nucleolus	scored	661	MED	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	SHORT;NO_PDB;NO_PUBMED;LAZY
AKTIP	nucleolus	scored	731	MED	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	SHORT;NO_PAE;NO_PUBMED;LAZY
ALKBH4	nucleolus	scored	1563	MED	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
