gene	count	paths	categories
NHEJ1	3	detail/rejected/NHEJ1/NHEJ1-evaluation.md, detail/nucleolus/NHEJ1/NHEJ1-evaluation.md, detail/nucleoplasm/NHEJ1/NHEJ1-evaluation.md	rejected, nucleolus, nucleoplasm
NHLRC1	2	detail/rejected/NHLRC1/NHLRC1-evaluation.md, detail/nucleoplasm/NHLRC1/NHLRC1-evaluation.md	rejected, nucleoplasm
NHLRC2	2	detail/rejected/NHLRC2/NHLRC2-evaluation.md, detail/nucleoplasm/NHLRC2/NHLRC2-evaluation.md	rejected, nucleoplasm
NHSL1	2	detail/rejected/NHSL1/NHSL1-evaluation.md, detail/nuclear-envelope/NHSL1/NHSL1-evaluation.md	rejected, nuclear-envelope
NIF3L1	2	detail/rejected/NIF3L1/NIF3L1-evaluation.md, detail/nucleoplasm/NIF3L1/NIF3L1-evaluation.md	rejected, nucleoplasm
NIPAL3	2	detail/rejected/NIPAL3/NIPAL3-evaluation.md, detail/nucleoplasm/NIPAL3/NIPAL3-evaluation.md	rejected, nucleoplasm
NKIRAS2	2	detail/rejected/NKIRAS2/NKIRAS2-evaluation.md, detail/nucleoplasm/NKIRAS2/NKIRAS2-evaluation.md	rejected, nucleoplasm
NLE1	3	detail/rejected/NLE1/NLE1-evaluation.md, detail/nucleolus/NLE1/NLE1-evaluation.md, detail/nucleoplasm/NLE1/NLE1-evaluation.md	rejected, nucleolus, nucleoplasm
NME7	2	detail/rejected/NME7/NME7-evaluation.md, detail/nucleoplasm/NME7/NME7-evaluation.md	rejected, nucleoplasm
NME8	2	detail/nuclear-body/NME8/NME8-evaluation.md, detail/rejected/NME8/NME8-evaluation.md	nuclear-body, rejected
NMRK1	2	detail/rejected/NMRK1/NMRK1-evaluation.md, detail/nucleoplasm/NMRK1/NMRK1-evaluation.md	rejected, nucleoplasm
NMRK2	2	detail/rejected/NMRK2/NMRK2-evaluation.md, detail/nucleoplasm/NMRK2/NMRK2-evaluation.md	rejected, nucleoplasm
NOC3L	3	detail/nuclear-body/NOC3L/NOC3L-evaluation.md, detail/rejected/NOC3L/NOC3L-evaluation.md, detail/nucleoplasm/NOC3L/NOC3L-evaluation.md	nuclear-body, rejected, nucleoplasm
NOM1	2	detail/rejected/NOM1/NOM1-evaluation.md, detail/nucleolus/NOM1/NOM1-evaluation.md	rejected, nucleolus
NOPCHAP1	2	detail/rejected/NOPCHAP1/NOPCHAP1-evaluation.md, detail/nuclear-envelope/NOPCHAP1/NOPCHAP1-evaluation.md	rejected, nuclear-envelope
NPEPPS	2	detail/rejected/NPEPPS/NPEPPS-evaluation.md, detail/nucleoplasm/NPEPPS/NPEPPS-evaluation.md	rejected, nucleoplasm
NPTXR	2	detail/rejected/NPTXR/NPTXR-evaluation.md, detail/nucleoplasm/NPTXR/NPTXR-evaluation.md	rejected, nucleoplasm
NRARP	2	detail/rejected/NRARP/NRARP-evaluation.md, detail/nucleoplasm/NRARP/NRARP-evaluation.md	rejected, nucleoplasm
NRBF2	2	detail/rejected/NRBF2/NRBF2-evaluation.md, detail/nucleoplasm/NRBF2/NRBF2-evaluation.md	rejected, nucleoplasm
NRIP2	2	detail/nuclear-body/NRIP2/NRIP2-evaluation.md, detail/rejected/NRIP2/NRIP2-evaluation.md	nuclear-body, rejected
NSFL1C	2	detail/rejected/NSFL1C/NSFL1C-evaluation.md, detail/nucleoplasm/NSFL1C/NSFL1C-evaluation.md	rejected, nucleoplasm
NSMCE1	2	detail/rejected/NSMCE1/NSMCE1-evaluation.md, detail/nucleoplasm/NSMCE1/NSMCE1-evaluation.md	rejected, nucleoplasm
NSMCE3	2	detail/rejected/NSMCE3/NSMCE3-evaluation.md, detail/nucleoplasm/NSMCE3/NSMCE3-evaluation.md	rejected, nucleoplasm
NSMCE4A	2	detail/nuclear-body/NSMCE4A/NSMCE4A-evaluation.md, detail/rejected/NSMCE4A/NSMCE4A-evaluation.md	nuclear-body, rejected
NSRP1	2	detail/nuclear-body/NSRP1/NSRP1-evaluation.md, detail/rejected/NSRP1/NSRP1-evaluation.md	nuclear-body, rejected
NT5C1B	2	detail/rejected/NT5C1B/NT5C1B-evaluation.md, detail/nucleoplasm/NT5C1B/NT5C1B-evaluation.md	rejected, nucleoplasm
NT5C3A	2	detail/nuclear-body/NT5C3A/NT5C3A-evaluation.md, detail/rejected/NT5C3A/NT5C3A-evaluation.md	nuclear-body, rejected
NUBP1	2	detail/rejected/NUBP1/NUBP1-evaluation.md, detail/nucleoplasm/NUBP1/NUBP1-evaluation.md	rejected, nucleoplasm
NUFIP1	2	detail/rejected/NUFIP1/NUFIP1-evaluation.md, detail/nuclear-speckle/NUFIP1/NUFIP1-evaluation.md	rejected, nuclear-speckle
NUFIP2	2	detail/nucleus-cytoplasm/NUFIP2/NUFIP2-evaluation.md, detail/rejected/NUFIP2/NUFIP2-evaluation.md	nucleus-cytoplasm, rejected
NVL	3	detail/rejected/NVL/NVL-evaluation.md, detail/nucleolus/NVL/NVL-evaluation.md, detail/nucleoplasm/NVL/NVL-evaluation.md	rejected, nucleolus, nucleoplasm
PKP1	2	detail/rejected/PKP1/PKP1-evaluation.md, detail/nucleoplasm/PKP1/PKP1-evaluation.md	rejected, nucleoplasm
Pak6	2	detail/rejected/Pak6/Pak6-evaluation.md, detail/nucleoplasm/Pak6/Pak6-evaluation.md	rejected, nucleoplasm
RALGDS	2	detail/rejected/RALGDS/RALGDS-evaluation.md, detail/nucleoplasm/RALGDS/RALGDS-evaluation.md	rejected, nucleoplasm
RCBTB1	2	detail/rejected/RCBTB1/RCBTB1-evaluation.md, detail/nucleoplasm/RCBTB1/RCBTB1-evaluation.md	rejected, nucleoplasm
RCL1	2	detail/nucleolus/RCL1/RCL1-evaluation.md, detail/nucleoplasm/RCL1/RCL1-evaluation.md	nucleolus, nucleoplasm
RIOX1	2	detail/rejected/RIOX1/RIOX1-evaluation.md, detail/nucleoplasm/RIOX1/RIOX1-evaluation.md	rejected, nucleoplasm
RMND5A	2	detail/rejected/RMND5A/RMND5A-evaluation.md, detail/nucleoplasm/RMND5A/RMND5A-evaluation.md	rejected, nucleoplasm
RMP64	2	detail/rejected/RMP64/RMP64-evaluation.md, detail/nucleoplasm/RMP64/RMP64-evaluation.md	rejected, nucleoplasm
ROGDI	2	detail/rejected/ROGDI/ROGDI-evaluation.md, detail/nucleoplasm/ROGDI/ROGDI-evaluation.md	rejected, nucleoplasm
ROPN1L	2	detail/rejected/ROPN1L/ROPN1L-evaluation.md, detail/nucleoplasm/ROPN1L/ROPN1L-evaluation.md	rejected, nucleoplasm
RPRD1A	2	detail/rejected/RPRD1A/RPRD1A-evaluation.md, detail/nucleoplasm/RPRD1A/RPRD1A-evaluation.md	rejected, nucleoplasm
RSPH1	2	detail/rejected/RSPH1/RSPH1-evaluation.md, detail/nucleoplasm/RSPH1/RSPH1-evaluation.md	rejected, nucleoplasm
RSRC1	2	detail/rejected/RSRC1/RSRC1-evaluation.md, detail/nucleoplasm/RSRC1/RSRC1-evaluation.md	rejected, nucleoplasm
RTRAF	2	detail/rejected/RTRAF/RTRAF-evaluation.md, detail/nucleoplasm/RTRAF/RTRAF-evaluation.md	rejected, nucleoplasm
RUFY2	2	detail/rejected/RUFY2/RUFY2-evaluation.md, detail/nucleoplasm/RUFY2/RUFY2-evaluation.md	rejected, nucleoplasm
RWDD3	2	detail/rejected/RWDD3/RWDD3-evaluation.md, detail/nucleoplasm/RWDD3/RWDD3-evaluation.md	rejected, nucleoplasm
SAAL1	2	detail/rejected/SAAL1/SAAL1-evaluation.md, detail/nucleoplasm/SAAL1/SAAL1-evaluation.md	rejected, nucleoplasm
SAGE1	2	detail/rejected/SAGE1/SAGE1-evaluation.md, detail/nucleoplasm/SAGE1/SAGE1-evaluation.md	rejected, nucleoplasm
SAMD11	2	detail/rejected/SAMD11/SAMD11-evaluation.md, detail/nucleoplasm/SAMD11/SAMD11-evaluation.md	rejected, nucleoplasm
SBF1	2	detail/rejected/SBF1/SBF1-evaluation.md, detail/nucleoplasm/SBF1/SBF1-evaluation.md	rejected, nucleoplasm
SBF2	2	detail/rejected/SBF2/SBF2-evaluation.md, detail/nucleoplasm/SBF2/SBF2-evaluation.md	rejected, nucleoplasm
SBNO1	2	detail/rejected/SBNO1/SBNO1-evaluation.md, detail/nucleoplasm/SBNO1/SBNO1-evaluation.md	rejected, nucleoplasm
SC5D	2	detail/rejected/SC5D/SC5D-evaluation.md, detail/nucleoplasm/SC5D/SC5D-evaluation.md	rejected, nucleoplasm
SCEL	2	detail/rejected/SCEL/SCEL-evaluation.md, detail/nucleoplasm/SCEL/SCEL-evaluation.md	rejected, nucleoplasm
SCFD2	2	detail/rejected/SCFD2/SCFD2-evaluation.md, detail/nucleoplasm/SCFD2/SCFD2-evaluation.md	rejected, nucleoplasm
SCHIP1	2	detail/rejected/SCHIP1/SCHIP1-evaluation.md, detail/nucleoplasm/SCHIP1/SCHIP1-evaluation.md	rejected, nucleoplasm
SCRN2	2	detail/rejected/SCRN2/SCRN2-evaluation.md, detail/nucleoplasm/SCRN2/SCRN2-evaluation.md	rejected, nucleoplasm
SDCBP2	2	detail/rejected/SDCBP2/SDCBP2-evaluation.md, detail/nucleoplasm/SDCBP2/SDCBP2-evaluation.md	rejected, nucleoplasm
SEH1L	2	detail/rejected/SEH1L/SEH1L-evaluation.md, detail/nucleoplasm/SEH1L/SEH1L-evaluation.md	rejected, nucleoplasm
SELENOH	2	detail/rejected/SELENOH/SELENOH-evaluation.md, detail/nucleoplasm/SELENOH/SELENOH-evaluation.md	rejected, nucleoplasm
SELENOM	2	detail/rejected/SELENOM/SELENOM-evaluation.md, detail/nucleoplasm/SELENOM/SELENOM-evaluation.md	rejected, nucleoplasm
SENP5	2	detail/rejected/SENP5/SENP5-evaluation.md, detail/nucleoplasm/SENP5/SENP5-evaluation.md	rejected, nucleoplasm
SENP7	2	detail/rejected/SENP7/SENP7-evaluation.md, detail/nucleoplasm/SENP7/SENP7-evaluation.md	rejected, nucleoplasm
SENP8	2	detail/rejected/SENP8/SENP8-evaluation.md, detail/nucleoplasm/SENP8/SENP8-evaluation.md	rejected, nucleoplasm
SEPHS2	2	detail/rejected/SEPHS2/SEPHS2-evaluation.md, detail/nucleoplasm/SEPHS2/SEPHS2-evaluation.md	rejected, nucleoplasm
SEPTIN10	2	detail/rejected/SEPTIN10/SEPTIN10-evaluation.md, detail/nucleoplasm/SEPTIN10/SEPTIN10-evaluation.md	rejected, nucleoplasm
SEPTIN3	2	detail/rejected/SEPTIN3/SEPTIN3-evaluation.md, detail/nucleoplasm/SEPTIN3/SEPTIN3-evaluation.md	rejected, nucleoplasm
SEPTIN6	2	detail/rejected/SEPTIN6/SEPTIN6-evaluation.md, detail/nucleoplasm/SEPTIN6/SEPTIN6-evaluation.md	rejected, nucleoplasm
SEPTIN7	2	detail/rejected/SEPTIN7/SEPTIN7-evaluation.md, detail/nucleoplasm/SEPTIN7/SEPTIN7-evaluation.md	rejected, nucleoplasm
SERF1A	2	detail/rejected/SERF1A/SERF1A-evaluation.md, detail/nucleoplasm/SERF1A/SERF1A-evaluation.md	rejected, nucleoplasm
SERF1B	2	detail/rejected/SERF1B/SERF1B-evaluation.md, detail/nucleoplasm/SERF1B/SERF1B-evaluation.md	rejected, nucleoplasm
SERGEF	2	detail/rejected/SERGEF/SERGEF-evaluation.md, detail/nucleoplasm/SERGEF/SERGEF-evaluation.md	rejected, nucleoplasm
SERPINB10	2	detail/rejected/SERPINB10/SERPINB10-evaluation.md, detail/nucleoplasm/SERPINB10/SERPINB10-evaluation.md	rejected, nucleoplasm
SERPINB13	2	detail/rejected/SERPINB13/SERPINB13-evaluation.md, detail/nucleoplasm/SERPINB13/SERPINB13-evaluation.md	rejected, nucleoplasm
SKOR1	2	detail/rejected/SKOR1/SKOR1-evaluation.md, detail/nucleoplasm/SKOR1/SKOR1-evaluation.md	rejected, nucleoplasm
SLF2	2	detail/rejected/SLF2/SLF2-evaluation.md, detail/nucleoplasm/SLF2/SLF2-evaluation.md	rejected, nucleoplasm
SLFN14	2	detail/rejected/SLFN14/SLFN14-evaluation.md, detail/nucleoplasm/SLFN14/SLFN14-evaluation.md	rejected, nucleoplasm
SLX1B	2	detail/rejected/SLX1B/SLX1B-evaluation.md, detail/nucleoplasm/SLX1B/SLX1B-evaluation.md	rejected, nucleoplasm
SLX9	2	detail/rejected/SLX9/SLX9-evaluation.md, detail/nucleoplasm/SLX9/SLX9-evaluation.md	rejected, nucleoplasm
SMCR8	2	detail/rejected/SMCR8/SMCR8-evaluation.md, detail/nucleoplasm/SMCR8/SMCR8-evaluation.md	rejected, nucleoplasm
SNF8	2	detail/rejected/SNF8/SNF8-evaluation.md, detail/nucleoplasm/SNF8/SNF8-evaluation.md	rejected, nucleoplasm
SNTB2	2	detail/rejected/SNTB2/SNTB2-evaluation.md, detail/nucleoplasm/SNTB2/SNTB2-evaluation.md	rejected, nucleoplasm
SNTG1	2	detail/rejected/SNTG1/SNTG1-evaluation.md, detail/nucleoplasm/SNTG1/SNTG1-evaluation.md	rejected, nucleoplasm
SPACA9	2	detail/rejected/SPACA9/SPACA9-evaluation.md, detail/nucleoplasm/SPACA9/SPACA9-evaluation.md	rejected, nucleoplasm
SPAG7	2	detail/rejected/SPAG7/SPAG7-evaluation.md, detail/nucleoplasm/SPAG7/SPAG7-evaluation.md	rejected, nucleoplasm
SPAG8	2	detail/rejected/SPAG8/SPAG8-evaluation.md, detail/nucleoplasm/SPAG8/SPAG8-evaluation.md	rejected, nucleoplasm
SPANXA2	2	detail/rejected/SPANXA2/SPANXA2-evaluation.md, detail/nucleoplasm/SPANXA2/SPANXA2-evaluation.md	rejected, nucleoplasm
SPATA13	2	detail/rejected/SPATA13/SPATA13-evaluation.md, detail/nucleoplasm/SPATA13/SPATA13-evaluation.md	rejected, nucleoplasm
SPATA18	2	detail/rejected/SPATA18/SPATA18-evaluation.md, detail/nucleoplasm/SPATA18/SPATA18-evaluation.md	rejected, nucleoplasm
SULT1E1	2	detail/rejected/SULT1E1/SULT1E1-evaluation.md, detail/nucleoplasm/SULT1E1/SULT1E1-evaluation.md	rejected, nucleoplasm
SYCP1	2	detail/rejected/SYCP1/SYCP1-evaluation.md, detail/nucleoplasm/SYCP1/SYCP1-evaluation.md	rejected, nucleoplasm
SYNJ1	2	detail/rejected/SYNJ1/SYNJ1-evaluation.md, detail/nucleoplasm/SYNJ1/SYNJ1-evaluation.md	rejected, nucleoplasm
TBC1D1	2	detail/rejected/TBC1D1/TBC1D1-evaluation.md, detail/nucleoplasm/TBC1D1/TBC1D1-evaluation.md	rejected, nucleoplasm
TNIP1	2	detail/rejected/TNIP1/TNIP1-evaluation.md, detail/nucleoplasm/TNIP1/TNIP1-evaluation.md	rejected, nucleoplasm
TNP1	2	detail/rejected/TNP1/TNP1-evaluation.md, detail/nucleoplasm/TNP1/TNP1-evaluation.md	rejected, nucleoplasm
TPPP	2	detail/rejected/TPPP/TPPP-evaluation.md, detail/nucleoplasm/TPPP/TPPP-evaluation.md	rejected, nucleoplasm
TRIM63	2	detail/rejected/TRIM63/TRIM63-evaluation.md, detail/nucleoplasm/TRIM63/TRIM63-evaluation.md	rejected, nucleoplasm
XRCC2	2	detail/rejected/XRCC2/XRCC2-evaluation.md, detail/nucleoplasm/XRCC2/XRCC2-evaluation.md	rejected, nucleoplasm
