gene	path	lines	chars	has_uni_q	has_uni_nd	has_uni_url	has_af_q	has_af_url	has_go_nd	has_hpa_nd	has_if_un	has_pae_nd	has_pdb_0	has_ppi_0	has_pm_0	has_pkt_e	has_one_line	nuclear_score	issue_count	risk_level
ZNG1C	detail/rejected/ZNG1C/ZNG1C-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
HINT3	detail/rejected/HINT3/HINT3-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
JPT2	detail/rejected/JPT2/JPT2-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
NUPR2	detail/rejected/NUPR2/NUPR2-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
COMMD6	detail/rejected/COMMD6/COMMD6-evaluation.md	56	915	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
COMMD8	detail/rejected/COMMD8/COMMD8-evaluation.md	56	915	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
MSL3B	detail/rejected/MSL3B/MSL3B-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
Oog1	detail/rejected/Oog1/Oog1-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
CCDC89	detail/rejected/CCDC89/CCDC89-evaluation.md	56	915	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SSUH2	detail/rejected/SSUH2/SSUH2-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
KLHDC2	detail/rejected/KLHDC2/KLHDC2-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
HMGB4	detail/rejected/HMGB4/HMGB4-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
COMMD9	detail/rejected/COMMD9/COMMD9-evaluation.md	56	915	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TUBD1	detail/rejected/TUBD1/TUBD1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
RFPL3	detail/rejected/RFPL3/RFPL3-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SAAL1	detail/rejected/SAAL1/SAAL1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
Slfn1	detail/rejected/Slfn1/Slfn1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
MID1IP1	detail/rejected/MID1IP1/MID1IP1-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
Isoc2a	detail/rejected/Isoc2a/Isoc2a-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
ERICH6	detail/rejected/ERICH6/ERICH6-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DUX5	detail/rejected/DUX5/DUX5-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TSEN15	detail/rejected/TSEN15/TSEN15-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
ZNG1E	detail/rejected/ZNG1E/ZNG1E-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SPATA4	detail/rejected/SPATA4/SPATA4-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SPATA33	detail/rejected/SPATA33/SPATA33-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
ZNG1B	detail/rejected/ZNG1B/ZNG1B-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
Fam209	detail/rejected/Fam209/Fam209-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TESK2	detail/rejected/TESK2/TESK2-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
MCRIP2	detail/rejected/MCRIP2/MCRIP2-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DCUN1D5	detail/rejected/DCUN1D5/DCUN1D5-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
YPEL3	detail/rejected/YPEL3/YPEL3-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SPATA46	detail/rejected/SPATA46/SPATA46-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SCNM1	detail/rejected/SCNM1/SCNM1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
CTDSPL2	detail/rejected/CTDSPL2/CTDSPL2-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
PCNP	detail/rejected/PCNP/PCNP-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TSEN34	detail/rejected/TSEN34/TSEN34-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
MBLAC1	detail/rejected/MBLAC1/MBLAC1-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TBATA	detail/rejected/TBATA/TBATA-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TDRP	detail/rejected/TDRP/TDRP-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TSTD1	detail/rejected/TSTD1/TSTD1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SPATA24	detail/rejected/SPATA24/SPATA24-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
Tex24	detail/rejected/Tex24/Tex24-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DGCR6	detail/rejected/DGCR6/DGCR6-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DCUN1D3	detail/rejected/DCUN1D3/DCUN1D3-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DCANP1	detail/rejected/DCANP1/DCANP1-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
CPHXL	detail/rejected/CPHXL/CPHXL-evaluation.md	56	912	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SLX1A	detail/rejected/SLX1A/SLX1A-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SPIN2B	detail/rejected/SPIN2B/SPIN2B-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
CPHXL2	detail/rejected/CPHXL2/CPHXL2-evaluation.md	56	915	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
FAM76B	detail/rejected/FAM76B/FAM76B-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
NUBP2	detail/rejected/NUBP2/NUBP2-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SYCP2L	detail/rejected/SYCP2L/SYCP2L-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
NTAQ1	detail/rejected/NTAQ1/NTAQ1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
METTL23	detail/rejected/METTL23/METTL23-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
FAM9A	detail/rejected/FAM9A/FAM9A-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
LYRM1	detail/rejected/LYRM1/LYRM1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TATDN3	detail/rejected/TATDN3/TATDN3-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
KNOP1	detail/rejected/KNOP1/KNOP1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
UBXN7	detail/rejected/UBXN7/UBXN7-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TSPY2	detail/rejected/TSPY2/TSPY2-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
FAM53B	detail/rejected/FAM53B/FAM53B-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TSPY10	detail/rejected/TSPY10/TSPY10-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TRAPPC12	detail/rejected/TRAPPC12/TRAPPC12-evaluation.md	49	902	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
FRG2B	detail/rejected/FRG2B/FRG2B-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
Xlr5c	detail/rejected/Xlr5c/Xlr5c-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DAZ1	detail/rejected/DAZ1/DAZ1-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TATDN2	detail/rejected/TATDN2/TATDN2-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
MEIOB	detail/rejected/MEIOB/MEIOB-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
UBXN6	detail/rejected/UBXN6/UBXN6-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
Ssxa1	detail/rejected/Ssxa1/Ssxa1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
HARBI1	detail/rejected/HARBI1/HARBI1-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
ERFL	detail/rejected/ERFL/ERFL-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
EDRF1	detail/rejected/EDRF1/EDRF1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
URGCP	detail/rejected/URGCP/URGCP-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
FRG2C	detail/rejected/FRG2C/FRG2C-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
PNCK	detail/rejected/PNCK/PNCK-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TSPY4	detail/rejected/TSPY4/TSPY4-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DDIAS	detail/rejected/DDIAS/DDIAS-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
STPG4	detail/rejected/STPG4/STPG4-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
QRICH2	detail/rejected/QRICH2/QRICH2-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
RFWD3	detail/rejected/RFWD3/RFWD3-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TCEANC2	detail/rejected/TCEANC2/TCEANC2-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
KLHL15	detail/rejected/KLHL15/KLHL15-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DESI1	detail/rejected/DESI1/DESI1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
R3HDM4	detail/rejected/R3HDM4/R3HDM4-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
WDR55	detail/rejected/WDR55/WDR55-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
RASL11A	detail/rejected/RASL11A/RASL11A-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
WDR37	detail/rejected/WDR37/WDR37-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
NFILZ	detail/rejected/NFILZ/NFILZ-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TPP2	detail/rejected/TPP2/TPP2-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
PRR13	detail/rejected/PRR13/PRR13-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TSNAXIP1	detail/rejected/TSNAXIP1/TSNAXIP1-evaluation.md	49	902	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
KAZN	detail/rejected/KAZN/KAZN-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
R3HDM2	detail/rejected/R3HDM2/R3HDM2-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
