gene	category	status	char_count	risk	flags	has_hpa_details	has_if_or_rescue	has_plddt	has_pae_or_note	has_pdb_info	has_real_ppi	has_pubmed_counts	has_key_lit	rejection_lines	lazy_phrases
CENPI	chromatin	scored	4562	HIGH	SHORT_SCORED(4562); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
CENPK	chromatin	scored	4746	CRITICAL	SHORT_SCORED(4746); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; NO_IF_NO_RESCUE; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
CENPL	chromatin	scored	4374	HIGH	SHORT_SCORED(4374); NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS	False	False	True	True	True	False	True	True	0	
CENPM	chromatin	scored	4255	CRITICAL	SHORT_SCORED(4255); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; NO_IF_NO_RESCUE; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
CENPT	chromatin	scored	4113	HIGH	SHORT_SCORED(4113); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
CENPU	chromatin	scored	4595	HIGH	SHORT_SCORED(4595); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
CENPV	chromatin	scored	4848	HIGH	SHORT_SCORED(4848); NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS	False	False	True	True	True	False	True	True	0	
CENPX	chromatin	scored	4708	CRITICAL	SHORT_SCORED(4708); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; NO_IF_NO_RESCUE; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
CFDP1	chromatin	scored	5098	HIGH	LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
CRAMP1	chromatin	scored	4960	HIGH	SHORT_SCORED(4960); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
CREB3L4	chromatin	scored	7612	HIGH	LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
CSNK1A1	chromatin	scored	3257	CRITICAL	SHORT_SCORED(3257); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
DDB2	chromatin	scored	2768	CRITICAL	SHORT_SCORED(2768); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
DSN1	chromatin	scored	4334	HIGH	SHORT_SCORED(4334); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
GINS4	chromatin	scored	2881	CRITICAL	SHORT_SCORED(2881); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
HP1BP3	chromatin	scored	13442	HIGH	LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; NO_PUBMED_COUNTS	False	True	True	True	True	True	False	True	0	IntAct 有限记录;无记录 \| — \| —
IHO1	chromatin	scored	4490	HIGH	SHORT_SCORED(4490); LAZY:IntAct 有限记录;无记录 \| — \| —;需进一步验证; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —;需进一步验证
JADE1	chromatin	scored	5097	HIGH	LAZY:IntAct 有限记录;无记录 \| — \| —;需进一步验证; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —;需进一步验证
LRWD1	chromatin	scored	6691	HIGH	LAZY:待补充; NO_HPA_DETAILS; NO_PDB_INFO; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	False	False	False	True	0	待补充
MACROH2A2	chromatin	scored	6405	HIGH	LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
MPHOSPH8	chromatin	scored	5046	HIGH	LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
NAP1L1	chromatin	scored	3084	CRITICAL	SHORT_SCORED(3084); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
NAP1L2	chromatin	scored	2885	CRITICAL	SHORT_SCORED(2885); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
NAP1L4	chromatin	scored	3081	CRITICAL	SHORT_SCORED(3081); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
NCAPD2	chromatin	scored	3090	CRITICAL	SHORT_SCORED(3090); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
NCAPH	chromatin	scored	2934	CRITICAL	SHORT_SCORED(2934); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
NCAPH2	chromatin	scored	2934	CRITICAL	SHORT_SCORED(2934); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
NCBP2	chromatin	scored	4779	HIGH	SHORT_SCORED(4779); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
NFX1	chromatin	scored	4679	HIGH	SHORT_SCORED(4679); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
NMD3	chromatin	scored	4379	HIGH	SHORT_SCORED(4379); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
NSMCE2	chromatin	scored	2950	CRITICAL	SHORT_SCORED(2950); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
PAXIP1	chromatin	scored	5009	HIGH	LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
PAXX	chromatin	scored	4138	HIGH	SHORT_SCORED(4138); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
PHF14	chromatin	scored	2932	CRITICAL	SHORT_SCORED(2932); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
PIDD1	chromatin	scored	4724	HIGH	SHORT_SCORED(4724); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
PLRG1	chromatin	scored	4502	HIGH	SHORT_SCORED(4502); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
PMF1	chromatin	scored	4149	HIGH	SHORT_SCORED(4149); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
PPHLN1	chromatin	scored	4409	HIGH	SHORT_SCORED(4409); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
PRR14	chromatin	scored	4008	HIGH	SHORT_SCORED(4008); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
PRR7	chromatin	scored	4165	HIGH	SHORT_SCORED(4165); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
PRRC2A	chromatin	scored	4160	HIGH	SHORT_SCORED(4160); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
PTBP3	chromatin	scored	4428	HIGH	SHORT_SCORED(4428); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
PURB	chromatin	scored	4149	HIGH	SHORT_SCORED(4149); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
PUS1	chromatin	scored	4427	HIGH	SHORT_SCORED(4427); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
QRICH1	chromatin	scored	4253	HIGH	SHORT_SCORED(4253); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
QSER1	chromatin	scored	4041	HIGH	SHORT_SCORED(4041); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
REC114	chromatin	scored	4158	CRITICAL	SHORT_SCORED(4158); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; NO_IF_NO_RESCUE; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
RTF2	chromatin	scored	4012	HIGH	SHORT_SCORED(4012); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
SAMD1	chromatin	scored	6507	HIGH	LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; NO_IF_NO_RESCUE; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
SEM1	chromatin	scored	4371	HIGH	SHORT_SCORED(4371); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
SEPHS1	chromatin	scored	4331	HIGH	SHORT_SCORED(4331); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
SETMAR	chromatin	scored	2892	CRITICAL	SHORT_SCORED(2892); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
SGF29	chromatin	scored	4501	HIGH	SHORT_SCORED(4501); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
SGTA	chromatin	scored	4375	HIGH	SHORT_SCORED(4375); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
SHLD1	chromatin	scored	6569	HIGH	LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; NO_IF_NO_RESCUE; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
SLFN5	chromatin	scored	4669	HIGH	SHORT_SCORED(4669); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
SLTM	chromatin	scored	4416	HIGH	SHORT_SCORED(4416); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
SMU1	chromatin	scored	4556	HIGH	SHORT_SCORED(4556); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
SPC24	chromatin	scored	4183	HIGH	SHORT_SCORED(4183); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
SPC25	chromatin	scored	4158	HIGH	SHORT_SCORED(4158); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
SPINDOC	chromatin	scored	4631	HIGH	SHORT_SCORED(4631); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
SSBP2	chromatin	scored	4218	HIGH	SHORT_SCORED(4218); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
STAG3	chromatin	scored	2951	CRITICAL	SHORT_SCORED(2951); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
SUPT16H	chromatin	scored	5499	HIGH	LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
SYCE1	chromatin	scored	4178	HIGH	SHORT_SCORED(4178); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
SYCE2	chromatin	scored	4145	HIGH	SHORT_SCORED(4145); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
TADA2A	chromatin	scored	4783	HIGH	SHORT_SCORED(4783); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
TASOR2	chromatin	scored	4031	HIGH	SHORT_SCORED(4031); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
TELO2	chromatin	scored	4615	HIGH	SHORT_SCORED(4615); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
TEX15	chromatin	scored	4130	CRITICAL	SHORT_SCORED(4130); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	False	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
THAP4	chromatin	scored	4344	HIGH	SHORT_SCORED(4344); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
TOX4	chromatin	scored	4378	HIGH	SHORT_SCORED(4378); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
UFL1	chromatin	scored	2977	CRITICAL	SHORT_SCORED(2977); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
UVSSA	chromatin	scored	4315	HIGH	SHORT_SCORED(4315); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
WDR77	chromatin	scored	4405	HIGH	SHORT_SCORED(4405); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
ZHX1	chromatin	scored	4611	HIGH	SHORT_SCORED(4611); LAZY:IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	IntAct 有限记录;无记录 \| — \| —
ANKRD2	nuclear-body	scored	6118	MED	NO_HPA_DETAILS; NO_PUBMED_COUNTS	False	True	True	True	True	True	False	True	0	
DAPK3	nuclear-body	scored	4800	HIGH	SHORT_SCORED(4800); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
EAF1	nuclear-body	scored	4066	HIGH	SHORT_SCORED(4066); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; NO_PUBMED_COUNTS	False	True	True	True	True	True	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
