gene	path	source	report_claim	evidence_exists	image_or_metadata_exists	image_embedded	old_todo_or_checklist_only	is_true_mismatch	is_audit_false_positive	needs_repair	reason
BANF2	detail/chromatin/BANF2/BANF2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
BARHL2	detail/chromatin/BARHL2/BARHL2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
BATF2	detail/chromatin/BATF2/BATF2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
BHLHA9	detail/chromatin/BHLHA9/BHLHA9-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
BHLHE23	detail/chromatin/BHLHE23/BHLHE23-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	HPA_IF	STALE_PATTERN	True	False	True	False	False	True	False	Image/evidence embedded
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
BSX	detail/chromatin/BSX/BSX-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
CALCOCO1	detail/chromatin/CALCOCO1/CALCOCO1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	False	False	False	False	Stale unavailable/no-data claim remains, but no local image/metadata evidence was found by Step 1
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	False	False	False	False	Stale unavailable/no-data claim remains, but no local image/metadata evidence was found by Step 1
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	False	False	False	False	Stale unavailable/no-data claim remains, but no local image/metadata evidence was found by Step 1
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	False	False	False	False	Stale unavailable/no-data claim remains, but no local image/metadata evidence was found by Step 1
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	True	False	True	False	Only old TODO/checklist pattern matched; Image/evidence embedded; Local evidence count=2
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
CKAP5	detail/chromatin/CKAP5/CKAP5-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
CSNK1A1	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
CSNK1A1	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
CTPS1	detail/chromatin/CTPS1/CTPS1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
CUX2	detail/chromatin/CUX2/CUX2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
CYREN	detail/chromatin/CYREN/CYREN-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
DBX1	detail/chromatin/DBX1/DBX1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
DMBX1	detail/chromatin/DMBX1/DMBX1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
DMRT3	detail/chromatin/DMRT3/DMRT3-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
DMRTB1	detail/chromatin/DMRTB1/DMRTB1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
DMRTC2	detail/chromatin/DMRTC2/DMRTC2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
DNAJB13	detail/chromatin/DNAJB13/DNAJB13-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
DPRX	detail/chromatin/DPRX/DPRX-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
DYNC1I1	detail/chromatin/DYNC1I1/DYNC1I1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
DYNLT3	detail/chromatin/DYNLT3/DYNLT3-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
ELOF1	detail/chromatin/ELOF1/ELOF1-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	True	False	True	False	Only old TODO/checklist pattern matched; Image/evidence embedded; Local evidence count=2
ELOF1	detail/chromatin/ELOF1/ELOF1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
EME2	detail/chromatin/EME2/EME2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
EME2	detail/chromatin/EME2/EME2-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
EXD2	detail/chromatin/EXD2/EXD2-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	True	False	True	False	Only old TODO/checklist pattern matched; Image/evidence embedded; Local evidence count=2
EXD2	detail/chromatin/EXD2/EXD2-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
FAM131A	detail/chromatin/FAM131A/FAM131A-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	True	False	True	False	Only old TODO/checklist pattern matched; Image/evidence embedded; Local evidence count=2
FAM131A	detail/chromatin/FAM131A/FAM131A-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
FBH1	detail/chromatin/FBH1/FBH1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
FBXO18	detail/chromatin/FBXO18/FBXO18-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
FBXO18	detail/chromatin/FBXO18/FBXO18-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
FERD3L	detail/chromatin/FERD3L/FERD3L-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
FOXB2	detail/chromatin/FOXB2/FOXB2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
FOXI2	detail/chromatin/FOXI2/FOXI2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
GBX1	detail/chromatin/GBX1/GBX1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
GINS4	detail/chromatin/GINS4/GINS4-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
GINS4	detail/chromatin/GINS4/GINS4-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
GSC2	detail/chromatin/GSC2/GSC2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
H4C7	detail/chromatin/H4C7/H4C7-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
HES2	detail/chromatin/HES2/HES2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
HP1BP3	detail/chromatin/HP1BP3/HP1BP3-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	True	False	True	False	Only old TODO/checklist pattern matched; Image/evidence embedded; Local evidence count=2
HP1BP3	detail/chromatin/HP1BP3/HP1BP3-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
HPF1	detail/chromatin/HPF1/HPF1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
IHO1	detail/chromatin/IHO1/IHO1-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=2
IHO1	detail/chromatin/IHO1/IHO1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
JADE1	detail/chromatin/JADE1/JADE1-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=2
JADE1	detail/chromatin/JADE1/JADE1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
KNSTRN	detail/chromatin/KNSTRN/KNSTRN-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
KNTC1	detail/chromatin/KNTC1/KNTC1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
LRRN4	detail/chromatin/LRRN4/LRRN4-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
LRWD1	detail/chromatin/LRWD1/LRWD1-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=2
LRWD1	detail/chromatin/LRWD1/LRWD1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
LUZP1	detail/chromatin/LUZP1/LUZP1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
MACROH2A2	detail/chromatin/MACROH2A2/MACROH2A2-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=2
MACROH2A2	detail/chromatin/MACROH2A2/MACROH2A2-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
MESP2	detail/chromatin/MESP2/MESP2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
MPHOSPH8	detail/chromatin/MPHOSPH8/MPHOSPH8-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
MPHOSPH8	detail/chromatin/MPHOSPH8/MPHOSPH8-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
NAP1L1	detail/chromatin/NAP1L1/NAP1L1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
NAP1L1	detail/chromatin/NAP1L1/NAP1L1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
NAP1L2	detail/chromatin/NAP1L2/NAP1L2-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
NAP1L2	detail/chromatin/NAP1L2/NAP1L2-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
NCAPD2	detail/chromatin/NCAPD2/NCAPD2-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
NCAPD2	detail/chromatin/NCAPD2/NCAPD2-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
NCBP2	detail/chromatin/NCBP2/NCBP2-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=2
NCBP2	detail/chromatin/NCBP2/NCBP2-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
NEUROD6	detail/chromatin/NEUROD6/NEUROD6-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
NFX1	detail/chromatin/NFX1/NFX1-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=2
NFX1	detail/chromatin/NFX1/NFX1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
NMD3	detail/chromatin/NMD3/NMD3-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=2
NMD3	detail/chromatin/NMD3/NMD3-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
PAXIP1	detail/chromatin/PAXIP1/PAXIP1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PAXIP1	detail/chromatin/PAXIP1/PAXIP1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
PAXX	detail/chromatin/PAXX/PAXX-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PAXX	detail/chromatin/PAXX/PAXX-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
PBX4	detail/chromatin/PBX4/PBX4-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
PIDD1	detail/chromatin/PIDD1/PIDD1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PIDD1	detail/chromatin/PIDD1/PIDD1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
PLRG1	detail/chromatin/PLRG1/PLRG1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PLRG1	detail/chromatin/PLRG1/PLRG1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
PMF1	detail/chromatin/PMF1/PMF1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PMF1	detail/chromatin/PMF1/PMF1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
POU6F2	detail/chromatin/POU6F2/POU6F2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
PPHLN1	detail/chromatin/PPHLN1/PPHLN1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PPHLN1	detail/chromatin/PPHLN1/PPHLN1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
PRM3	detail/chromatin/PRM3/PRM3-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
PROX2	detail/chromatin/PROX2/PROX2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
PRR14	detail/chromatin/PRR14/PRR14-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PRR14	detail/chromatin/PRR14/PRR14-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
PRR7	detail/chromatin/PRR7/PRR7-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PRR7	detail/chromatin/PRR7/PRR7-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
PRRC2A	detail/chromatin/PRRC2A/PRRC2A-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PRRC2A	detail/chromatin/PRRC2A/PRRC2A-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
PTBP3	detail/chromatin/PTBP3/PTBP3-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PTBP3	detail/chromatin/PTBP3/PTBP3-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
PURB	detail/chromatin/PURB/PURB-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PURB	detail/chromatin/PURB/PURB-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
PUS1	detail/chromatin/PUS1/PUS1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
PUS1	detail/chromatin/PUS1/PUS1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
QRICH1	detail/chromatin/QRICH1/QRICH1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
QRICH1	detail/chromatin/QRICH1/QRICH1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
QSER1	detail/chromatin/QSER1/QSER1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
QSER1	detail/chromatin/QSER1/QSER1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
RBPJL	detail/chromatin/RBPJL/RBPJL-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
RTF2	detail/chromatin/RTF2/RTF2-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
RTF2	detail/chromatin/RTF2/RTF2-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
SAMD1	detail/chromatin/SAMD1/SAMD1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	False	False	False	False	Stale unavailable/no-data claim remains, but no local image/metadata evidence was found by Step 1
SAMD1	detail/chromatin/SAMD1/SAMD1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
SEM1	detail/chromatin/SEM1/SEM1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
SEM1	detail/chromatin/SEM1/SEM1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
SEPHS1	detail/chromatin/SEPHS1/SEPHS1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
SEPHS1	detail/chromatin/SEPHS1/SEPHS1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
SETMAR	detail/chromatin/SETMAR/SETMAR-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
SETMAR	detail/chromatin/SETMAR/SETMAR-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
SGF29	detail/chromatin/SGF29/SGF29-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
SGF29	detail/chromatin/SGF29/SGF29-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
SGTA	detail/chromatin/SGTA/SGTA-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
SGTA	detail/chromatin/SGTA/SGTA-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
SHLD1	detail/chromatin/SHLD1/SHLD1-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	False	False	False	False	Stale unavailable/no-data claim remains, but no local image/metadata evidence was found by Step 1
SHLD1	detail/chromatin/SHLD1/SHLD1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
SLFN5	detail/chromatin/SLFN5/SLFN5-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
SLFN5	detail/chromatin/SLFN5/SLFN5-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
SLTM	detail/chromatin/SLTM/SLTM-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
SLTM	detail/chromatin/SLTM/SLTM-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
SMU1	detail/chromatin/SMU1/SMU1-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
SMU1	detail/chromatin/SMU1/SMU1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
SOX14	detail/chromatin/SOX14/SOX14-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
SPC24	detail/chromatin/SPC24/SPC24-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
