gene	current_path	status	score	lines	nuclear_score	hpa_nuclear	uniprot_nuclear	go_nuclear	chromatin_or_rna_or_dna_related	pubmed_relevant	ppi_relevant	structure_relevant	missing_sources	harvest_completed	rejection_reason	risk_level	recommended_action	reason
SPAG8	detail/rejected/SPAG8/SPAG8-evaluation.md	rejected	?	191	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SELENOH	detail/rejected/SELENOH/SELENOH-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SCRN2	detail/rejected/SCRN2/SCRN2-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NMRK2	detail/rejected/NMRK2/NMRK2-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
NOS1AP	detail/rejected/NOS1AP/NOS1AP-evaluation.md	rejected	?	185	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
SAMD10	detail/rejected/SAMD10/SAMD10-evaluation.md	rejected	?	160	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
MRI1	detail/rejected/MRI1/MRI1-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
PKP1	detail/rejected/PKP1/PKP1-evaluation.md	rejected	?	184	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SPOUT1	detail/rejected/SPOUT1/SPOUT1-evaluation.md	rejected	?	179	?	False	False	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SMTN	detail/rejected/SMTN/SMTN-evaluation.md	rejected	?	185	?	False	False	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
ALKBH6	detail/rejected/ALKBH6/ALKBH6-evaluation.md	rejected	?	123	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
Tex19.1	detail/rejected/Tex19.1/Tex19.1-evaluation.md	rejected	?	159	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NFU1	detail/rejected/NFU1/NFU1-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
LTA4H	detail/rejected/LTA4H/LTA4H-evaluation.md	rejected	?	183	?	False	False	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
MON2	detail/rejected/MON2/MON2-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
WIPI1	detail/rejected/WIPI1/WIPI1-evaluation.md	rejected	?	184	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SPAG7	detail/rejected/SPAG7/SPAG7-evaluation.md	rejected	?	186	?	False	True	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SAMD11	detail/rejected/SAMD11/SAMD11-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
NME7	detail/rejected/NME7/NME7-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SYNJ1	detail/rejected/SYNJ1/SYNJ1-evaluation.md	rejected	?	184	?	False	False	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
AFMID	detail/rejected/AFMID/AFMID-evaluation.md	rejected	?	173	?	False	True	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NPEPPS	detail/rejected/NPEPPS/NPEPPS-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
RTRAF	detail/rejected/RTRAF/RTRAF-evaluation.md	rejected	?	158	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SMTNL1	detail/rejected/SMTNL1/SMTNL1-evaluation.md	rejected	?	184	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
CHFR	detail/rejected/CHFR/CHFR-evaluation.md	rejected	?	179	?	False	True	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NHLRC1	detail/rejected/NHLRC1/NHLRC1-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
ROPN1L	detail/rejected/ROPN1L/ROPN1L-evaluation.md	rejected	?	151	?	False	False	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
ATOX1	detail/rejected/ATOX1/ATOX1-evaluation.md	rejected	?	158	?	False	False	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
ROGDI	detail/rejected/ROGDI/ROGDI-evaluation.md	rejected	?	168	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SBF2	detail/rejected/SBF2/SBF2-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
MMS22L	detail/rejected/MMS22L/MMS22L-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
CACNA1D	detail/rejected/CACNA1D/CACNA1D-evaluation.md	rejected	?	185	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NOM1	detail/rejected/NOM1/NOM1-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
RIPPLY2	detail/rejected/RIPPLY2/RIPPLY2-evaluation.md	rejected	?	164	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
MKLN1	detail/rejected/MKLN1/MKLN1-evaluation.md	rejected	?	209	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
AMDHD2	detail/rejected/AMDHD2/AMDHD2-evaluation.md	rejected	?	120	?	False	False	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
RTL5	detail/rejected/RTL5/RTL5-evaluation.md	rejected	?	157	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
ERAP1	detail/rejected/ERAP1/ERAP1-evaluation.md	rejected	?	184	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
AKAP6	detail/rejected/AKAP6/AKAP6-evaluation.md	rejected	?	129	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
SERPINB13	detail/rejected/SERPINB13/SERPINB13-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
NSRP1	detail/rejected/NSRP1/NSRP1-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
NEXMIF	detail/rejected/NEXMIF/NEXMIF-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
STRN	detail/rejected/STRN/STRN-evaluation.md	rejected	?	184	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NCK1	detail/rejected/NCK1/NCK1-evaluation.md	rejected	?	184	?	False	True	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
XRCC2	detail/rejected/XRCC2/XRCC2-evaluation.md	rejected	?	180	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
Mfap1a	detail/rejected/Mfap1a/Mfap1a-evaluation.md	rejected	?	155	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
CARD8	detail/rejected/CARD8/CARD8-evaluation.md	rejected	?	183	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
HSD3B2	detail/rejected/HSD3B2/HSD3B2-evaluation.md	rejected	?	184	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
MPND	detail/rejected/MPND/MPND-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SC5D	detail/rejected/SC5D/SC5D-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SBNO1	detail/rejected/SBNO1/SBNO1-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
INPP5E	detail/rejected/INPP5E/INPP5E-evaluation.md	rejected	?	184	?	False	True	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
RIOX1	detail/rejected/RIOX1/RIOX1-evaluation.md	rejected	?	169	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
Selenbp2	detail/rejected/Selenbp2/Selenbp2-evaluation.md	rejected	?	159	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SIGLEC15	detail/rejected/SIGLEC15/SIGLEC15-evaluation.md	rejected	?	169	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
LIMK2	detail/rejected/LIMK2/LIMK2-evaluation.md	rejected	?	182	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
RSRC1	detail/rejected/RSRC1/RSRC1-evaluation.md	rejected	?	164	?	False	True	True	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SNF8	detail/rejected/SNF8/SNF8-evaluation.md	rejected	?	191	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SLF2	detail/rejected/SLF2/SLF2-evaluation.md	rejected	?	189	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SIRAL1	detail/rejected/SIRAL1/SIRAL1-evaluation.md	rejected	?	155	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SLX9	detail/rejected/SLX9/SLX9-evaluation.md	rejected	?	183	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
Serpina3g	detail/rejected/Serpina3g/Serpina3g-evaluation.md	rejected	?	159	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SPANXA2	detail/rejected/SPANXA2/SPANXA2-evaluation.md	rejected	?	177	?	False	True	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NFKBIL1	detail/rejected/NFKBIL1/NFKBIL1-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
FBXO7	detail/rejected/FBXO7/FBXO7-evaluation.md	rejected	?	184	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
RMND5A	detail/rejected/RMND5A/RMND5A-evaluation.md	rejected	?	171	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SEPTIN3	detail/rejected/SEPTIN3/SEPTIN3-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
MORN2	detail/rejected/MORN2/MORN2-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
ALG8	detail/rejected/ALG8/ALG8-evaluation.md	rejected	?	121	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NVL	detail/rejected/NVL/NVL-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
MPPE1	detail/rejected/MPPE1/MPPE1-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
NSMCE1	detail/rejected/NSMCE1/NSMCE1-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
HERC2	detail/rejected/HERC2/HERC2-evaluation.md	rejected	?	183	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NT5C3A	detail/rejected/NT5C3A/NT5C3A-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SKA3	detail/rejected/SKA3/SKA3-evaluation.md	rejected	?	184	?	False	False	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NAPEPLD	detail/rejected/NAPEPLD/NAPEPLD-evaluation.md	rejected	?	177	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SOCS5	detail/rejected/SOCS5/SOCS5-evaluation.md	rejected	?	191	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SENP5	detail/rejected/SENP5/SENP5-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
RUFY2	detail/rejected/RUFY2/RUFY2-evaluation.md	rejected	?	169	?	False	True	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SERF1A	detail/rejected/SERF1A/SERF1A-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
SAXO6	detail/rejected/SAXO6/SAXO6-evaluation.md	rejected	?	142	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
RWDD3	detail/rejected/RWDD3/RWDD3-evaluation.md	rejected	?	166	?	False	True	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SKOR1	detail/rejected/SKOR1/SKOR1-evaluation.md	rejected	?	188	?	False	True	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NHEJ1	detail/rejected/NHEJ1/NHEJ1-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
