gene	current_path	in_queue	was_processed	has_harvest_packet	packet_path	missing_sources	report_status	report_lines	was_rejected_due_to_missing_harvest	needs_reharvest	needs_manual_review	reason
ANAPC2	detail/nucleoplasm/ANAPC2/ANAPC2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANAPC2.json	NONE	scored	179	False	False	False	Report (179L), packet=True, missing modules=0
ANAPC4	detail/nucleoplasm/ANAPC4/ANAPC4-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANAPC4.json	NONE	scored	181	False	False	False	Report (181L), packet=True, missing modules=0
ANAPC5	detail/nucleoplasm/ANAPC5/ANAPC5-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANAPC5.json	NONE	scored	181	False	False	False	Report (181L), packet=True, missing modules=0
ANAPC7	detail/nucleoplasm/ANAPC7/ANAPC7-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANAPC7.json	NONE	scored	182	False	False	False	Report (182L), packet=True, missing modules=0
ANGEL1	detail/nucleoplasm/ANGEL1/ANGEL1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANGEL1.json	NONE	scored	180	False	False	False	Report (180L), packet=True, missing modules=0
ANGEL2	detail/nuclear-body/ANGEL2/ANGEL2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANGEL2.json	NONE	scored	179	False	False	False	Report (179L), packet=True, missing modules=0
ANKEF1	detail/nucleolus/ANKEF1/ANKEF1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKEF1.json	NONE	scored	178	False	False	False	Report (178L), packet=True, missing modules=0
ANKFN1	detail/nucleoplasm/ANKFN1/ANKFN1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKFN1.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKMY2	detail/nucleoplasm/ANKMY2/ANKMY2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKMY2.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKRA2	detail/nucleoplasm/ANKRA2/ANKRA2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKRA2.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKRD10	detail/nucleoplasm/ANKRD10/ANKRD10-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKRD10.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKRD12	detail/nucleoplasm/ANKRD12/ANKRD12-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKRD12.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKRD23	detail/nucleoplasm/ANKRD23/ANKRD23-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKRD23.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKRD30B	detail/nucleoplasm/ANKRD30B/ANKRD30B-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKRD30B.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKRD34B	detail/nucleoplasm/ANKRD34B/ANKRD34B-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKRD34B.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKRD36	detail/nucleoplasm/ANKRD36/ANKRD36-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKRD36.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKRD36B	detail/nucleoplasm/ANKRD36B/ANKRD36B-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKRD36B.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKRD37	detail/nucleoplasm/ANKRD37/ANKRD37-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKRD37.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKRD54	detail/nucleoplasm/ANKRD54/ANKRD54-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKRD54.json	NONE	scored	56	False	False	False	Report (56L), packet=True, missing modules=0
ANKS1A	detail/nucleoplasm/ANKS1A/ANKS1A-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKS1A.json	NONE	scored	56	False	False	False	Report (56L), packet=True, missing modules=0
ANKS1B	detail/nucleoplasm/ANKS1B/ANKS1B-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKS1B.json	NONE	scored	55	False	False	False	Report (55L), packet=True, missing modules=0
ANKS3	detail/nucleoplasm/ANKS3/ANKS3-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKS3.json	NONE	scored	56	False	False	False	Report (56L), packet=True, missing modules=0
ANKS4B	detail/nucleoplasm/ANKS4B/ANKS4B-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKS4B.json	NONE	scored	176	False	False	False	Report (176L), packet=True, missing modules=0
ANKS6	detail/nucleolus/ANKS6/ANKS6-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANKS6.json	NONE	scored	180	False	False	False	Report (180L), packet=True, missing modules=0
ANXA11	detail/nuclear-envelope/ANXA11/ANXA11-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANXA11.json	NONE	scored	178	False	False	False	Report (178L), packet=True, missing modules=0
ANXA13	detail/nucleoplasm/ANXA13/ANXA13-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANXA13.json	NONE	scored	184	False	False	False	Report (184L), packet=True, missing modules=0
ANXA5	detail/rejected/ANXA5/ANXA5-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANXA5.json	NONE	rejected	182	False	False	False	Report (182L), packet=True, missing modules=0
ANXA9	detail/nuclear-body/ANXA9/ANXA9-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANXA9.json	NONE	scored	183	False	False	False	Report (183L), packet=True, missing modules=0
AOPEP	detail/nucleolus/AOPEP/AOPEP-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AOPEP.json	NONE	scored	170	False	False	False	Report (170L), packet=True, missing modules=0
AP3B1	detail/nuclear-envelope/AP3B1/AP3B1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AP3B1.json	NONE	scored	173	False	False	False	Report (173L), packet=True, missing modules=0
AP5B1	detail/nucleoplasm/AP5B1/AP5B1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AP5B1.json	NONE	scored	180	False	False	False	Report (180L), packet=True, missing modules=0
APBA1	detail/nucleoplasm/APBA1/APBA1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/APBA1.json	NONE	scored	184	False	False	False	Report (184L), packet=True, missing modules=0
APBB3	detail/nuclear-body/APBB3/APBB3-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/APBB3.json	NONE	scored	184	False	False	False	Report (184L), packet=True, missing modules=0
APIP	detail/nucleoplasm/APIP/APIP-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/APIP.json	NONE	scored	178	False	False	False	Report (178L), packet=True, missing modules=0
APLF	detail/nucleoplasm/APLF/APLF-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/APLF.json	NONE	scored	181	False	False	False	Report (181L), packet=True, missing modules=0
ARFGAP1	detail/nuclear-envelope/ARFGAP1/ARFGAP1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARFGAP1.json	NONE	scored	178	False	False	False	Report (178L), packet=True, missing modules=0
ARFIP2	detail/nucleolus/ARFIP2/ARFIP2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARFIP2.json	NONE	scored	182	False	False	False	Report (182L), packet=True, missing modules=0
ARID4A	detail/nucleoplasm/ARID4A/ARID4A-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARID4A.json	NONE	scored	181	False	False	False	Report (181L), packet=True, missing modules=0
ARIH1	detail/nuclear-body/ARIH1/ARIH1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARIH1.json	NONE	scored	182	False	False	False	Report (182L), packet=True, missing modules=0
ARIH2	detail/nucleoplasm/ARIH2/ARIH2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARIH2.json	NONE	scored	180	False	False	False	Report (180L), packet=True, missing modules=0
ARK2N	detail/nucleoplasm/ARK2N/ARK2N-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARK2N.json	NONE	scored	175	False	False	False	Report (175L), packet=True, missing modules=0
ARL14EP	detail/nucleolus/ARL14EP/ARL14EP-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARL14EP.json	NONE	scored	176	False	False	False	Report (176L), packet=True, missing modules=0
ARL2BP	detail/nucleoplasm/ARL2BP/ARL2BP-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARL2BP.json	NONE	scored	180	False	False	False	Report (180L), packet=True, missing modules=0
ARL6	detail/nucleoplasm/ARL6/ARL6-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARL6.json	NONE	scored	180	False	False	False	Report (180L), packet=True, missing modules=0
ARMC8	detail/nucleus-cytoplasm/ARMC8/ARMC8-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARMC8.json	NONE	scored	175	False	False	False	Report (175L), packet=True, missing modules=0
ARMCX4	detail/nucleus-cytoplasm/ARMCX4/ARMCX4-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARMCX4.json	NONE	scored	162	False	False	False	Report (162L), packet=True, missing modules=0
ARMCX5	detail/nuclear-speckle/ARMCX5/ARMCX5-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ARMCX5.json	NONE	scored	161	False	False	False	Report (161L), packet=True, missing modules=0
ASAP3	detail/nucleus-cytoplasm/ASAP3/ASAP3-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ASAP3.json	NONE	scored	171	False	False	False	Report (171L), packet=True, missing modules=0
ASB7	detail/chromatin/ASB7/ASB7-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ASB7.json	NONE	scored	150	False	False	False	Report (150L), packet=True, missing modules=0
ASCL3	detail/nucleoplasm/ASCL3/ASCL3-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ASCL3.json	NONE	scored	164	False	False	False	Report (164L), packet=True, missing modules=0
ASCL5	detail/nucleoplasm/ASCL5/ASCL5-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ASCL5.json	NONE	scored	159	False	False	False	Report (159L), packet=True, missing modules=0
ASRGL1	detail/nucleus-cytoplasm/ASRGL1/ASRGL1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ASRGL1.json	NONE	scored	141	False	False	False	Report (141L), packet=True, missing modules=0
ASZ1	detail/nucleus-cytoplasm/ASZ1/ASZ1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ASZ1.json	NONE	scored	172	False	False	False	Report (172L), packet=True, missing modules=0
ATG10	detail/rejected/ATG10/ATG10-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ATG10.json	NONE	rejected	170	False	False	False	Report (170L), packet=True, missing modules=0
ATG2A	detail/nucleus-cytoplasm/ATG2A/ATG2A-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ATG2A.json	NONE	scored	173	False	False	False	Report (173L), packet=True, missing modules=0
ATOX1	detail/rejected/ATOX1/ATOX1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ATOX1.json	NONE	rejected	158	False	False	False	Report (158L), packet=True, missing modules=0
ATXN3L	detail/nucleoplasm/ATXN3L/ATXN3L-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ATXN3L.json	NONE	scored	160	False	False	False	Report (160L), packet=True, missing modules=0
ATXN7L3B	detail/nucleus-cytoplasm/ATXN7L3B/ATXN7L3B-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ATXN7L3B.json	NONE	scored	162	False	False	False	Report (162L), packet=True, missing modules=0
AUNIP	detail/chromatin/AUNIP/AUNIP-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AUNIP.json	NONE	scored	146	False	False	False	Report (146L), packet=True, missing modules=0
AUP1	detail/nucleoplasm/AUP1/AUP1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AUP1.json	NONE	scored	134	False	False	False	Report (134L), packet=True, missing modules=0
B4GALNT4	detail/nucleus-cytoplasm/B4GALNT4/B4GALNT4-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/B4GALNT4.json	NONE	scored	163	False	False	False	Report (163L), packet=True, missing modules=0
B9D1	detail/nucleus-cytoplasm/B9D1/B9D1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/B9D1.json	NONE	scored	138	False	False	False	Report (138L), packet=True, missing modules=0
BABAM1	detail/nuclear-body/BABAM1/BABAM1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BABAM1.json	NONE	scored	147	False	False	False	Report (147L), packet=True, missing modules=0
BABAM2	detail/nucleoplasm/BABAM2/BABAM2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BABAM2.json	NONE	scored	145	False	False	False	Report (145L), packet=True, missing modules=0
BACC1	detail/nucleoplasm/BACC1/BACC1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BACC1.json	NONE	scored	156	False	False	False	Report (156L), packet=True, missing modules=0
BAG5	detail/nucleus-cytoplasm/BAG5/BAG5-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BAG5.json	NONE	scored	158	False	False	False	Report (158L), packet=True, missing modules=0
BBS9	detail/nucleus-cytoplasm/BBS9/BBS9-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BBS9.json	NONE	scored	158	False	False	False	Report (158L), packet=True, missing modules=0
BCAS3	detail/nucleolus/BCAS3/BCAS3-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BCAS3.json	NONE	scored	145	False	False	False	Report (145L), packet=True, missing modules=0
BCDIN3D	detail/nucleus-cytoplasm/BCDIN3D/BCDIN3D-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BCDIN3D.json	NONE	scored	141	False	False	False	Report (141L), packet=True, missing modules=0
BCL7C	detail/nucleoplasm/BCL7C/BCL7C-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BCL7C.json	NONE	scored	167	False	False	False	Report (167L), packet=True, missing modules=0
BCLAF1	detail/rejected/BCLAF1/BCLAF1-evaluation.md	True	True	False	NONE	HPA,AlphaFold,PDB,PPI	rejected	24	True	True	True	Report (24L), packet=False, missing modules=4
BCLAF3	detail/nucleoplasm/BCLAF3/BCLAF3-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BCLAF3.json	NONE	scored	158	False	False	False	Report (158L), packet=True, missing modules=0
BEAN1	detail/nucleus-cytoplasm/BEAN1/BEAN1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BEAN1.json	NONE	scored	161	False	False	False	Report (161L), packet=True, missing modules=0
BEGAIN	detail/nucleus-cytoplasm/BEGAIN/BEGAIN-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BEGAIN.json	NONE	scored	170	False	False	False	Report (170L), packet=True, missing modules=0
BEND4	detail/nucleolus/BEND4/BEND4-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BEND4.json	NONE	scored	158	False	False	False	Report (158L), packet=True, missing modules=0
BEND5	detail/nuclear-speckle/BEND5/BEND5-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BEND5.json	NONE	scored	165	False	False	False	Report (165L), packet=True, missing modules=0
BET1L	detail/nucleus-cytoplasm/BET1L/BET1L-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BET1L.json	NONE	scored	173	False	False	False	Report (173L), packet=True, missing modules=0
BEX4	detail/nucleus-cytoplasm/BEX4/BEX4-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BEX4.json	NONE	scored	170	False	False	False	Report (170L), packet=True, missing modules=0
BICD2	detail/rejected/BICD2/BICD2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BICD2.json	NONE	rejected	191	False	False	False	Report (191L), packet=True, missing modules=0
BICRA	detail/nucleoplasm/BICRA/BICRA-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/BICRA.json	NONE	scored	180	False	False	False	Report (180L), packet=True, missing modules=0
