global_index	batch_id	priority	task_type	gene	current_path	current_status	current_category	current_lines	current_score	source_audit	error_type	risk_level	needs_harvest	needs_report_repair	needs_false_rejection_recheck	needs_new_evaluation	needs_manual_review	needs_validator_exception_review	duplicate_status	skip_reason	recommended_action	worker_id	lock_path	stage_path	final_path	state	reason
18	4	P0	FALSE_REJECTION_REOPEN	NOM1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W4	audit_work/locks/continuous_completion/NOM1.lock	audit_work/continuous_completion_workers/worker_W4/batch_4/staged_reports/NOM1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
19	4	P0	FALSE_REJECTION_REOPEN	RIPPLY2		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W4	audit_work/locks/continuous_completion/RIPPLY2.lock	audit_work/continuous_completion_workers/worker_W4/batch_4/staged_reports/RIPPLY2-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
20	4	P0	FALSE_REJECTION_REOPEN	AKAP6		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W4	audit_work/locks/continuous_completion/AKAP6.lock	audit_work/continuous_completion_workers/worker_W4/batch_4/staged_reports/AKAP6-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
21	5	P0	FALSE_REJECTION_REOPEN	SERPINB13		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/SERPINB13.lock	audit_work/continuous_completion_workers/worker_W1/batch_5/staged_reports/SERPINB13-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
22	5	P0	FALSE_REJECTION_REOPEN	NSRP1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/NSRP1.lock	audit_work/continuous_completion_workers/worker_W1/batch_5/staged_reports/NSRP1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
23	5	P0	FALSE_REJECTION_REOPEN	NEXMIF		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/NEXMIF.lock	audit_work/continuous_completion_workers/worker_W1/batch_5/staged_reports/NEXMIF-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
24	5	P0	FALSE_REJECTION_REOPEN	HSD3B2		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/HSD3B2.lock	audit_work/continuous_completion_workers/worker_W1/batch_5/staged_reports/HSD3B2-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
25	5	P0	FALSE_REJECTION_REOPEN	SBNO1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/SBNO1.lock	audit_work/continuous_completion_workers/worker_W1/batch_5/staged_reports/SBNO1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
26	6	P0	FALSE_REJECTION_REOPEN	NFKBIL1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/NFKBIL1.lock	audit_work/continuous_completion_workers/worker_W2/batch_6/staged_reports/NFKBIL1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
27	6	P0	FALSE_REJECTION_REOPEN	MORN2		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/MORN2.lock	audit_work/continuous_completion_workers/worker_W2/batch_6/staged_reports/MORN2-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
28	6	P0	FALSE_REJECTION_REOPEN	MPPE1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/MPPE1.lock	audit_work/continuous_completion_workers/worker_W2/batch_6/staged_reports/MPPE1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
29	6	P0	FALSE_REJECTION_REOPEN	SERF1A		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/SERF1A.lock	audit_work/continuous_completion_workers/worker_W2/batch_6/staged_reports/SERF1A-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
30	6	P0	FALSE_REJECTION_REOPEN	LORICRIN		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/LORICRIN.lock	audit_work/continuous_completion_workers/worker_W2/batch_6/staged_reports/LORICRIN-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
31	7	P0	FALSE_REJECTION_REOPEN	RIT2		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/RIT2.lock	audit_work/continuous_completion_workers/worker_W3/batch_7/staged_reports/RIT2-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
32	7	P0	FALSE_REJECTION_REOPEN	MOSPD1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/MOSPD1.lock	audit_work/continuous_completion_workers/worker_W3/batch_7/staged_reports/MOSPD1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
33	7	P0	FALSE_REJECTION_REOPEN	RSRP1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/RSRP1.lock	audit_work/continuous_completion_workers/worker_W3/batch_7/staged_reports/RSRP1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
34	7	P0	FALSE_REJECTION_REOPEN	NRIP2		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/NRIP2.lock	audit_work/continuous_completion_workers/worker_W3/batch_7/staged_reports/NRIP2-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
35	7	P0	FALSE_REJECTION_REOPEN	MOB1B		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/MOB1B.lock	audit_work/continuous_completion_workers/worker_W3/batch_7/staged_reports/MOB1B-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
36	8	P0	FALSE_REJECTION_REOPEN	FAM193A		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W4	audit_work/locks/continuous_completion/FAM193A.lock	audit_work/continuous_completion_workers/worker_W4/batch_8/staged_reports/FAM193A-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
37	8	P0	FALSE_REJECTION_REOPEN	SCEL		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W4	audit_work/locks/continuous_completion/SCEL.lock	audit_work/continuous_completion_workers/worker_W4/batch_8/staged_reports/SCEL-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
38	8	P0	FALSE_REJECTION_REOPEN	NABP1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W4	audit_work/locks/continuous_completion/NABP1.lock	audit_work/continuous_completion_workers/worker_W4/batch_8/staged_reports/NABP1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
39	8	P0	FALSE_REJECTION_REOPEN	MOB2		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W4	audit_work/locks/continuous_completion/MOB2.lock	audit_work/continuous_completion_workers/worker_W4/batch_8/staged_reports/MOB2-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
40	8	P0	FALSE_REJECTION_REOPEN	MMS19		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W4	audit_work/locks/continuous_completion/MMS19.lock	audit_work/continuous_completion_workers/worker_W4/batch_8/staged_reports/MMS19-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
41	9	P0	FALSE_REJECTION_REOPEN	SELENOM		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/SELENOM.lock	audit_work/continuous_completion_workers/worker_W1/batch_9/staged_reports/SELENOM-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
42	9	P0	FALSE_REJECTION_REOPEN	SDCBP2		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/SDCBP2.lock	audit_work/continuous_completion_workers/worker_W1/batch_9/staged_reports/SDCBP2-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
43	9	P0	FALSE_REJECTION_REOPEN	SERPINB10		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/SERPINB10.lock	audit_work/continuous_completion_workers/worker_W1/batch_9/staged_reports/SERPINB10-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
44	9	P0	FALSE_REJECTION_REOPEN	SBF1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/SBF1.lock	audit_work/continuous_completion_workers/worker_W1/batch_9/staged_reports/SBF1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
45	9	P0	FALSE_REJECTION_REOPEN	HSD3B1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/HSD3B1.lock	audit_work/continuous_completion_workers/worker_W1/batch_9/staged_reports/HSD3B1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
46	10	P0	FALSE_REJECTION_REOPEN	NIF3L1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/NIF3L1.lock	audit_work/continuous_completion_workers/worker_W2/batch_10/staged_reports/NIF3L1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
47	10	P0	FALSE_REJECTION_REOPEN	FGF14		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/FGF14.lock	audit_work/continuous_completion_workers/worker_W2/batch_10/staged_reports/FGF14-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
48	10	P0	FALSE_REJECTION_REOPEN	NSMCE4A		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/NSMCE4A.lock	audit_work/continuous_completion_workers/worker_W2/batch_10/staged_reports/NSMCE4A-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
49	10	P0	FALSE_REJECTION_REOPEN	NOPCHAP1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/NOPCHAP1.lock	audit_work/continuous_completion_workers/worker_W2/batch_10/staged_reports/NOPCHAP1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
50	10	P0	FALSE_REJECTION_REOPEN	AGTPBP1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/AGTPBP1.lock	audit_work/continuous_completion_workers/worker_W2/batch_10/staged_reports/AGTPBP1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
51	11	P0	FALSE_REJECTION_REOPEN	CMAS		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/CMAS.lock	audit_work/continuous_completion_workers/worker_W3/batch_11/staged_reports/CMAS-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
52	11	P0	FALSE_REJECTION_REOPEN	SPANXA1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/SPANXA1.lock	audit_work/continuous_completion_workers/worker_W3/batch_11/staged_reports/SPANXA1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
53	11	P0	FALSE_REJECTION_REOPEN	SMPD4		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/SMPD4.lock	audit_work/continuous_completion_workers/worker_W3/batch_11/staged_reports/SMPD4-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
54	11	P0	FALSE_REJECTION_REOPEN	NAA30		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/NAA30.lock	audit_work/continuous_completion_workers/worker_W3/batch_11/staged_reports/NAA30-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
55	11	P0	FALSE_REJECTION_REOPEN	SERF1B		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/SERF1B.lock	audit_work/continuous_completion_workers/worker_W3/batch_11/staged_reports/SERF1B-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
56	12	P0	FALSE_REJECTION_REOPEN	SPANXB1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W4	audit_work/locks/continuous_completion/SPANXB1.lock	audit_work/continuous_completion_workers/worker_W4/batch_12/staged_reports/SPANXB1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
57	12	P0	NEW_PROTEIN_EVALUATION	IDH1		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W4	audit_work/locks/continuous_completion/IDH1.lock	audit_work/continuous_completion_workers/worker_W4/batch_12/staged_reports/IDH1-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
58	12	P0	NEW_PROTEIN_EVALUATION	UCK1		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W4	audit_work/locks/continuous_completion/UCK1.lock	audit_work/continuous_completion_workers/worker_W4/batch_12/staged_reports/UCK1-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
59	12	P0	NEW_PROTEIN_EVALUATION	PBDC1		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W4	audit_work/locks/continuous_completion/PBDC1.lock	audit_work/continuous_completion_workers/worker_W4/batch_12/staged_reports/PBDC1-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
60	12	P0	NEW_PROTEIN_EVALUATION	NTAN1		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W4	audit_work/locks/continuous_completion/NTAN1.lock	audit_work/continuous_completion_workers/worker_W4/batch_12/staged_reports/NTAN1-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
61	13	P0	NEW_PROTEIN_EVALUATION	TSTD2		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W1	audit_work/locks/continuous_completion/TSTD2.lock	audit_work/continuous_completion_workers/worker_W1/batch_13/staged_reports/TSTD2-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
62	13	P0	NEW_PROTEIN_EVALUATION	TBC1D12		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W1	audit_work/locks/continuous_completion/TBC1D12.lock	audit_work/continuous_completion_workers/worker_W1/batch_13/staged_reports/TBC1D12-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
63	13	P0	NEW_PROTEIN_EVALUATION	MPLKIP		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W1	audit_work/locks/continuous_completion/MPLKIP.lock	audit_work/continuous_completion_workers/worker_W1/batch_13/staged_reports/MPLKIP-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
64	13	P0	NEW_PROTEIN_EVALUATION	CREB3L1		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W1	audit_work/locks/continuous_completion/CREB3L1.lock	audit_work/continuous_completion_workers/worker_W1/batch_13/staged_reports/CREB3L1-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
65	13	P0	NEW_PROTEIN_EVALUATION	REST		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W1	audit_work/locks/continuous_completion/REST.lock	audit_work/continuous_completion_workers/worker_W1/batch_13/staged_reports/REST-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
66	14	P0	NEW_PROTEIN_EVALUATION	SOX2		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W2	audit_work/locks/continuous_completion/SOX2.lock	audit_work/continuous_completion_workers/worker_W2/batch_14/staged_reports/SOX2-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
67	14	P0	NEW_PROTEIN_EVALUATION	BIRC3		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W2	audit_work/locks/continuous_completion/BIRC3.lock	audit_work/continuous_completion_workers/worker_W2/batch_14/staged_reports/BIRC3-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
68	14	P0	NEW_PROTEIN_EVALUATION	STAT2		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W2	audit_work/locks/continuous_completion/STAT2.lock	audit_work/continuous_completion_workers/worker_W2/batch_14/staged_reports/STAT2-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
69	14	P0	NEW_PROTEIN_EVALUATION	SYT10		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W2	audit_work/locks/continuous_completion/SYT10.lock	audit_work/continuous_completion_workers/worker_W2/batch_14/staged_reports/SYT10-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
70	14	P0	NEW_PROTEIN_EVALUATION	LRMDA		missing	?	0	?	excel_coverage_check		HIGH	True	True	False	True	True	False	N/A	N/A	NEW_PROTEIN_EVALUATION	W2	audit_work/locks/continuous_completion/LRMDA.lock	audit_work/continuous_completion_workers/worker_W2/batch_14/staged_reports/LRMDA-evaluation.md	?	NEEDS_HARVEST	NEW_PROTEIN_EVALUATION
