global_index	batch_id	priority	gene	excel_sheets	has_any_report	duplicate_status	needs_harvest	needs_new_evaluation	current_path	target_category	target_path	worker_id	lock_path	stage_path	final_path	state	reason
30	6	P3	ATR	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATR.lock	audit_work/missing_gene_workers/worker_W1/batch_6/staged_reports/ATR-evaluation.md	?	PENDING	NEW_EVAL
31	7	P3	ATRX	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATRX.lock	audit_work/missing_gene_workers/worker_W1/batch_7/staged_reports/ATRX-evaluation.md	?	PENDING	NEW_EVAL
32	7	P3	ATXN1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATXN1.lock	audit_work/missing_gene_workers/worker_W1/batch_7/staged_reports/ATXN1-evaluation.md	?	PENDING	NEW_EVAL
33	7	P3	AXIN1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/AXIN1.lock	audit_work/missing_gene_workers/worker_W1/batch_7/staged_reports/AXIN1-evaluation.md	?	PENDING	NEW_EVAL
34	7	P3	Ahcy	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/Ahcy.lock	audit_work/missing_gene_workers/worker_W1/batch_7/staged_reports/Ahcy-evaluation.md	?	PENDING	NEW_EVAL
35	7	P3	Alyref	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/Alyref.lock	audit_work/missing_gene_workers/worker_W1/batch_7/staged_reports/Alyref-evaluation.md	?	PENDING	NEW_EVAL
36	8	P3	Anp32a	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/Anp32a.lock	audit_work/missing_gene_workers/worker_W1/batch_8/staged_reports/Anp32a-evaluation.md	?	PENDING	NEW_EVAL
37	8	P3	B9D2	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/B9D2.lock	audit_work/missing_gene_workers/worker_W1/batch_8/staged_reports/B9D2-evaluation.md	?	PENDING	NEW_EVAL
38	8	P3	BACH1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BACH1.lock	audit_work/missing_gene_workers/worker_W1/batch_8/staged_reports/BACH1-evaluation.md	?	PENDING	NEW_EVAL
39	8	P3	BACH2	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BACH2.lock	audit_work/missing_gene_workers/worker_W1/batch_8/staged_reports/BACH2-evaluation.md	?	PENDING	NEW_EVAL
40	8	P3	BAG1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BAG1.lock	audit_work/missing_gene_workers/worker_W1/batch_8/staged_reports/BAG1-evaluation.md	?	PENDING	NEW_EVAL
41	9	P3	BAG3	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BAG3.lock	audit_work/missing_gene_workers/worker_W1/batch_9/staged_reports/BAG3-evaluation.md	?	PENDING	NEW_EVAL
42	9	P3	BAG6	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BAG6.lock	audit_work/missing_gene_workers/worker_W1/batch_9/staged_reports/BAG6-evaluation.md	?	PENDING	NEW_EVAL
43	9	P3	BAMBI	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BAMBI.lock	audit_work/missing_gene_workers/worker_W1/batch_9/staged_reports/BAMBI-evaluation.md	?	PENDING	NEW_EVAL
44	9	P3	BANF1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BANF1.lock	audit_work/missing_gene_workers/worker_W1/batch_9/staged_reports/BANF1-evaluation.md	?	PENDING	NEW_EVAL
45	9	P3	BANP	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BANP.lock	audit_work/missing_gene_workers/worker_W1/batch_9/staged_reports/BANP-evaluation.md	?	PENDING	NEW_EVAL
46	10	P3	BAP1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BAP1.lock	audit_work/missing_gene_workers/worker_W1/batch_10/staged_reports/BAP1-evaluation.md	?	PENDING	NEW_EVAL
47	10	P3	BARD1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BARD1.lock	audit_work/missing_gene_workers/worker_W1/batch_10/staged_reports/BARD1-evaluation.md	?	PENDING	NEW_EVAL
48	10	P3	BARX1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BARX1.lock	audit_work/missing_gene_workers/worker_W1/batch_10/staged_reports/BARX1-evaluation.md	?	PENDING	NEW_EVAL
49	10	P3	BATF	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BATF.lock	audit_work/missing_gene_workers/worker_W1/batch_10/staged_reports/BATF-evaluation.md	?	PENDING	NEW_EVAL
50	10	P3	BATF2	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BATF2.lock	audit_work/missing_gene_workers/worker_W1/batch_10/staged_reports/BATF2-evaluation.md	?	PENDING	NEW_EVAL
51	11	P3	BATF3	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BATF3.lock	audit_work/missing_gene_workers/worker_W1/batch_11/staged_reports/BATF3-evaluation.md	?	PENDING	NEW_EVAL
52	11	P3	BCAR1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BCAR1.lock	audit_work/missing_gene_workers/worker_W1/batch_11/staged_reports/BCAR1-evaluation.md	?	PENDING	NEW_EVAL
53	11	P3	BCL10	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BCL10.lock	audit_work/missing_gene_workers/worker_W1/batch_11/staged_reports/BCL10-evaluation.md	?	PENDING	NEW_EVAL
54	11	P3	BCL11B	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BCL11B.lock	audit_work/missing_gene_workers/worker_W1/batch_11/staged_reports/BCL11B-evaluation.md	?	PENDING	NEW_EVAL
55	11	P3	BCL2L1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BCL2L1.lock	audit_work/missing_gene_workers/worker_W1/batch_11/staged_reports/BCL2L1-evaluation.md	?	PENDING	NEW_EVAL
56	12	P3	BCL3	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BCL3.lock	audit_work/missing_gene_workers/worker_W1/batch_12/staged_reports/BCL3-evaluation.md	?	PENDING	NEW_EVAL
57	12	P3	BCL9	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BCL9.lock	audit_work/missing_gene_workers/worker_W1/batch_12/staged_reports/BCL9-evaluation.md	?	PENDING	NEW_EVAL
58	12	P3	BCL9L	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BCL9L.lock	audit_work/missing_gene_workers/worker_W1/batch_12/staged_reports/BCL9L-evaluation.md	?	PENDING	NEW_EVAL
59	12	P3	BCOR	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BCOR.lock	audit_work/missing_gene_workers/worker_W1/batch_12/staged_reports/BCOR-evaluation.md	?	PENDING	NEW_EVAL
60	12	P3	BCORL1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BCORL1.lock	audit_work/missing_gene_workers/worker_W1/batch_12/staged_reports/BCORL1-evaluation.md	?	PENDING	NEW_EVAL
61	13	P3	BCR	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BCR.lock	audit_work/missing_gene_workers/worker_W1/batch_13/staged_reports/BCR-evaluation.md	?	PENDING	NEW_EVAL
62	13	P3	BECN1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BECN1.lock	audit_work/missing_gene_workers/worker_W1/batch_13/staged_reports/BECN1-evaluation.md	?	PENDING	NEW_EVAL
63	13	P3	BEND3	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BEND3.lock	audit_work/missing_gene_workers/worker_W1/batch_13/staged_reports/BEND3-evaluation.md	?	PENDING	NEW_EVAL
64	13	P3	BHLHE22	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BHLHE22.lock	audit_work/missing_gene_workers/worker_W1/batch_13/staged_reports/BHLHE22-evaluation.md	?	PENDING	NEW_EVAL
65	13	P3	BHLHE23	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BHLHE23.lock	audit_work/missing_gene_workers/worker_W1/batch_13/staged_reports/BHLHE23-evaluation.md	?	PENDING	NEW_EVAL
66	14	P3	BHLHE40	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BHLHE40.lock	audit_work/missing_gene_workers/worker_W1/batch_14/staged_reports/BHLHE40-evaluation.md	?	PENDING	NEW_EVAL
67	14	P3	BHLHE41	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BHLHE41.lock	audit_work/missing_gene_workers/worker_W1/batch_14/staged_reports/BHLHE41-evaluation.md	?	PENDING	NEW_EVAL
68	14	P3	BHMT	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BHMT.lock	audit_work/missing_gene_workers/worker_W1/batch_14/staged_reports/BHMT-evaluation.md	?	PENDING	NEW_EVAL
69	14	P3	BIRC2	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BIRC2.lock	audit_work/missing_gene_workers/worker_W1/batch_14/staged_reports/BIRC2-evaluation.md	?	PENDING	NEW_EVAL
70	14	P3	BIRC3	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BIRC3.lock	audit_work/missing_gene_workers/worker_W1/batch_14/staged_reports/BIRC3-evaluation.md	?	PENDING	NEW_EVAL
71	15	P3	BIRC5	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BIRC5.lock	audit_work/missing_gene_workers/worker_W1/batch_15/staged_reports/BIRC5-evaluation.md	?	PENDING	NEW_EVAL
72	15	P3	BLM	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BLM.lock	audit_work/missing_gene_workers/worker_W1/batch_15/staged_reports/BLM-evaluation.md	?	PENDING	NEW_EVAL
73	15	P3	BMAL1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BMAL1.lock	audit_work/missing_gene_workers/worker_W1/batch_15/staged_reports/BMAL1-evaluation.md	?	PENDING	NEW_EVAL
74	15	P3	BMAL2	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BMAL2.lock	audit_work/missing_gene_workers/worker_W1/batch_15/staged_reports/BMAL2-evaluation.md	?	PENDING	NEW_EVAL
75	15	P3	BMPR2	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BMPR2.lock	audit_work/missing_gene_workers/worker_W1/batch_15/staged_reports/BMPR2-evaluation.md	?	PENDING	NEW_EVAL
76	16	P3	BMX	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BMX.lock	audit_work/missing_gene_workers/worker_W1/batch_16/staged_reports/BMX-evaluation.md	?	PENDING	NEW_EVAL
77	16	P3	BNIP3L	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BNIP3L.lock	audit_work/missing_gene_workers/worker_W1/batch_16/staged_reports/BNIP3L-evaluation.md	?	PENDING	NEW_EVAL
78	16	P3	BORA	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BORA.lock	audit_work/missing_gene_workers/worker_W1/batch_16/staged_reports/BORA-evaluation.md	?	PENDING	NEW_EVAL
79	16	P3	BPTF	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BPTF.lock	audit_work/missing_gene_workers/worker_W1/batch_16/staged_reports/BPTF-evaluation.md	?	PENDING	NEW_EVAL
80	16	P3	BRAP	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BRAP.lock	audit_work/missing_gene_workers/worker_W1/batch_16/staged_reports/BRAP-evaluation.md	?	PENDING	NEW_EVAL
81	17	P3	BRCA1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BRCA1.lock	audit_work/missing_gene_workers/worker_W1/batch_17/staged_reports/BRCA1-evaluation.md	?	PENDING	NEW_EVAL
82	17	P3	BRCA2	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BRCA2.lock	audit_work/missing_gene_workers/worker_W1/batch_17/staged_reports/BRCA2-evaluation.md	?	PENDING	NEW_EVAL
83	17	P3	BRDT	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BRDT.lock	audit_work/missing_gene_workers/worker_W1/batch_17/staged_reports/BRDT-evaluation.md	?	PENDING	NEW_EVAL
84	17	P3	BRF1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BRF1.lock	audit_work/missing_gene_workers/worker_W1/batch_17/staged_reports/BRF1-evaluation.md	?	PENDING	NEW_EVAL
85	17	P3	BRMS1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BRMS1.lock	audit_work/missing_gene_workers/worker_W1/batch_17/staged_reports/BRMS1-evaluation.md	?	PENDING	NEW_EVAL
86	18	P3	BRMS1L	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BRMS1L.lock	audit_work/missing_gene_workers/worker_W1/batch_18/staged_reports/BRMS1L-evaluation.md	?	PENDING	NEW_EVAL
87	18	P3	BRPF1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BRPF1.lock	audit_work/missing_gene_workers/worker_W1/batch_18/staged_reports/BRPF1-evaluation.md	?	PENDING	NEW_EVAL
88	18	P3	BTG1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BTG1.lock	audit_work/missing_gene_workers/worker_W1/batch_18/staged_reports/BTG1-evaluation.md	?	PENDING	NEW_EVAL
89	18	P3	BTG2	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BTG2.lock	audit_work/missing_gene_workers/worker_W1/batch_18/staged_reports/BTG2-evaluation.md	?	PENDING	NEW_EVAL
90	18	P3	BTRC	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BTRC.lock	audit_work/missing_gene_workers/worker_W1/batch_18/staged_reports/BTRC-evaluation.md	?	PENDING	NEW_EVAL
91	19	P3	BUB1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BUB1.lock	audit_work/missing_gene_workers/worker_W1/batch_19/staged_reports/BUB1-evaluation.md	?	PENDING	NEW_EVAL
92	19	P3	BUB1B	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BUB1B.lock	audit_work/missing_gene_workers/worker_W1/batch_19/staged_reports/BUB1B-evaluation.md	?	PENDING	NEW_EVAL
93	19	P3	BUB3	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/BUB3.lock	audit_work/missing_gene_workers/worker_W1/batch_19/staged_reports/BUB3-evaluation.md	?	PENDING	NEW_EVAL
94	19	P2	Bex4	重新pa一下	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/Bex4.lock	audit_work/missing_gene_workers/worker_W1/batch_19/staged_reports/Bex4-evaluation.md	?	PENDING	NEW_EVAL
95	19	P3	Bmi1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/Bmi1.lock	audit_work/missing_gene_workers/worker_W1/batch_19/staged_reports/Bmi1-evaluation.md	?	PENDING	NEW_EVAL
96	20	P2	Bod1	重新pa一下	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/Bod1.lock	audit_work/missing_gene_workers/worker_W1/batch_20/staged_reports/Bod1-evaluation.md	?	PENDING	NEW_EVAL
97	20	P2	Bola2	重新pa一下	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/Bola2.lock	audit_work/missing_gene_workers/worker_W1/batch_20/staged_reports/Bola2-evaluation.md	?	PENDING	NEW_EVAL
98	20	P2	Brcc3	重新pa一下	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/Brcc3.lock	audit_work/missing_gene_workers/worker_W1/batch_20/staged_reports/Brcc3-evaluation.md	?	PENDING	NEW_EVAL
99	20	P3	C1GALT1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/C1GALT1.lock	audit_work/missing_gene_workers/worker_W1/batch_20/staged_reports/C1GALT1-evaluation.md	?	PENDING	NEW_EVAL
100	20	P3	CA13	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/CA13.lock	audit_work/missing_gene_workers/worker_W1/batch_20/staged_reports/CA13-evaluation.md	?	PENDING	NEW_EVAL
101	21	P3	CABIN1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/CABIN1.lock	audit_work/missing_gene_workers/worker_W1/batch_21/staged_reports/CABIN1-evaluation.md	?	PENDING	NEW_EVAL
102	21	P3	CACYBP	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/CACYBP.lock	audit_work/missing_gene_workers/worker_W1/batch_21/staged_reports/CACYBP-evaluation.md	?	PENDING	NEW_EVAL
103	21	P3	CAD	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/CAD.lock	audit_work/missing_gene_workers/worker_W1/batch_21/staged_reports/CAD-evaluation.md	?	PENDING	NEW_EVAL
104	21	P3	CALCOCO1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/CALCOCO1.lock	audit_work/missing_gene_workers/worker_W1/batch_21/staged_reports/CALCOCO1-evaluation.md	?	PENDING	NEW_EVAL
105	21	P3	CALCOCO2	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/CALCOCO2.lock	audit_work/missing_gene_workers/worker_W1/batch_21/staged_reports/CALCOCO2-evaluation.md	?	PENDING	NEW_EVAL
106	22	P3	CAMTA1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/CAMTA1.lock	audit_work/missing_gene_workers/worker_W1/batch_22/staged_reports/CAMTA1-evaluation.md	?	PENDING	NEW_EVAL
107	22	P3	CAND1	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/CAND1.lock	audit_work/missing_gene_workers/worker_W1/batch_22/staged_reports/CAND1-evaluation.md	?	PENDING	NEW_EVAL
108	22	P3	CAPG	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/CAPG.lock	audit_work/missing_gene_workers/worker_W1/batch_22/staged_reports/CAPG-evaluation.md	?	PENDING	NEW_EVAL
109	22	P3	CARM1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/CARM1.lock	audit_work/missing_gene_workers/worker_W1/batch_22/staged_reports/CARM1-evaluation.md	?	PENDING	NEW_EVAL
110	22	P3	CASK	Sheet1	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/CASK.lock	audit_work/missing_gene_workers/worker_W1/batch_22/staged_reports/CASK-evaluation.md	?	PENDING	NEW_EVAL
