global_index	batch_id	worker_id	recovery_batch	gene	current_path	current_status	current_lines	priority	needs_reharvest	needs_reevaluate	needs_manual_review	missing_sources	risk_level	flags	has_packet	stage_path	final_path	state
28	59	W4	2	RSRC1	detail/rejected/RSRC1/RSRC1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_2/staged_reports/RSRC1-evaluation.md	N/A	PENDING
29	59	W1	2	RSRC2	detail/rejected/RSRC2/RSRC2-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_2/staged_reports/RSRC2-evaluation.md	N/A	PENDING
30	60	W2	2	RSRP1	detail/rejected/RSRP1/RSRP1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_2/staged_reports/RSRP1-evaluation.md	N/A	PENDING
31	60	W3	2	RTKN	detail/rejected/RTKN/RTKN-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_2/staged_reports/RTKN-evaluation.md	N/A	PENDING
32	60	W4	2	RTKN2	detail/rejected/RTKN2/RTKN2-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_2/staged_reports/RTKN2-evaluation.md	N/A	PENDING
33	60	W1	2	RTL5	detail/rejected/RTL5/RTL5-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_2/staged_reports/RTL5-evaluation.md	N/A	PENDING
34	60	W2	2	RTL6	detail/rejected/RTL6/RTL6-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_2/staged_reports/RTL6-evaluation.md	N/A	PENDING
35	61	W3	2	RTN1	detail/rejected/RTN1/RTN1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_2/staged_reports/RTN1-evaluation.md	N/A	PENDING
36	61	W4	2	RTRAF	detail/rejected/RTRAF/RTRAF-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_2/staged_reports/RTRAF-evaluation.md	N/A	PENDING
37	61	W1	2	RUFY2	detail/rejected/RUFY2/RUFY2-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_2/staged_reports/RUFY2-evaluation.md	N/A	PENDING
38	61	W2	2	RWDD3	detail/rejected/RWDD3/RWDD3-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_2/staged_reports/RWDD3-evaluation.md	N/A	PENDING
39	61	W3	2	Rhox13	detail/rejected/Rhox13/Rhox13-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_2/staged_reports/Rhox13-evaluation.md	N/A	PENDING
40	62	W4	2	SACK1A	detail/rejected/SACK1A/SACK1A-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_2/staged_reports/SACK1A-evaluation.md	N/A	PENDING
41	62	W1	3	SAGE1	detail/rejected/SAGE1/SAGE1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_3/staged_reports/SAGE1-evaluation.md	N/A	PENDING
42	62	W2	3	SAMD10	detail/rejected/SAMD10/SAMD10-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_3/staged_reports/SAMD10-evaluation.md	N/A	PENDING
43	62	W3	3	SAMD11	detail/rejected/SAMD11/SAMD11-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_3/staged_reports/SAMD11-evaluation.md	N/A	PENDING
44	62	W4	3	SASH3	detail/rejected/SASH3/SASH3-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_3/staged_reports/SASH3-evaluation.md	N/A	PENDING
45	63	W1	3	SAXO6	detail/rejected/SAXO6/SAXO6-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_3/staged_reports/SAXO6-evaluation.md	N/A	PENDING
46	63	W2	3	SBF1	detail/rejected/SBF1/SBF1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_3/staged_reports/SBF1-evaluation.md	N/A	PENDING
47	63	W3	3	SBF2	detail/rejected/SBF2/SBF2-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_3/staged_reports/SBF2-evaluation.md	N/A	PENDING
48	63	W4	3	SBNO1	detail/rejected/SBNO1/SBNO1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_3/staged_reports/SBNO1-evaluation.md	N/A	PENDING
49	63	W1	3	SC5D	detail/rejected/SC5D/SC5D-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_3/staged_reports/SC5D-evaluation.md	N/A	PENDING
50	64	W2	3	SCAMP1	detail/rejected/SCAMP1/SCAMP1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_3/staged_reports/SCAMP1-evaluation.md	N/A	PENDING
