priority	gene	path	status	lines	chars	missing_sources	has_hpa	has_uniprot_go	has_pubmed	has_alphafold_pae	has_pdb_or_no_pdb	has_ppi	false_rejection_risk	needs_harvest	needs_reevaluate	recommended_next_action	reason
P1	KPNA2	detail/rejected/KPNA2/KPNA2-evaluation.md	rejected	41	833	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 41L
P1	TEX19	detail/rejected/TEX19/TEX19-evaluation.md	rejected	46	736	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	NRM	detail/rejected/NRM/NRM-evaluation.md	rejected	46	789	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	CIDEA	detail/rejected/CIDEA/CIDEA-evaluation.md	rejected	35	652	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 35L
P1	LGMN	detail/rejected/LGMN/LGMN-evaluation.md	rejected	41	812	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 41L
P2	FBH1	detail/rejected/FBH1/FBH1-evaluation.md	rejected	49	890		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	ACP1	detail/rejected/ACP1/ACP1-evaluation.md	rejected	20	273	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 20L
P1	SRA1	detail/rejected/SRA1/SRA1-evaluation.md	rejected	46	770	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	PPIE	detail/rejected/PPIE/PPIE-evaluation.md	rejected	46	810	HPA,PDB	False	True	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	TNFRSF19	detail/rejected/TNFRSF19/TNFRSF19-evaluation.md	rejected	46	794	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	LYST	detail/rejected/LYST/LYST-evaluation.md	rejected	41	863	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 41L
P2	MYORG	detail/rejected/MYORG/MYORG-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	NEDD4	detail/rejected/NEDD4/NEDD4-evaluation.md	rejected	40	891	HPA,PDB	False	False	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 40L
P2	SPANXC	detail/rejected/SPANXC/SPANXC-evaluation.md	rejected	49	896		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	ELF4	detail/rejected/ELF4/ELF4-evaluation.md	rejected	37	680	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 37L
P1	NFATC4	detail/rejected/NFATC4/NFATC4-evaluation.md	rejected	46	857	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	PIM1	detail/rejected/PIM1/PIM1-evaluation.md	rejected	40	887	HPA,PDB	False	False	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 40L
P1	PBX3	detail/rejected/PBX3/PBX3-evaluation.md	rejected	46	785	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P2	PRAC2	detail/rejected/PRAC2/PRAC2-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	MAGEA1	detail/rejected/MAGEA1/MAGEA1-evaluation.md	rejected	33	560	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 33L
P1	SMAD6	detail/rejected/SMAD6/SMAD6-evaluation.md	rejected	46	761	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P2	EEIG1	detail/rejected/EEIG1/EEIG1-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	TGIF1	detail/rejected/TGIF1/TGIF1-evaluation.md	rejected	46	804	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	NFATC3	detail/rejected/NFATC3/NFATC3-evaluation.md	rejected	46	858	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	ANKRD1	detail/rejected/ANKRD1/ANKRD1-evaluation.md	rejected	20	277	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 20L
P1	Elob	detail/rejected/Elob/Elob-evaluation.md	rejected	38	855	HPA,PubMed,PDB	False	False	False	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 38L
P1	NDRG2	detail/rejected/NDRG2/NDRG2-evaluation.md	rejected	46	797	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	TNFSF4	detail/rejected/TNFSF4/TNFSF4-evaluation.md	rejected	46	767	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P2	CTDNEP1	detail/rejected/CTDNEP1/CTDNEP1-evaluation.md	rejected	49	899		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P2	RCBTB1	detail/rejected/RCBTB1/RCBTB1-evaluation.md	rejected	49	896		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	GADD45A	detail/rejected/GADD45A/GADD45A-evaluation.md	rejected	35	723	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 35L
P1	AFF2	detail/rejected/AFF2/AFF2-evaluation.md	rejected	20	274	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 20L
P2	MRNIP	detail/rejected/MRNIP/MRNIP-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	THRB	detail/rejected/THRB/THRB-evaluation.md	rejected	46	768	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	STN1	detail/rejected/STN1/STN1-evaluation.md	rejected	46	793	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	TREX2	detail/rejected/TREX2/TREX2-evaluation.md	rejected	46	772	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P2	MINDY3	detail/rejected/MINDY3/MINDY3-evaluation.md	rejected	49	896		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P2	FOXD4L3	detail/rejected/FOXD4L3/FOXD4L3-evaluation.md	rejected	49	899		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P2	Spdye4a	detail/rejected/Spdye4a/Spdye4a-evaluation.md	rejected	49	899		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	ATRIP	detail/rejected/ATRIP/ATRIP-evaluation.md	rejected	20	275	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 20L
P1	MLST8	detail/rejected/MLST8/MLST8-evaluation.md	rejected	33	573	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 33L
P1	CFAP47	detail/rejected/CFAP47/CFAP47-evaluation.md	rejected	35	657	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 35L
P1	MDC1	detail/rejected/MDC1/MDC1-evaluation.md	rejected	40	887	HPA,PDB	False	False	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 40L
P1	RIOK2	detail/rejected/RIOK2/RIOK2-evaluation.md	rejected	46	730	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	CAMKK2	detail/rejected/CAMKK2/CAMKK2-evaluation.md	rejected	40	895	HPA,PDB	False	False	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 40L
P1	Cdc14b	detail/rejected/Cdc14b/Cdc14b-evaluation.md	rejected	38	820	HPA,PubMed,PDB	False	False	False	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 38L
P2	PAPOLB	detail/rejected/PAPOLB/PAPOLB-evaluation.md	rejected	49	896		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	EEF2K	detail/rejected/EEF2K/EEF2K-evaluation.md	rejected	37	679	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 37L
P2	EID2B	detail/rejected/EID2B/EID2B-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	GCLC	detail/rejected/GCLC/GCLC-evaluation.md	rejected	35	708	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 35L
P1	ACACA	detail/rejected/ACACA/ACACA-evaluation.md	rejected	20	276	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 20L
P1	NRK	detail/rejected/NRK/NRK-evaluation.md	rejected	46	755	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	HACE1	detail/rejected/HACE1/HACE1-evaluation.md	rejected	44	992	HPA,PDB	False	True	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 44L
P1	TOB1	detail/rejected/TOB1/TOB1-evaluation.md	rejected	46	785	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	PTER	detail/rejected/PTER/PTER-evaluation.md	rejected	46	768	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	NFE2L1	detail/rejected/NFE2L1/NFE2L1-evaluation.md	rejected	46	828	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P2	KPNA3	detail/rejected/KPNA3/KPNA3-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	NRIP1	detail/rejected/NRIP1/NRIP1-evaluation.md	rejected	46	780	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P2	STX1B	detail/rejected/STX1B/STX1B-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P2	H4C7	detail/rejected/H4C7/H4C7-evaluation.md	rejected	49	890		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P2	FAM47E	detail/rejected/FAM47E/FAM47E-evaluation.md	rejected	49	896		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	TLX3	detail/rejected/TLX3/TLX3-evaluation.md	rejected	46	794	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	Csnk1e	detail/rejected/Csnk1e/Csnk1e-evaluation.md	rejected	38	863	HPA,PubMed,PDB	False	False	False	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 38L
P2	HROB	detail/rejected/HROB/HROB-evaluation.md	rejected	49	890		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P2	RHNO1	detail/rejected/RHNO1/RHNO1-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	GRB2	detail/rejected/GRB2/GRB2-evaluation.md	rejected	35	711	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 35L
P1	SRRM1	detail/rejected/SRRM1/SRRM1-evaluation.md	rejected	46	817	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	SPDEF	detail/rejected/SPDEF/SPDEF-evaluation.md	rejected	46	852	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	OSR1	detail/rejected/OSR1/OSR1-evaluation.md	rejected	46	780	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	GCLM	detail/rejected/GCLM/GCLM-evaluation.md	rejected	35	708	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 35L
P1	NUP62	detail/rejected/NUP62/NUP62-evaluation.md	rejected	45	972	HPA,PDB,PPI	False	True	True	True	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 45L
P1	MUTYH	detail/rejected/MUTYH/MUTYH-evaluation.md	rejected	33	557	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 33L
P1	CHD1L	detail/rejected/CHD1L/CHD1L-evaluation.md	rejected	35	652	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 35L
P1	LMNB2	detail/rejected/LMNB2/LMNB2-evaluation.md	rejected	41	819	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 41L
P1	HESX1	detail/rejected/HESX1/HESX1-evaluation.md	rejected	44	992	HPA,PDB	False	True	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 44L
P2	YPEL1	detail/rejected/YPEL1/YPEL1-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P2	PTOV1	detail/rejected/PTOV1/PTOV1-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	PRKCB	detail/rejected/PRKCB/PRKCB-evaluation.md	rejected	40	891	HPA,PDB	False	False	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 40L
P2	OOEP	detail/rejected/OOEP/OOEP-evaluation.md	rejected	49	890		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P2	RMI2	detail/rejected/RMI2/RMI2-evaluation.md	rejected	49	890		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	TEAD2	detail/rejected/TEAD2/TEAD2-evaluation.md	rejected	46	802	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	WWOX	detail/rejected/WWOX/WWOX-evaluation.md	rejected	46	812	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P2	URI1	detail/rejected/URI1/URI1-evaluation.md	rejected	49	890		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P2	PLSCR4	detail/rejected/PLSCR4/PLSCR4-evaluation.md	rejected	49	896		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	UROD	detail/rejected/UROD/UROD-evaluation.md	rejected	46	767	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	WDR43	detail/rejected/WDR43/WDR43-evaluation.md	rejected	46	737	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	KATNAL2	detail/rejected/KATNAL2/KATNAL2-evaluation.md	rejected	36	650	HPA,PubMed,PDB,PPI	False	True	False	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 36L
P1	WNK1	detail/rejected/WNK1/WNK1-evaluation.md	rejected	40	887	HPA,PDB	False	False	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 40L
P1	TRAF1	detail/rejected/TRAF1/TRAF1-evaluation.md	rejected	46	773	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	PYCARD	detail/rejected/PYCARD/PYCARD-evaluation.md	rejected	46	775	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P2	TSPY8	detail/rejected/TSPY8/TSPY8-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	E2F5	detail/rejected/E2F5/E2F5-evaluation.md	rejected	37	657	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 37L
P1	HEY1	detail/rejected/HEY1/HEY1-evaluation.md	rejected	44	987	HPA,PDB	False	True	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 44L
P1	PIK3R3	detail/rejected/PIK3R3/PIK3R3-evaluation.md	rejected	46	790	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	SASH1	detail/rejected/SASH1/SASH1-evaluation.md	rejected	46	773	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	WWC1	detail/rejected/WWC1/WWC1-evaluation.md	rejected	46	812	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	RUBCN	detail/rejected/RUBCN/RUBCN-evaluation.md	rejected	46	768	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	PLCG2	detail/rejected/PLCG2/PLCG2-evaluation.md	rejected	46	766	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P2	MACO1	detail/rejected/MACO1/MACO1-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	SIX5	detail/rejected/SIX5/SIX5-evaluation.md	rejected	46	784	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	TRRAP	detail/rejected/TRRAP/TRRAP-evaluation.md	rejected	46	853	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	E2F2	detail/rejected/E2F2/E2F2-evaluation.md	rejected	37	657	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 37L
P1	NACA	detail/rejected/NACA/NACA-evaluation.md	rejected	46	850	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	POU4F2	detail/rejected/POU4F2/POU4F2-evaluation.md	rejected	46	811	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
